DATEKEY,YEAR,MONTH,UNIQUE_CARRIER,EMPFULL,EMPPART,EMPTOTAL,EMPFTE
2019-03-31 00:00:00.000,2019,3,"0WQ",154,0,154,154
2019-03-31 00:00:00.000,2019,3,"2PQ",69,0,69,69
2019-03-31 00:00:00.000,2019,3,"8C",607,0,607,607
2019-03-31 00:00:00.000,2019,3,"9S",329,0,329,329
2019-03-31 00:00:00.000,2019,3,"AMQ",52,0,52,52
2019-03-31 00:00:00.000,2019,3,"CP",1704,0,1704,1704
2019-03-31 00:00:00.000,2019,3,"G7",1258,0,1258,1258
2019-03-31 00:00:00.000,2019,3,"GFQ",112,0,112,112
2019-03-31 00:00:00.000,2019,3,"KLQ",148,0,148,148
2019-03-31 00:00:00.000,2019,3,"M6",685,0,685,685
2019-03-31 00:00:00.000,2019,3,"N8",215,0,215,215
2019-03-31 00:00:00.000,2019,3,"PO",215,0,215,215
2019-04-30 00:00:00.000,2019,4,"0WQ",154,0,154,154
2019-04-30 00:00:00.000,2019,4,"2PQ",69,0,69,69
2019-04-30 00:00:00.000,2019,4,"8C",642,0,642,642
2019-04-30 00:00:00.000,2019,4,"9S",345,0,345,345
2019-04-30 00:00:00.000,2019,4,"AMQ",52,0,52,52
2019-04-30 00:00:00.000,2019,4,"CP",1716,0,1716,1716
2019-04-30 00:00:00.000,2019,4,"G7",1268,0,1268,1268
2019-04-30 00:00:00.000,2019,4,"GFQ",110,0,110,110
2019-04-30 00:00:00.000,2019,4,"KLQ",148,0,148,148
2019-04-30 00:00:00.000,2019,4,"M6",686,0,686,686
2019-04-30 00:00:00.000,2019,4,"N8",220,0,220,220
2019-04-30 00:00:00.000,2019,4,"PO",218,0,218,218
2019-05-31 00:00:00.000,2019,5,"0WQ",154,0,154,154
2019-05-31 00:00:00.000,2019,5,"2PQ",69,0,69,69
2019-05-31 00:00:00.000,2019,5,"8C",662,0,662,662
2019-05-31 00:00:00.000,2019,5,"9S",352,0,352,352
2019-05-31 00:00:00.000,2019,5,"AMQ",52,0,52,52
2019-05-31 00:00:00.000,2019,5,"CP",1661,0,1661,1661
2019-05-31 00:00:00.000,2019,5,"G7",1257,0,1257,1257
2019-05-31 00:00:00.000,2019,5,"GFQ",108,0,108,108
2019-05-31 00:00:00.000,2019,5,"KLQ",150,0,150,150
2019-05-31 00:00:00.000,2019,5,"M6",685,0,685,685
2019-05-31 00:00:00.000,2019,5,"N8",228,0,228,228
2019-05-31 00:00:00.000,2019,5,"PO",223,0,223,223
2019-06-30 00:00:00.000,2019,6,"0WQ",154,0,154,154
2019-06-30 00:00:00.000,2019,6,"2PQ",69,0,69,69
2019-06-30 00:00:00.000,2019,6,"8C",679,0,679,679
2019-06-30 00:00:00.000,2019,6,"9S",371,0,371,371
2019-06-30 00:00:00.000,2019,6,"AMQ",52,0,52,52
2019-06-30 00:00:00.000,2019,6,"CP",1657,0,1657,1657
2019-06-30 00:00:00.000,2019,6,"G7",1229,0,1229,1229
2019-06-30 00:00:00.000,2019,6,"GFQ",114,0,114,114
2019-06-30 00:00:00.000,2019,6,"KLQ",153,0,153,153
2019-06-30 00:00:00.000,2019,6,"M6",691,0,691,691
2019-06-30 00:00:00.000,2019,6,"N8",228,0,228,228
2019-06-30 00:00:00.000,2019,6,"PO",222,0,222,222
2019-07-31 00:00:00.000,2019,7,"0WQ",154,0,154,154
2019-07-31 00:00:00.000,2019,7,"2PQ",64,0,64,64
2019-07-31 00:00:00.000,2019,7,"8C",711,0,711,711
2019-07-31 00:00:00.000,2019,7,"9S",382,0,382,382
2019-07-31 00:00:00.000,2019,7,"AMQ",52,0,52,52
2019-07-31 00:00:00.000,2019,7,"CP",1645,0,1645,1645
2019-07-31 00:00:00.000,2019,7,"G7",1179,0,1179,1179
2019-07-31 00:00:00.000,2019,7,"GFQ",114,0,114,114
2019-07-31 00:00:00.000,2019,7,"KLQ",154,0,154,154
2019-07-31 00:00:00.000,2019,7,"M6",686,0,686,686
2019-07-31 00:00:00.000,2019,7,"N8",230,0,230,230
2019-07-31 00:00:00.000,2019,7,"PO",223,0,223,223
2019-07-31 00:00:00.000,2019,7,"U7",404,0,404,404
2019-08-31 00:00:00.000,2019,8,"0WQ",89,0,89,89
2019-08-31 00:00:00.000,2019,8,"1BQ",169,0,169,169
2019-08-31 00:00:00.000,2019,8,"2PQ",65,0,65,65
