airport_id,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,URL
"LVD","small_airport","Lime Village Airport",61.3591,-155.44,552,"NA","US","US-AK","Lime Village","https://airportcod.es/#airport/LVD"
"HGZ","small_airport","Hog River Airport",66.2161,-155.669,534,"NA","US","US-AK","Hogatza","https://airportcod.es/#airport/HGZ"
"TLF","small_airport","Telida Airport",63.3939,-153.269,650,"NA","US","US-AK","Telida","https://airportcod.es/#airport/TLF"
"KKK","small_airport","Kalakaket Creek AS Airport",64.41663,-156.8204,1598,"NA","US","US-AK","Kalakaket Creek","https://airportcod.es/#airport/KKK"
"ELW","seaplane_base","Ellamar Seaplane Base",60.89382,-146.704,0,"NA","US","US-AK","Ellamar","https://airportcod.es/#airport/ELW"
"HBH","seaplane_base","Entrance Island Seaplane Base",57.4122,-133.4385,0,"NA","US","US-AK","Entrance Island","https://airportcod.es/#airport/HBH"
"FAK","seaplane_base","False Island Seaplane Base",57.5322,-135.213,0,"NA","US","US-AK","False Island","https://airportcod.es/#airport/FAK"
"WLR","seaplane_base","Loring Seaplane Base",55.6013,-131.637,0,"NA","US","US-AK","Loring","https://airportcod.es/#airport/WLR"
"NUP","small_airport","Nunapitchuk Airport",60.90559,-162.4405,12,"NA","US","US-AK","Nunapitchuk","https://airportcod.es/#airport/NUP"
"PTC","seaplane_base","Port Alice Seaplane Base",55.803,-133.597,0,"NA","US","US-AK","Port Alice","https://airportcod.es/#airport/PTC"
"ICY","small_airport","Icy Bay Airport",59.969,-141.662,50,"NA","US","US-AK","Icy Bay","https://airportcod.es/#airport/ICY"
"PPV","seaplane_base","Port Protection Seaplane Base",56.3288,-133.61,0,"NA","US","US-AK","Port Protection","https://airportcod.es/#airport/PPV"
"KLL","small_airport","Levelock Airport",59.1281,-156.859,39,"NA","US","US-AK","Levelock","https://airportcod.es/#airport/KLL"
"SGW","seaplane_base","Saginaw Seaplane Base",56.8863,-134.158,0,"NA","US","US-AK","Saginaw Bay","https://airportcod.es/#airport/SGW"
"WTL","small_airport","Tuntutuliak Airport",60.3353,-162.667,16,"NA","US","US-AK","Tuntutuliak","https://airportcod.es/#airport/WTL"
"TWA","small_airport","Twin Hills Airport",59.0756,-160.273,82,"NA","US","US-AK","Twin Hills","https://airportcod.es/#airport/TWA"
"KCQ","small_airport","Chignik Lake Airport",56.255,-158.775,50,"NA","US","US-AK","Chignik Lake","https://airportcod.es/#airport/KCQ"
"AHT","closed","Amchitka Army Airfield",51.37778,179.2592,215,"NA","US","US-AK","Amchitka Island","https://airportcod.es/#airport/AHT"
"CEX","small_airport","Chena Hot Springs Airport",65.0518,-146.047,1195,"NA","US","US-AK","Chena Hot Springs","https://airportcod.es/#airport/CEX"
"SOL","small_airport","Solomon State Field",64.5605,-164.4457,25,"NA","US","US-AK","Solomon","https://airportcod.es/#airport/SOL"
"HED","small_airport","Herendeen Bay Airport",55.8014,-160.899,20,"NA","US","US-AK","Herendeen Bay","https://airportcod.es/#airport/HED"
"TWE","small_airport","Taylor Airport",65.6793,-164.799,440,"NA","US","US-AK","Taylor","https://airportcod.es/#airport/TWE"
"KTH","seaplane_base","Tikchik Lodge Seaplane Base",59.9632,-158.477,304,"NA","US","US-AK","Tikchik","https://airportcod.es/#airport/KTH"
"NKI","seaplane_base","Naukati Bay Seaplane Base",55.8496,-133.228,0,"NA","US","US-AK","Tuxekan Island","https://airportcod.es/#airport/NKI"
"LNI","small_airport","Lonely Air Station",70.9107,-153.242,17,"NA","US","US-AK","Lonely","https://airportcod.es/#airport/LNI"
"CDL","small_airport","Candle 2 Airport",65.9077,-161.926,15,"NA","US","US-AK","Candle","https://airportcod.es/#airport/CDL"
"AOS","seaplane_base","Amook Bay Seaplane Base",57.4715,-153.815,0,"NA","US","US-AK","Amook Bay","https://airportcod.es/#airport/AOS"
"BSZ","small_airport","Bartletts Airport",58.2162,-157.352,50,"NA","US","US-AK","Egegik","https://airportcod.es/#airport/BSZ"
"BSW","small_airport","Boswell Bay Airport",60.4231,-146.146,230,"NA","US","US-AK","Boswell Bay","https://airportcod.es/#airport/BSW"
"PQS","small_airport","Pilot Station Airport",61.9346,-162.9,305,"NA","US","US-AK","Pilot Station","https://airportcod.es/#airport/PQS"
"WWP","seaplane_base","Whale Pass Seaplane Float Harbor Facility",56.1163,-133.122,0,"NA","US","US-AK","Whale Pass","https://airportcod.es/#airport/WWP"
"CHU","small_airport","Chuathbaluk Airport",61.5791,-159.216,244,"NA","US","US-AK","Chuathbaluk","https://airportcod.es/#airport/CHU"
"UGS","small_airport","Ugashik Airport",57.5279,-157.399,25,"NA","US","US-AK","Ugashik","https://airportcod.es/#airport/UGS"
"ALZ","seaplane_base","Alitak Seaplane Base",56.8995,-154.248,0,"NA","US","US-AK","Lazy Bay","https://airportcod.es/#airport/ALZ"
"AQY","small_airport","Girdwood Airport",60.9661,-149.126,150,"NA","US","US-AK","Girdwood","https://airportcod.es/#airport/AQY"
"TEK","small_airport","Tatitlek Airport",60.87145,-146.6903,62,"NA","US","US-AK","Tatitlek","https://airportcod.es/#airport/TEK"
"WMK","seaplane_base","Meyers Chuck Seaplane Base",55.7396,-132.255,0,"NA","US","US-AK","Meyers Chuck","https://airportcod.es/#airport/WMK"
"CXC","small_airport","Chitina Airport",61.5829,-144.427,556,"NA","US","US-AK","Chitina","https://airportcod.es/#airport/CXC"
"WYB","seaplane_base","Yes Bay Lodge Seaplane Base",55.9163,-131.801,0,"NA","US","US-AK","Yes Bay","https://airportcod.es/#airport/WYB"
