Year,Month,AGID,Offense,Offense Code,Reported,Unfounded,Actual,Cleared,Juvenile Cleared,Uninhabited,Est Damage
2014,10,MU5195655,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,9,MU5056655,STR-Storage,STR,0,0,0,0,0,0,0
2014,1,MU5706755,OTH-Other,OTH,1,0,1,0,0,0,600
2014,6,MU5505955,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,9,MU5525255,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,11,MU5605355,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,9,MU5605955,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,8,MU5226955,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,1,MU5635955,STR-Storage,STR,0,0,0,0,0,0,0
2014,2,MU5926555,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,10,MU5705455,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,2,MU5745955,SOR-Single Occupancy Residenti,SOR,0,0,0,0,0,0,0
2014,4,MU5685555,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,4,MU5885755,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,2,MU5986255,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,9,MU5295755,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,6,MU5285455,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,8,MU5335255,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,7,MU5105855,OTH-Other,OTH,0,0,0,0,0,0,0
2014,11,MU5926655,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,4,MU5026855,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,5,MU5935355,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,11,MU5967655,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,6,MU5215455,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,3,MU5575055,OST-All Other Structure,OST,0,0,0,0,0,0,0
2014,2,MU5955855,OTH-Other,OTH,0,0,0,0,0,0,0
2014,12,MU5906655,OST-All Other Structure,OST,0,0,0,0,0,0,0
2014,7,MU5615155,OST-All Other Structure,OST,0,0,0,0,0,0,0
2014,1,MU5776855,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,3,MU5635655,STR-Storage,STR,0,0,0,0,0,0,0
2014,1,MU5056855,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,8,MU5005555,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,6,MU5815855,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,5,MU5665555,OTH-Other,OTH,0,0,0,0,0,0,0
2014,6,MU5855555,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,9,MU5576655,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,2,MU5775355,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,1,MU5925955,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,6,MU5926355,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,10,MU5155555,STR-Storage,STR,0,0,0,0,0,0,0
2014,5,MU5906655,SOR-Single Occupancy Residenti,SOR,0,0,0,0,0,0,0
2014,1,MU5125555,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,12,MU5706055,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,12,MU5635855,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,11,MU5925155,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,1,MU5707655,OTH-Other,OTH,0,0,0,0,0,0,0
2014,2,MU5676155,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,3,MU5027755,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,4,MU5185655,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,10,MU5225955,COM-Other Commercial,COM,0,0,0,0,0,0,0
2014,8,MU5215455,OST-All Other Structure,OST,0,0,0,0,0,0,0
2014,3,MU5639855,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,2,MU5328955,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,3,MU5235055,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,9,MU5975855,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,4,MU5355555,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,9,MU5535155,SOR-Single Occupancy Residenti,SOR,0,0,0,0,0,0,0
2014,10,MU5936455,SOR-Single Occupancy Residenti,SOR,0,0,0,0,0,0,0
2014,1,MU5985055,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,5,MU5775555,PUB-Community/Public,PUB,0,0,0,0,0,0,0
2014,5,MU5675655,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,7,MU5386655,OST-All Other Structure,OST,0,0,0,0,0,0,0
2014,5,MU5785355,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,11,MU5095455,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,3,MU5638755,NSS-Not Specified - Structure,NSS,0,0,0,0,0,0,0
2014,11,MU5645855,STR-Storage,STR,0,0,0,0,0,0,0
2014,1,MU5845555,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,2,MU5045955,MV-Motor Vehicles,MV,0,0,0,0,0,0,0
2014,1,MU5205655,NSC-Not Specified Classificati,NSC,0,0,0,1,0,0,0
2014,4,MU5126755,NSC-Not Specified Classificati,NSC,0,0,0,0,0,0,0
2014,2,MU5868055,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,2,MU5075855,OMP-Other Mobile Property,OMP,0,0,0,0,0,0,0
2014,4,MU5196555,NSM-Not Specified - Mobile,NSM,0,0,0,0,0,0,0
2014,1,MU5395055,OR-Other Residential,OR,0,0,0,0,0,0,0
2014,10,MU5275155,IND-Industrial/Manufacturing,IND,0,0,0,0,0,0,0
2014,3,MU5026955,SOR-Single Occupancy Residenti,SOR,0,0,0,0,0,0,0
2014,3,MU5965855,OST-All Other Structure,OST,0,0,0,0,0,0,0
