SalesOrderLineKey,Sales Order,Sales Order Line,Channel
53465001,"SO53465","SO53465 - 01","Reseller"
53465002,"SO53465","SO53465 - 02","Reseller"
53465003,"SO53465","SO53465 - 03","Reseller"
53465004,"SO53465","SO53465 - 04","Reseller"
53465005,"SO53465","SO53465 - 05","Reseller"
53465006,"SO53465","SO53465 - 06","Reseller"
53465007,"SO53465","SO53465 - 07","Reseller"
53465008,"SO53465","SO53465 - 08","Reseller"
53465009,"SO53465","SO53465 - 09","Reseller"
53465010,"SO53465","SO53465 - 10","Reseller"
53465011,"SO53465","SO53465 - 11","Reseller"
53465012,"SO53465","SO53465 - 12","Reseller"
53465013,"SO53465","SO53465 - 13","Reseller"
53465014,"SO53465","SO53465 - 14","Reseller"
53465015,"SO53465","SO53465 - 15","Reseller"
53465016,"SO53465","SO53465 - 16","Reseller"
53465017,"SO53465","SO53465 - 17","Reseller"
53465018,"SO53465","SO53465 - 18","Reseller"
53465019,"SO53465","SO53465 - 19","Reseller"
53465020,"SO53465","SO53465 - 20","Reseller"
53465021,"SO53465","SO53465 - 21","Reseller"
53465022,"SO53465","SO53465 - 22","Reseller"
53465023,"SO53465","SO53465 - 23","Reseller"
53465024,"SO53465","SO53465 - 24","Reseller"
53465025,"SO53465","SO53465 - 25","Reseller"
53465026,"SO53465","SO53465 - 26","Reseller"
53465027,"SO53465","SO53465 - 27","Reseller"
53465028,"SO53465","SO53465 - 28","Reseller"
53465029,"SO53465","SO53465 - 29","Reseller"
53465030,"SO53465","SO53465 - 30","Reseller"
53465031,"SO53465","SO53465 - 31","Reseller"
53465032,"SO53465","SO53465 - 32","Reseller"
53465033,"SO53465","SO53465 - 33","Reseller"
53465034,"SO53465","SO53465 - 34","Reseller"
53465035,"SO53465","SO53465 - 35","Reseller"
53465036,"SO53465","SO53465 - 36","Reseller"
53465037,"SO53465","SO53465 - 37","Reseller"
53465038,"SO53465","SO53465 - 38","Reseller"
53465039,"SO53465","SO53465 - 39","Reseller"
53465040,"SO53465","SO53465 - 40","Reseller"
53465041,"SO53465","SO53465 - 41","Reseller"
53465042,"SO53465","SO53465 - 42","Reseller"
53465043,"SO53465","SO53465 - 43","Reseller"
53465044,"SO53465","SO53465 - 44","Reseller"
53465045,"SO53465","SO53465 - 45","Reseller"
53465046,"SO53465","SO53465 - 46","Reseller"
53465047,"SO53465","SO53465 - 47","Reseller"
53465048,"SO53465","SO53465 - 48","Reseller"
53465049,"SO53465","SO53465 - 49","Reseller"
53465050,"SO53465","SO53465 - 50","Reseller"
53465051,"SO53465","SO53465 - 51","Reseller"
53465052,"SO53465","SO53465 - 52","Reseller"
53465053,"SO53465","SO53465 - 53","Reseller"
53465054,"SO53465","SO53465 - 54","Reseller"
53465055,"SO53465","SO53465 - 55","Reseller"
53465056,"SO53465","SO53465 - 56","Reseller"
53465057,"SO53465","SO53465 - 57","Reseller"
53465058,"SO53465","SO53465 - 58","Reseller"
53465059,"SO53465","SO53465 - 59","Reseller"
53465060,"SO53465","SO53465 - 60","Reseller"
53465061,"SO53465","SO53465 - 61","Reseller"
53465062,"SO53465","SO53465 - 62","Reseller"
53465063,"SO53465","SO53465 - 63","Reseller"
53465064,"SO53465","SO53465 - 64","Reseller"
53465065,"SO53465","SO53465 - 65","Reseller"
53465066,"SO53465","SO53465 - 66","Reseller"
53465067,"SO53465","SO53465 - 67","Reseller"
53465068,"SO53465","SO53465 - 68","Reseller"
53465069,"SO53465","SO53465 - 69","Reseller"
53465070,"SO53465","SO53465 - 70","Reseller"
53465071,"SO53465","SO53465 - 71","Reseller"
47395001,"SO47395","SO47395 - 01","Reseller"
47395002,"SO47395","SO47395 - 02","Reseller"
47395003,"SO47395","SO47395 - 03","Reseller"
47395004,"SO47395","SO47395 - 04","Reseller"
47395005,"SO47395","SO47395 - 05","Reseller"
47395006,"SO47395","SO47395 - 06","Reseller"
47395007,"SO47395","SO47395 - 07","Reseller"
47395008,"SO47395","SO47395 - 08","Reseller"
47395009,"SO47395","SO47395 - 09","Reseller"
47395010,"SO47395","SO47395 - 10","Reseller"
47395011,"SO47395","SO47395 - 11","Reseller"
47395012,"SO47395","SO47395 - 12","Reseller"
47395013,"SO47395","SO47395 - 13","Reseller"
47395014,"SO47395","SO47395 - 14","Reseller"
47395015,"SO47395","SO47395 - 15","Reseller"
47395016,"SO47395","SO47395 - 16","Reseller"
47395017,"SO47395","SO47395 - 17","Reseller"
47395018,"SO47395","SO47395 - 18","Reseller"
47395019,"SO47395","SO47395 - 19","Reseller"
47395020,"SO47395","SO47395 - 20","Reseller"
47395021,"SO47395","SO47395 - 21","Reseller"
47395022,"SO47395","SO47395 - 22","Reseller"
47395023,"SO47395","SO47395 - 23","Reseller"
47395024,"SO47395","SO47395 - 24","Reseller"
47395025,"SO47395","SO47395 - 25","Reseller"
47395026,"SO47395","SO47395 - 26","Reseller"
47395027,"SO47395","SO47395 - 27","Reseller"
47395028,"SO47395","SO47395 - 28","Reseller"
47395029,"SO47395","SO47395 - 29","Reseller"
47395030,"SO47395","SO47395 - 30","Reseller"
47395031,"SO47395","SO47395 - 31","Reseller"
