ProductID,Date,variable,value
491,2001-07-02 00:00:00.000,Zip,20169.0
1230,2002-11-06 00:00:00.000,Zip,85364.0
185,2007-06-16 00:00:00.000,Zip,50208.0
461,2013-04-24 00:00:00.000,Zip,50161.0
502,2003-08-04 00:00:00.000,Zip,77059.0
1085,2005-04-18 00:00:00.000,Zip,15905.0
1155,2007-06-21 00:00:00.000,Zip,33434.0
2400,2003-04-18 00:00:00.000,Zip,13652.0
927,2005-05-06 00:00:00.000,Zip,61046.0
2280,2005-01-03 00:00:00.000,Zip,85755.0
761,2003-01-22 00:00:00.000,Zip,73119.0
674,2009-08-06 00:00:00.000,Zip,92277.0
2350,2010-08-10 00:00:00.000,Zip,28804.0
407,2010-08-06 00:00:00.000,Zip,1545.0
992,2008-06-16 00:00:00.000,Zip,49508.0
762,2006-03-17 00:00:00.000,Zip,40744.0
421,2012-12-15 00:00:00.000,Zip,60046.0
786,2003-07-25 00:00:00.000,Zip,46112.0
981,2008-04-18 00:00:00.000,Zip,41557.0
475,2000-10-26 00:00:00.000,Zip,54166.0
1017,2006-03-14 00:00:00.000,Zip,74044.0
2295,2006-05-25 00:00:00.000,Zip,38583.0
2343,2007-07-31 00:00:00.000,Zip,94044.0
2275,2006-09-22 00:00:00.000,Zip,90249.0
2388,2007-04-30 00:00:00.000,Zip,62040.0
1182,2009-06-01 00:00:00.000,Zip,60142.0
1304,2012-12-21 00:00:00.000,Zip,93523.0
754,1999-08-15 00:00:00.000,Zip,30126.0
2253,2002-10-30 00:00:00.000,Zip,92024.0
726,2001-10-19 00:00:00.000,Zip,39347.0
689,2006-02-07 00:00:00.000,Zip,27615.0
716,2003-12-12 00:00:00.000,Zip,74081.0
1826,2008-06-18 00:00:00.000,Zip,97035.0
794,2010-10-26 00:00:00.000,Zip,39573.0
2277,2008-06-19 00:00:00.000,Zip,48044.0
2280,2003-09-29 00:00:00.000,Zip,74032.0
2045,2008-08-19 00:00:00.000,Zip,93906.0
239,2008-05-29 00:00:00.000,Zip,99654.0
767,2003-07-24 00:00:00.000,Zip,44030.0
609,2002-04-08 00:00:00.000,Zip,8824.0
730,2006-05-12 00:00:00.000,Zip,39556.0
777,2005-09-24 00:00:00.000,Zip,37692.0
726,2002-03-28 00:00:00.000,Zip,32413.0
763,2004-11-30 00:00:00.000,Zip,34982.0
683,2004-08-07 00:00:00.000,Zip,54629.0
9,2011-03-30 00:00:00.000,Zip,83687.0
675,2006-06-21 00:00:00.000,Zip,55082.0
1182,2005-07-06 00:00:00.000,Zip,98043.0
1230,2000-09-29 00:00:00.000,Zip,75651.0
762,2010-08-10 00:00:00.000,Zip,7054.0
2331,2000-06-16 00:00:00.000,Zip,78254.0
1086,2009-02-02 00:00:00.000,Zip,74008.0
491,2009-06-29 00:00:00.000,Zip,63036.0
2388,2008-03-21 00:00:00.000,Zip,95963.0
2388,2004-03-23 00:00:00.000,Zip,79764.0
467,2000-10-18 00:00:00.000,Zip,32225.0
438,2011-05-14 00:00:00.000,Zip,29621.0
927,2006-05-15 00:00:00.000,Zip,95355.0
2084,2006-05-23 00:00:00.000,Zip,37918.0
907,2006-04-06 00:00:00.000,Zip,8534.0
457,2010-07-27 00:00:00.000,Zip,13662.0
615,2009-01-24 00:00:00.000,Zip,74301.0
2388,2000-08-22 00:00:00.000,Zip,83549.0
1186,2001-05-21 00:00:00.000,Zip,1082.0
506,2014-06-15 00:00:00.000,Zip,8016.0
792,2005-05-12 00:00:00.000,Zip,93725.0
1066,2001-03-14 00:00:00.000,Zip,25271.0
443,2004-01-31 00:00:00.000,Zip,70445.0
674,2007-06-01 00:00:00.000,Zip,53215.0
1518,2009-02-12 00:00:00.000,Zip,91354.0
2237,2007-04-09 00:00:00.000,Zip,83612.0
760,2002-10-31 00:00:00.000,Zip,91342.0
966,2005-12-31 00:00:00.000,Zip,93702.0
2045,2007-03-07 00:00:00.000,Zip,24012.0
599,2006-07-29 00:00:00.000,Zip,90505.0
674,2008-07-12 00:00:00.000,Zip,83221.0
964,2000-10-16 00:00:00.000,Zip,71072.0
689,2003-10-04 00:00:00.000,Zip,92075.0
1490,2003-01-17 00:00:00.000,Zip,84403.0
760,2006-02-24 00:00:00.000,Zip,78231.0
2074,2000-10-31 00:00:00.000,Zip,30736.0
2054,2004-02-19 00:00:00.000,Zip,72802.0
2084,2008-06-24 00:00:00.000,Zip,85297.0
1228,2009-08-03 00:00:00.000,Zip,23454.0
1893,2009-11-12 00:00:00.000,Zip,54020.0
1522,2009-04-23 00:00:00.000,Zip,81623.0
762,2008-12-24 00:00:00.000,Zip,38756.0
1809,2005-12-31 00:00:00.000,Zip,10003.0
2241,2002-02-11 00:00:00.000,Zip,30013.0
2354,2004-02-11 00:00:00.000,Zip,40013.0
1053,2007-08-31 00:00:00.000,Zip,31909.0
1943,2005-09-20 00:00:00.000,Zip,92010.0
725,2002-08-31 00:00:00.000,Zip,85234.0
1009,2013-05-30 00:00:00.000,Zip,60016.0
1182,2007-10-24 00:00:00.000,Zip,78705.0
512,2002-11-21 00:00:00.000,Zip,56377.0
647,2005-03-28 00:00:00.000,Zip,6029.0
780,2007-02-12 00:00:00.000,Zip,86314.0
657,2006-07-31 00:00:00.000,Zip,21128.0
990,1999-09-15 00:00:00.000,Zip,66712.0
491,2001-07-02 00:00:00.000,Units,1.0
1230,2002-11-06 00:00:00.000,Units,1.0
185,2007-06-16 00:00:00.000,Units,1.0
461,2013-04-24 00:00:00.000,Units,1.0
502,2003-08-04 00:00:00.000,Units,1.0
1085,2005-04-18 00:00:00.000,Units,1.0
1155,2007-06-21 00:00:00.000,Units,1.0
2400,2003-04-18 00:00:00.000,Units,1.0
927,2005-05-06 00:00:00.000,Units,1.0
2280,2005-01-03 00:00:00.000,Units,1.0
761,2003-01-22 00:00:00.000,Units,1.0
674,2009-08-06 00:00:00.000,Units,1.0
2350,2010-08-10 00:00:00.000,Units,1.0
407,2010-08-06 00:00:00.000,Units,1.0
992,2008-06-16 00:00:00.000,Units,1.0
762,2006-03-17 00:00:00.000,Units,1.0
421,2012-12-15 00:00:00.000,Units,1.0
786,2003-07-25 00:00:00.000,Units,1.0
981,2008-04-18 00:00:00.000,Units,1.0
475,2000-10-26 00:00:00.000,Units,1.0
1017,2006-03-14 00:00:00.000,Units,1.0
2295,2006-05-25 00:00:00.000,Units,1.0
2343,2007-07-31 00:00:00.000,Units,1.0
2275,2006-09-22 00:00:00.000,Units,1.0
2388,2007-04-30 00:00:00.000,Units,1.0
1182,2009-06-01 00:00:00.000,Units,1.0
1304,2012-12-21 00:00:00.000,Units,1.0
754,1999-08-15 00:00:00.000,Units,1.0
2253,2002-10-30 00:00:00.000,Units,1.0
726,2001-10-19 00:00:00.000,Units,1.0
689,2006-02-07 00:00:00.000,Units,1.0
716,2003-12-12 00:00:00.000,Units,1.0
1826,2008-06-18 00:00:00.000,Units,1.0
794,2010-10-26 00:00:00.000,Units,1.0
2277,2008-06-19 00:00:00.000,Units,1.0
2280,2003-09-29 00:00:00.000,Units,1.0
2045,2008-08-19 00:00:00.000,Units,1.0
239,2008-05-29 00:00:00.000,Units,1.0
767,2003-07-24 00:00:00.000,Units,1.0
609,2002-04-08 00:00:00.000,Units,1.0
730,2006-05-12 00:00:00.000,Units,1.0
777,2005-09-24 00:00:00.000,Units,1.0
726,2002-03-28 00:00:00.000,Units,1.0
763,2004-11-30 00:00:00.000,Units,1.0
683,2004-08-07 00:00:00.000,Units,1.0
9,2011-03-30 00:00:00.000,Units,1.0
675,2006-06-21 00:00:00.000,Units,1.0
1182,2005-07-06 00:00:00.000,Units,1.0
1230,2000-09-29 00:00:00.000,Units,1.0
762,2010-08-10 00:00:00.000,Units,1.0
2331,2000-06-16 00:00:00.000,Units,1.0
1086,2009-02-02 00:00:00.000,Units,1.0
491,2009-06-29 00:00:00.000,Units,1.0
2388,2008-03-21 00:00:00.000,Units,1.0
2388,2004-03-23 00:00:00.000,Units,1.0
467,2000-10-18 00:00:00.000,Units,1.0
438,2011-05-14 00:00:00.000,Units,1.0
927,2006-05-15 00:00:00.000,Units,1.0
2084,2006-05-23 00:00:00.000,Units,1.0
907,2006-04-06 00:00:00.000,Units,1.0
457,2010-07-27 00:00:00.000,Units,1.0
615,2009-01-24 00:00:00.000,Units,1.0
2388,2000-08-22 00:00:00.000,Units,1.0
1186,2001-05-21 00:00:00.000,Units,1.0
506,2014-06-15 00:00:00.000,Units,1.0
792,2005-05-12 00:00:00.000,Units,1.0
1066,2001-03-14 00:00:00.000,Units,1.0
443,2004-01-31 00:00:00.000,Units,1.0
674,2007-06-01 00:00:00.000,Units,1.0
1518,2009-02-12 00:00:00.000,Units,1.0
2237,2007-04-09 00:00:00.000,Units,1.0
760,2002-10-31 00:00:00.000,Units,1.0
966,2005-12-31 00:00:00.000,Units,1.0
2045,2007-03-07 00:00:00.000,Units,1.0
599,2006-07-29 00:00:00.000,Units,1.0
674,2008-07-12 00:00:00.000,Units,1.0
964,2000-10-16 00:00:00.000,Units,1.0
689,2003-10-04 00:00:00.000,Units,1.0
1490,2003-01-17 00:00:00.000,Units,1.0
760,2006-02-24 00:00:00.000,Units,1.0
2074,2000-10-31 00:00:00.000,Units,1.0
2054,2004-02-19 00:00:00.000,Units,2.0
2084,2008-06-24 00:00:00.000,Units,1.0
1228,2009-08-03 00:00:00.000,Units,1.0
1893,2009-11-12 00:00:00.000,Units,1.0
1522,2009-04-23 00:00:00.000,Units,1.0
762,2008-12-24 00:00:00.000,Units,1.0
1809,2005-12-31 00:00:00.000,Units,1.0
2241,2002-02-11 00:00:00.000,Units,1.0
2354,2004-02-11 00:00:00.000,Units,1.0
1053,2007-08-31 00:00:00.000,Units,1.0
1943,2005-09-20 00:00:00.000,Units,1.0
725,2002-08-31 00:00:00.000,Units,1.0
1009,2013-05-30 00:00:00.000,Units,1.0
1182,2007-10-24 00:00:00.000,Units,1.0
512,2002-11-21 00:00:00.000,Units,1.0
647,2005-03-28 00:00:00.000,Units,1.0
780,2007-02-12 00:00:00.000,Units,1.0
657,2006-07-31 00:00:00.000,Units,1.0
990,1999-09-15 00:00:00.000,Units,1.0
491,2001-07-02 00:00:00.000,Revenue,852.3375
1230,2002-11-06 00:00:00.000,Revenue,524.9475
185,2007-06-16 00:00:00.000,Revenue,830.8125
461,2013-04-24 00:00:00.000,Revenue,1144.4475
502,2003-08-04 00:00:00.000,Revenue,1105.9125
1085,2005-04-18 00:00:00.000,Revenue,86.5725
1155,2007-06-21 00:00:00.000,Revenue,454.0725
2400,2003-04-18 00:00:00.000,Revenue,89.1975
927,2005-05-06 00:00:00.000,Revenue,461.9475
2280,2005-01-03 00:00:00.000,Revenue,162.6975
761,2003-01-22 00:00:00.000,Revenue,173.1975
674,2009-08-06 00:00:00.000,Revenue,692.9475
2350,2010-08-10 00:00:00.000,Revenue,372.225
407,2010-08-06 00:00:00.000,Revenue,1708.8225
992,2008-06-16 00:00:00.000,Revenue,304.4475
762,2006-03-17 00:00:00.000,Revenue,183.6975
421,2012-12-15 00:00:00.000,Revenue,1758.6975
786,2003-07-25 00:00:00.000,Revenue,57.6975
981,2008-04-18 00:00:00.000,Revenue,167.9475
475,2000-10-26 00:00:00.000,Revenue,978.075
1017,2006-03-14 00:00:00.000,Revenue,288.6975
2295,2006-05-25 00:00:00.000,Revenue,908.1975
2343,2007-07-31 00:00:00.000,Revenue,482.9475
2275,2006-09-22 00:00:00.000,Revenue,372.6975
2388,2007-04-30 00:00:00.000,Revenue,325.4475
1182,2009-06-01 00:00:00.000,Revenue,209.9475
1304,2012-12-21 00:00:00.000,Revenue,398.9475
754,1999-08-15 00:00:00.000,Revenue,246.6975
2253,2002-10-30 00:00:00.000,Revenue,136.4475
726,2001-10-19 00:00:00.000,Revenue,120.6975
689,2006-02-07 00:00:00.000,Revenue,347.2875
716,2003-12-12 00:00:00.000,Revenue,152.1975
1826,2008-06-18 00:00:00.000,Revenue,215.1975
794,2010-10-26 00:00:00.000,Revenue,89.1975
2277,2008-06-19 00:00:00.000,Revenue,288.6975
2280,2003-09-29 00:00:00.000,Revenue,154.8225
2045,2008-08-19 00:00:00.000,Revenue,493.4475
239,2008-05-29 00:00:00.000,Revenue,393.4875
767,2003-07-24 00:00:00.000,Revenue,94.4475
609,2002-04-08 00:00:00.000,Revenue,829.2375
730,2006-05-12 00:00:00.000,Revenue,325.4475
777,2005-09-24 00:00:00.000,Revenue,115.4475
726,2002-03-28 00:00:00.000,Revenue,120.6975
763,2004-11-30 00:00:00.000,Revenue,309.6975
683,2004-08-07 00:00:00.000,Revenue,865.9875
9,2011-03-30 00:00:00.000,Revenue,601.3875
675,2006-06-21 00:00:00.000,Revenue,655.2
1182,2005-07-06 00:00:00.000,Revenue,157.4475
1230,2000-09-29 00:00:00.000,Revenue,524.9475
762,2010-08-10 00:00:00.000,Revenue,194.1975
2331,2000-06-16 00:00:00.000,Revenue,540.6975
1086,2009-02-02 00:00:00.000,Revenue,91.8225
491,2009-06-29 00:00:00.000,Revenue,944.9475
2388,2008-03-21 00:00:00.000,Revenue,325.4475
2388,2004-03-23 00:00:00.000,Revenue,309.6975
467,2000-10-18 00:00:00.000,Revenue,894.3375
438,2011-05-14 00:00:00.000,Revenue,997.4475
927,2006-05-15 00:00:00.000,Revenue,472.4475
2084,2006-05-23 00:00:00.000,Revenue,650.9475
907,2006-04-06 00:00:00.000,Revenue,593.1975
457,2010-07-27 00:00:00.000,Revenue,997.4475
615,2009-01-24 00:00:00.000,Revenue,682.4475
2388,2000-08-22 00:00:00.000,Revenue,314.9475
1186,2001-05-21 00:00:00.000,Revenue,425.1975
506,2014-06-15 00:00:00.000,Revenue,1359.6975
792,2005-05-12 00:00:00.000,Revenue,65.5725
1066,2001-03-14 00:00:00.000,Revenue,304.4475
443,2004-01-31 00:00:00.000,Revenue,860.7375
674,2007-06-01 00:00:00.000,Revenue,713.7375
1518,2009-02-12 00:00:00.000,Revenue,230.895
2237,2007-04-09 00:00:00.000,Revenue,178.4475
760,2002-10-31 00:00:00.000,Revenue,146.9475
966,2005-12-31 00:00:00.000,Revenue,488.1975
2045,2007-03-07 00:00:00.000,Revenue,467.1975
599,2006-07-29 00:00:00.000,Revenue,892.2375
674,2008-07-12 00:00:00.000,Revenue,724.2375
964,2000-10-16 00:00:00.000,Revenue,314.9475
689,2003-10-04 00:00:00.000,Revenue,347.2875
1490,2003-01-17 00:00:00.000,Revenue,262.395
760,2006-02-24 00:00:00.000,Revenue,162.6975
2074,2000-10-31 00:00:00.000,Revenue,330.6975
2054,2004-02-19 00:00:00.000,Revenue,1102.395
2084,2008-06-24 00:00:00.000,Revenue,666.6975
1228,2009-08-03 00:00:00.000,Revenue,146.9475
1893,2009-11-12 00:00:00.000,Revenue,734.9475
1522,2009-04-23 00:00:00.000,Revenue,524.895
762,2008-12-24 00:00:00.000,Revenue,191.5725
1809,2005-12-31 00:00:00.000,Revenue,220.4475
