Country,2015 Results,2016 Budgets
"UK",555416.6,583187.43
"Germany",817962.8,858860.94
"Spain",636855.1,668697.855
"Italy",406535.9,426862.695
"Ukraine",722769.2,758907.66
"France",125531.2,131807.76
"Romania",89297.6,93762.48
"Hungary",14813.7,15554.385
"Belarus",106308.9,111624.345
"Poland",222172,233280.6
"Serbia",33406.2,35076.51
"Austria",63455.7,66628.485
"Czech Republic",153785.1,161474.355
"Bulgaria",26920.6,28266.63
"Croatia",20120.1,21126.105
"Latvia",45995.5,48295.275
"Greece",111776.1,117364.905
"Sweden",31094.7,32649.435
"Netherlands",77766.9,81655.245
"Moldova",54839.5,57581.475
"Lithuania",71080.3,74634.315
"Portugal",23959.2,25157.16
"Finland",145798.7,153088.635
"Bosnia",13560.8,14238.84
"Norway",110864.9,116408.145
"Denmark",78229.2,82140.66
