OrderNumber,OrderDate,Customer Name Index,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Channel,Channel Code,Alt. Name,Importance,Prior Code,Warehouse Code Ccy,Month Name,Type,Year
"SO - 0001943",2015-01-02 00:00:00.000,74,"USD","AXW291",16,11,9,978.2,8803.8,626.048,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001951",2015-01-02 00:00:00.000,131,"USD","AXW291",21,6,10,6197.5,61975,3594.55,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0001989",2015-01-06 00:00:00.000,115,"USD","AXW291",5,11,7,5721.8,40052.6,4176.914,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002017",2015-01-09 00:00:00.000,69,"USD","AXW291",4,10,9,1031.8,9286.2,412.72,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002033",2015-01-10 00:00:00.000,11,"USD","AXW291",24,11,10,3396.9,33969,2377.83,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002047",2015-01-11 00:00:00.000,174,"USD","AXW291",1,9,9,1775.5,15979.5,994.28,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002076",2015-01-14 00:00:00.000,6,"USD","AXW291",12,1,12,891.1,10693.2,570.304,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002151",2015-01-23 00:00:00.000,39,"USD","AXW291",7,2,9,1855.9,16703.1,1317.689,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002162",2015-01-24 00:00:00.000,137,"USD","AXW291",9,12,9,1179.2,10612.8,837.232,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002194",2015-01-29 00:00:00.000,159,"USD","AXW291",26,11,7,2680,18760,1098.8,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","January","LOCAL / WHOLE","2015"
"SO - 0002282",2015-02-08 00:00:00.000,165,"USD","AXW291",6,2,9,2418.7,21768.3,1596.342,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002291",2015-02-09 00:00:00.000,13,"USD","AXW291",12,6,10,2271.3,22713,1476.345,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002334",2015-02-13 00:00:00.000,158,"USD","AXW291",5,14,7,3939.6,27577.2,2481.948,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002379",2015-02-19 00:00:00.000,53,"USD","AXW291",3,14,5,3999.9,19999.5,2519.937,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002398",2015-02-21 00:00:00.000,125,"USD","AXW291",1,15,12,1996.6,23959.2,1637.212,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","February","LOCAL / WHOLE","2015"
"SO - 0002474",2015-03-03 00:00:00.000,14,"USD","AXW291",20,1,5,1762.1,8810.5,1215.849,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002527",2015-03-12 00:00:00.000,3,"USD","AXW291",24,8,5,1145.7,5728.5,905.103,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002577",2015-03-19 00:00:00.000,113,"USD","AXW291",30,7,8,958.1,7664.8,795.223,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002602",2015-03-22 00:00:00.000,160,"USD","AXW291",7,2,7,3785.5,26498.5,1514.2,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002610",2015-03-24 00:00:00.000,137,"USD","AXW291",2,8,10,1788.9,17889,751.338,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002641",2015-03-27 00:00:00.000,57,"USD","AXW291",23,10,10,2613,26130,1620.06,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002643",2015-03-27 00:00:00.000,119,"USD","AXW291",14,15,11,1025.1,11276.1,584.307,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","March","LOCAL / WHOLE","2015"
"SO - 0002675",2015-04-02 00:00:00.000,54,"USD","AXW291",29,3,11,1795.6,19751.6,1023.492,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002726",2015-04-07 00:00:00.000,39,"USD","AXW291",22,13,12,2633.1,31597.2,1211.226,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
"SO - 0002737",2015-04-08 00:00:00.000,147,"USD","AXW291",14,8,10,1232.8,12328,678.04,"Wholesale","WHOLE","Local","Low","SUPER","AXW291 - USD","April","LOCAL / WHOLE","2015"
