Index,Territory,City,Country,Full
1,"New South Wales","Sydney","Australia","Sydney, New South Wales, Australia"
2,"New South Wales","Albury","Australia","Albury, New South Wales, Australia"
3,"New South Wales","Armidale","Australia","Armidale, New South Wales, Australia"
4,"New South Wales","Bathurst","Australia","Bathurst, New South Wales, Australia"
5,"New South Wales","Broken Hill","Australia","Broken Hill, New South Wales, Australia"
6,"New South Wales","Cessnock","Australia","Cessnock, New South Wales, Australia"
7,"New South Wales","Coffs Harbour","Australia","Coffs Harbour, New South Wales, Australia"
8,"New South Wales","Dubbo","Australia","Dubbo, New South Wales, Australia"
9,"New South Wales","Gosford","Australia","Gosford, New South Wales, Australia"
10,"New South Wales","Goulburn","Australia","Goulburn, New South Wales, Australia"
11,"New South Wales","Grafton","Australia","Grafton, New South Wales, Australia"
12,"New South Wales","Griffith","Australia","Griffith, New South Wales, Australia"
13,"New South Wales","Lake Macquarie","Australia","Lake Macquarie, New South Wales, Australia"
14,"New South Wales","Lismore","Australia","Lismore, New South Wales, Australia"
15,"New South Wales","Maitland","Australia","Maitland, New South Wales, Australia"
16,"New South Wales","Newcastle","Australia","Newcastle, New South Wales, Australia"
17,"New South Wales","Nowra","Australia","Nowra, New South Wales, Australia"
18,"New South Wales","Orange","Australia","Orange, New South Wales, Australia"
19,"New South Wales","Port Macquarie","Australia","Port Macquarie, New South Wales, Australia"
20,"New South Wales","Queanbeyan","Australia","Queanbeyan, New South Wales, Australia"
21,"New South Wales","Tamworth","Australia","Tamworth, New South Wales, Australia"
22,"New South Wales","Tweed Heads","Australia","Tweed Heads, New South Wales, Australia"
23,"New South Wales","Wagga Wagga","Australia","Wagga Wagga, New South Wales, Australia"
24,"New South Wales","Wollongong","Australia","Wollongong, New South Wales, Australia"
25,"New South Wales","Wyong","Australia","Wyong, New South Wales, Australia"
26,"Northern Territory","Darwin","Australia","Darwin, Northern Territory, Australia"
27,"Northern Territory","Alice Springs","Australia","Alice Springs, Northern Territory, Australia"
28,"Northern Territory","Katherine","Australia","Katherine, Northern Territory, Australia"
29,"Northern Territory","Palmerston","Australia","Palmerston, Northern Territory, Australia"
30,"Queensland","Brisbane","Australia","Brisbane, Queensland, Australia"
31,"Queensland","Bundaberg","Australia","Bundaberg, Queensland, Australia"
32,"Queensland","Cairns","Australia","Cairns, Queensland, Australia"
33,"Queensland","Charters Towers","Australia","Charters Towers, Queensland, Australia"
34,"Queensland","Gladstone","Australia","Gladstone, Queensland, Australia"
35,"Queensland","Gold Coast","Australia","Gold Coast, Queensland, Australia"
36,"Queensland","Gympie","Australia","Gympie, Queensland, Australia"
37,"Queensland","Hervey Bay","Australia","Hervey Bay, Queensland, Australia"
38,"Queensland","Ipswich","Australia","Ipswich, Queensland, Australia"
39,"Queensland","Logan City","Australia","Logan City, Queensland, Australia"
40,"Queensland","Mackay","Australia","Mackay, Queensland, Australia"
41,"Queensland","Maryborough","Australia","Maryborough, Queensland, Australia"
42,"Queensland","Mount Isa","Australia","Mount Isa, Queensland, Australia"
43,"Queensland","Nambour","Australia","Nambour, Queensland, Australia"
44,"Queensland","Redcliffe","Australia","Redcliffe, Queensland, Australia"
45,"Queensland","Rockhampton","Australia","Rockhampton, Queensland, Australia"
46,"Queensland","Sunshine Coast","Australia","Sunshine Coast, Queensland, Australia"
47,"Queensland","Thuringowa","Australia","Thuringowa, Queensland, Australia"
48,"Queensland","Toowoomba","Australia","Toowoomba, Queensland, Australia"
49,"Queensland","Townsville","Australia","Townsville, Queensland, Australia"
50,"South Australia","Adelaide","Australia","Adelaide, South Australia, Australia"
51,"South Australia","Gladstone","Australia","Gladstone, South Australia, Australia"
52,"South Australia","Mount Gambier","Australia","Mount Gambier, South Australia, Australia"
53,"South Australia","Murray Bridge","Australia","Murray Bridge, South Australia, Australia"
