valor,protocolo,semestre,ano,FK_servico,FK_grupo_resp,FK_municipio,FK_Data,valor_num,FK_Atributo,tipo
9,2021.9-120.1166,,2015,174,1,12,,9.0,174,INTEGER
6,2021.9-108.1151,,2021,224,1,9,2021-01-01 00:00:00.000,6.0,224,INTEGER
0,2021.9-125.1167,,2,116,1,3,,0.0,116,INTEGER
3,2021.9-108.1153,,2021,234,1,2,2021-01-01 00:00:00.000,3.0,234,INTEGER
0,2021.10-108.1175,1.0,2021,226,1,3,2021-01-01 00:00:00.000,0.0,226,INTEGER
0,2021.9-108.1125,,2021,222,1,13,2021-01-01 00:00:00.000,0.0,222,INTEGER
1,2021.10-108.1175,1.0,2021,247,1,3,2021-01-01 00:00:00.000,1.0,247,INTEGER
0,2021.9-108.1153,,2021,249,1,2,2021-01-01 00:00:00.000,0.0,249,INTEGER
9,2021.9-125.1165,,2015,138,1,12,,9.0,138,INTEGER
0,2021.9-108.1106,,2021,232,1,7,2021-01-01 00:00:00.000,0.0,232,INTEGER
2,2021.9-108.1134,,0,219,1,3,,2.0,219,INTEGER
0,2021.9-108.1151,,2021,250,1,9,2021-01-01 00:00:00.000,0.0,250,INTEGER
9,2021.9-125.1165,,2015,120,1,12,,9.0,120,INTEGER
9,2021.9-120.1166,,2015,158,1,12,,9.0,158,INTEGER
2,2021.9-108.1153,,2021,231,1,2,2021-01-01 00:00:00.000,2.0,231,INTEGER
4,2021.9-108.1134,,0,221,1,3,,4.0,221,INTEGER
00,2021.9-108.1126,,2021,237,1,13,2021-01-01 00:00:00.000,0.0,237,INTEGER
9,2021.9-123.1162,,2015,349,1,12,,9.0,172,INTEGER
1,2021.9-108.1151,,2021,242,1,9,2021-01-01 00:00:00.000,1.0,242,INTEGER
00,2021.9-108.1126,,2021,221,1,13,2021-01-01 00:00:00.000,0.0,221,INTEGER
0,2021.9-108.1126,,2021,205,1,13,2021-01-01 00:00:00.000,0.0,205,BOOLEAN
9,2021.9-125.1160,,2015,107,1,12,,9.0,107,INTEGER
5,2021.9-108.1124,,2021,257,1,11,2021-01-01 00:00:00.000,5.0,257,INTEGER
0,2021.9-108.1124,,2021,204,1,11,2021-01-01 00:00:00.000,0.0,204,BOOLEAN
0,2021.9-108.1124,,2021,222,1,11,2021-01-01 00:00:00.000,0.0,222,INTEGER
0,2021.9-108.1153,,2021,226,1,2,2021-01-01 00:00:00.000,0.0,226,INTEGER
00,2021.9-108.1127,,2021,264,1,13,2021-01-01 00:00:00.000,0.0,264,INTEGER
0,2021.9-125.1167,,2,117,1,3,,0.0,117,INTEGER
0,2021.10-125.1173,,2021,131,1,1,2021-01-01 00:00:00.000,0.0,131,INTEGER
0,2021.9-108.1127,,2021,201,1,13,2021-01-01 00:00:00.000,0.0,201,BOOLEAN
0,2021.9-108.1125,,2021,226,1,13,2021-01-01 00:00:00.000,0.0,226,INTEGER
1,2021.9-125.1167,,2,143,1,3,,1.0,143,INTEGER
0,2021.10-109.1177,2.0,2021,331,1,3,2021-07-01 00:00:00.000,0.0,267,INTEGER
1,2021.10-108.1175,1.0,2021,259,1,3,2021-01-01 00:00:00.000,1.0,259,INTEGER
10,2021.10-109.1177,2.0,2021,338,1,3,2021-07-01 00:00:00.000,10.0,274,INTEGER
0,2021.9-108.1154,,2021,260,1,2,2021-01-01 00:00:00.000,0.0,260,INTEGER
9,2021.9-120.1166,,2015,170,1,12,,9.0,170,INTEGER
1,2021.10-108.1175,1.0,2021,249,1,3,2021-01-01 00:00:00.000,1.0,249,INTEGER
00,2021.9-108.1126,,2021,253,1,13,2021-01-01 00:00:00.000,0.0,253,INTEGER
8,2021.9-108.1153,,2021,224,1,2,2021-01-01 00:00:00.000,8.0,224,INTEGER
0,2021.9-125.1167,,2,131,1,3,,0.0,131,INTEGER
1,2021.9-108.1125,,2021,208,1,13,2021-01-01 00:00:00.000,1.0,208,BOOLEAN
13,2021.9-108.1152,,2021,237,1,12,2021-01-01 00:00:00.000,13.0,237,INTEGER
0,2021.9-108.1124,,2021,254,1,11,2021-01-01 00:00:00.000,0.0,254,INTEGER
2,2021.9-108.1153,,2021,219,1,2,2021-01-01 00:00:00.000,2.0,219,INTEGER
0,2021.10-125.1173,,2021,124,1,1,2021-01-01 00:00:00.000,0.0,124,INTEGER
0,2021.9-108.1151,,2021,252,1,9,2021-01-01 00:00:00.000,0.0,252,INTEGER
2,2021.10-120.1170,,2021,162,1,8,2021-01-01 00:00:00.000,2.0,162,INTEGER
7,2021.9-108.1134,,0,244,1,3,,7.0,244,INTEGER
9,2021.9-125.1165,,2015,116,1,12,,9.0,116,INTEGER
3,2021.10-109.1172,2.0,2021,336,1,1,2021-07-01 00:00:00.000,3.0,272,INTEGER
