Name,CustID,ProdID,Date,Currency,Qty,Sales USD Old,Cost USD Old
" Jul 2021 Sales","WA001","SSBC0002",2021-07-25 00:00:00.000,"USD",1,5,0.8
" Jul 2021 Sales","WA001","SSBC0002",2021-07-28 00:00:00.000,"USD",1,5,0.8
" Feb 2021 Sales","WA001","SSBC0002",2021-02-10 00:00:00.000,"USD",1,5,0.8
" Dec 2020 Sales","WA001","SSBC0002",2020-12-27 00:00:00.000,"USD",1,5,0.8
" Dec 2020 Sales","WA001","SSBC0002",2020-12-12 00:00:00.000,"USD",1,5,0.8
" Jul 2021 Sales","WA001","SSBC0002",2021-07-19 00:00:00.000,"USD",1,5,0.8
" Nov 2020 Sales","WA001","SSBC0002",2020-11-23 00:00:00.000,"USD",1,5,0.8
" Dec 2020 Sales","WA001","SSBC0002",2020-12-21 00:00:00.000,"USD",1,5,0.8
" Nov 2020 Sales","WA001","SSBC0002",2020-11-14 00:00:00.000,"USD",1,5,0.8
" Jul 2021 Sales","WA001","SSBC0002",2021-07-10 00:00:00.000,"USD",1,5,0.8
" Jun 2021 Sales","WA001","SSBC0002",2021-06-24 00:00:00.000,"USD",1,5,0.8
" Jun 2021 Sales","WA001","SSBC0002",2021-06-15 00:00:00.000,"USD",1,5,0.8
" Mar 2021 Sales","WA001","SSBC0002",2021-03-10 00:00:00.000,"USD",1,5,0.8
" Jun 2021 Sales","WA001","SSBC0002",2021-06-30 00:00:00.000,"USD",1,5,0.8
" Jan 2021 Sales","WA001","SSBC0002",2021-01-11 00:00:00.000,"USD",1,5,0.8
" Mar 2021 Sales","WA001","SSBC0002",2021-03-19 00:00:00.000,"USD",1,5,0.8
" Jan 2021 Sales","WA001","SSBC0002",2021-01-20 00:00:00.000,"USD",1,5,0.8
" Feb 2021 Sales","WA001","SSBC0002",2021-02-28 00:00:00.000,"USD",1,5,0.8
" Feb 2021 Sales","WA001","SSBC0002",2021-02-25 00:00:00.000,"USD",1,5,0.8
" Feb 2021 Sales","WA001","SSBC0002",2021-02-19 00:00:00.000,"USD",1,5,0.8
" Mar 2021 Sales","WA001","SSBC0002",2021-03-30 00:00:00.000,"USD",1,5,0.8
" Mar 2021 Sales","WA001","SSBC0002",2021-03-25 00:00:00.000,"USD",1,5,0.8
" Jan 2021 Sales","WA001","SSBC0002",2021-01-29 00:00:00.000,"USD",1,5,0.8
" Jan 2021 Sales","WA001","SSBC0002",2021-01-26 00:00:00.000,"USD",1,5,0.8
" Dec 2020 Sales","WA001","SSBC0002",2020-12-30 00:00:00.000,"USD",1,5,0.8
" Apr 2021 Sales","WA001","SSBC0002",2021-04-20 00:00:00.000,"USD",1,5,0.8
" Oct 2020 Sales","WA001","SSBC0002",2020-10-19 00:00:00.000,"USD",1,5,0.8
" Oct 2020 Sales","WA001","SSBC0002",2020-10-31 00:00:00.000,"USD",1,5,0.8
" Sep 2021 Sales","WA001","SSBC0002",2021-09-10 00:00:00.000,"USD",1,5,0.8
" Aug 2021 Sales","WA001","SSBC0002",2021-08-28 00:00:00.000,"USD",1,5,0.8
" Aug 2021 Sales","WA001","SSBC0002",2021-08-25 00:00:00.000,"USD",1,5,0.8
" Nov 2020 Sales","WA001","SSBC0002",2020-11-30 00:00:00.000,"USD",1,5,0.8
" Oct 2020 Sales","WA001","SSBC0002",2020-10-10 00:00:00.000,"USD",1,5,0.8
" Aug 2021 Sales","WA001","SSBC0002",2021-08-10 00:00:00.000,"USD",1,5,0.8
" Apr 2021 Sales","WA001","SSBC0002",2021-04-26 00:00:00.000,"USD",1,5,0.8
" Apr 2021 Sales","WA001","SSBC0002",2021-04-29 00:00:00.000,"USD",1,5,0.8
" Sep 2021 Sales","WA001","SSBC0002",2021-09-08 00:00:00.000,"USD",1,5,0.8
" Aug 2021 Sales","WA001","SSBC0002",2021-08-19 00:00:00.000,"USD",1,5,0.8
" Sep 2021 Sales","WA001","SSBC0002",2021-09-26 00:00:00.000,"USD",1,5,0.8
