CVR,Date,Product Number,Default Channel Grouping,Device Category,Number of Records,Region,Revenue,Sessions,Source,Transactions
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Maryland",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"New York",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"North Carolina",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Pennsylvania",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Rhode Island",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"South Carolina",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Tennessee",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Alabama",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Arkansas",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"California",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"District of Columbia",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Florida",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Georgia",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Indiana",0,1,"google",0
0,2019-01-01 00:00:00.000,"0","Organic Search","desktop",1,"Missouri",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Pennsylvania",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"North Carolina",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"North Carolina",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Alabama",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Florida",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Alabama",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Connecticut",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Minnesota",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Mississippi",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"New York",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"North Carolina",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"Arizona",0,1,"google",0
0,2019-01-02 00:00:00.000,"0","Organic Search","desktop",1,"California",0,1,"google",0
0,2019-01-03 00:00:00.000,"0","Organic Search","desktop",1,"Kansas",0,1,"google",0
0,2019-01-03 00:00:00.000,"0","Organic Search","desktop",1,"Maryland",0,1,"google",0
0,2019-01-03 00:00:00.000,"0","Organic Search","desktop",1,"Missouri",0,1,"google",0
0,2019-01-03 00:00:00.000,"0","Organic Search","desktop",1,"Nebraska",0,1,"google",0
