ID-Transação,Data,Produto,Número_Serial,Valor_Venda,Preço_Custo,Cidade,Estado,País
1078,2020-03-07 00:00:00.000,BX103,GF54548,74.1,37.22,Belo Horizonte,Minas Gerais,Brasil
1034,2020-03-20 00:00:00.000,DX101,GF54405,19.12,8.11,Vitória,Espírito Santo,Brasil
1015,2020-03-19 00:00:00.000,BX102,GF54434,54.1,26.25,Osasco,São Paulo,Brasil
1056,2020-03-01 00:00:00.000,CX103,GF54371,75.34,40.32,São Paulo,São Paulo,Brasil
1069,2020-03-06 00:00:00.000,BX103,GF54305,72.13,34.47,Belo Horizonte,Minas Gerais,Brasil
1061,2020-03-08 00:00:00.000,BX102,GF54685,55.55,24.64,Vitória,Espírito Santo,Brasil
1070,2020-03-20 00:00:00.000,BX101,GF54460,33.9,15.03,Belo Horizonte,Minas Gerais,Brasil
1018,2020-03-07 00:00:00.000,DX103,GF54315,43.98,19.13,São Paulo,São Paulo,Brasil
1022,2020-03-07 00:00:00.000,BX103,GF54492,71.9,35.84,Petrópolis,Rio de Janeiro,Brasil
1057,2020-03-31 00:00:00.000,DX101,GF54430,19.11,8.28,São Paulo,São Paulo,Brasil
1041,2020-03-16 00:00:00.000,AX102,GF54298,55.12,25.13,Vila Velha,Espírito Santo,Brasil
1008,2020-02-27 00:00:00.000,AX102,GF54584,51.28,24.1,Betim,Minas Gerais,Brasil
1086,2020-03-02 00:00:00.000,AX103,GF54401,54.44,24.08,Uberlândia,Minas Gerais,Brasil
1103,2020-03-10 00:00:00.000,BX103,GF54456,80.04,37.22,Betim,Minas Gerais,Brasil
1090,2020-03-29 00:00:00.000,DX101,GF54462,23.87,9.69,Petrópolis,Rio de Janeiro,Brasil
1049,2020-03-04 00:00:00.000,BX102,GF54620,54.12,28.93,Santos,São Paulo,Brasil
1021,2020-03-13 00:00:00.000,DX102,GF54634,62.46,30.61,Rio de Janeiro,Rio de Janeiro,Brasil
1028,2020-03-23 00:00:00.000,CX103,GF54509,80.05,33.72,Belo Horizonte,Minas Gerais,Brasil
1007,2020-03-05 00:00:00.000,AX103,GF54240,54.23,25.15,Taubaté,São Paulo,Brasil
1011,2020-03-07 00:00:00.000,AX102,GF54473,54.98,25.64,Teresópolis,Rio de Janeiro,Brasil
1059,2020-03-24 00:00:00.000,DX101,GF54576,18.9,8.99,Vitória,Espírito Santo,Brasil
1042,2020-03-27 00:00:00.000,CX103,GF54368,80.34,40.32,Vila Velha,Espírito Santo,Brasil
1071,2020-03-23 00:00:00.000,AX103,GF54457,53.9,29.43,São Paulo,São Paulo,Brasil
1039,2020-03-17 00:00:00.000,BX101,GF54692,29.4,14.73,Vila Velha,Espírito Santo,Brasil
1048,2020-03-03 00:00:00.000,CX102,GF54664,25.98,12.89,Linhares,Espírito Santo,Brasil
1072,2020-03-30 00:00:00.000,BX101,GF54433,34.23,14.73,São Paulo,São Paulo,Brasil
1025,2020-03-24 00:00:00.000,AX102,GF54245,59.87,24.62,Campos,Rio de Janeiro,Brasil
1068,2020-03-22 00:00:00.000,DX102,GF54521,66.19,28.11,Belo Horizonte,Minas Gerais,Brasil
1077,2020-03-05 00:00:00.000,DX101,GF54258,17.43,9.52,Belo Horizonte,Minas Gerais,Brasil
1101,2020-03-03 00:00:00.000,BX103,GF54602,81.9,35.16,Belo Horizonte,Minas Gerais,Brasil
1065,2020-03-04 00:00:00.000,DX103,GF54658,43.9,19.98,Rio de Janeiro,Rio de Janeiro,Brasil
1020,2020-03-27 00:00:00.000,AX101,GF54354,69.12,31.61,São Paulo,São Paulo,Brasil
1031,2020-03-18 00:00:00.000,DX101,GF54489,18.56,8.11,Belo Horizonte,Minas Gerais,Brasil
1104,2020-03-27 00:00:00.000,AX102,GF54322,54.87,24.62,Belo Horizonte,Minas Gerais,Brasil
1051,2020-03-03 00:00:00.000,BX103,GF54298,73.45,33.09,São Paulo,São Paulo,Brasil
1046,2020-03-04 00:00:00.000,BX101,GF54607,27.65,14.73,Linhares,Espírito Santo,Brasil
1045,2020-03-24 00:00:00.000,CX101,GF54559,44.9,21.75,Linhares,Espírito Santo,Brasil
1016,2020-03-27 00:00:00.000,BX102,GF54418,55.67,26.25,São Paulo,São Paulo,Brasil
1096,2020-03-27 00:00:00.000,BX103,GF54642,77.9,35.16,São Paulo,São Paulo,Brasil
1084,2020-02-27 00:00:00.000,DX102,GF54304,68.45,31.86,São Paulo,São Paulo,Brasil
1029,2020-03-04 00:00:00.000,CX101,GF54685,44.12,23.1,Belo Horizonte,Minas Gerais,Brasil
1044,2020-03-21 00:00:00.000,DX103,GF54604,39.9,21.26,Linhares,Espírito Santo,Brasil
1085,2020-03-20 00:00:00.000,DX101,GF54296,21.23,8.11,Uberlândia,Minas Gerais,Brasil
1012,2020-03-25 00:00:00.000,AX103,GF54256,53.98,25.15,Teresópolis,Rio de Janeiro,Brasil
1043,2020-03-17 00:00:00.000,DX103,GF54250,44.12,22.96,Linhares,Espírito Santo,Brasil
1037,2020-03-27 00:00:00.000,BX102,GF54448,54.9,28.39,Vitória,Espírito Santo,Brasil
1010,2020-03-27 00:00:00.000,AX102,GF54236,53.87,27.18,Teresópolis,Rio de Janeiro,Brasil
1095,2020-03-06 00:00:00.000,BX102,GF54251,56.1,25.18,São Paulo,São Paulo,Brasil
1047,2020-03-18 00:00:00.000,DX102,GF54264,65.87,34.35,Linhares,Espírito Santo,Brasil
1040,2020-03-04 00:00:00.000,BX101,GF54696,28.98,14.73,Vila Velha,Espírito Santo,Brasil
1093,2020-03-02 00:00:00.000,DX101,GF54592,15.56,9.34,Belo Horizonte,Minas Gerais,Brasil
1001,2020-03-19 00:00:00.000,AX101,GF54309,59.12,34.36,Rio de Janeiro,Rio de Janeiro,Brasil
1032,2020-03-05 00:00:00.000,AX101,GF54361,70.13,33.67,Linhares,Espírito Santo,Brasil
1004,2020-03-28 00:00:00.000,BX101,GF54527,30.06,13.53,Rio de Janeiro,Rio de Janeiro,Brasil
1033,2020-02-28 00:00:00.000,DX102,GF54323,64.98,34.35,Vila Velha,Espírito Santo,Brasil
1055,2020-03-23 00:00:00.000,AX102,GF54232,53.9,28.2,São Paulo,São Paulo,Brasil
1062,2020-03-29 00:00:00.000,DX101,GF54587,16.87,9.34,Vitória,Espírito Santo,Brasil
1094,2020-03-05 00:00:00.000,CX102,GF54679,21.87,11.4,Belo Horizonte,Minas Gerais,Brasil
1006,2020-03-19 00:00:00.000,BX102,GF54484,54.9,28.39,São Paulo,São Paulo,Brasil
1087,2020-03-20 00:00:00.000,DX101,GF54389,22.9,8.64,Uberlândia,Minas Gerais,Brasil
1019,2020-03-14 00:00:00.000,CX101,GF54568,45.98,21.29,São Paulo,São Paulo,Brasil
1009,2020-03-06 00:00:00.000,DX101,GF54319,17.62,9.16,Belo Horizonte,Minas Gerais,Brasil
1073,2020-03-17 00:00:00.000,BX103,GF54695,72.09,34.47,São Paulo,São Paulo,Brasil
1036,2020-03-01 00:00:00.000,BX102,GF54373,54.9,26.25,Vitória,Espírito Santo,Brasil
1024,2020-03-19 00:00:00.000,DX102,GF54527,53.9,30.61,Petrópolis,Rio de Janeiro,Brasil
1092,2020-03-27 00:00:00.000,BX103,GF54624,76.05,32.4,Belo Horizonte,Minas Gerais,Brasil
1105,2020-03-29 00:00:00.000,DX102,GF54356,56.9,32.48,Teresópolis,Rio de Janeiro,Brasil
1106,2020-03-21 00:00:00.000,AX102,GF54301,54.9,25.64,Teresópolis,Rio de Janeiro,Brasil
1067,2020-03-06 00:00:00.000,AX102,GF54400,54.9,23.08,Campos,Rio de Janeiro,Brasil
1080,2020-03-04 00:00:00.000,BX103,GF54291,75.03,33.09,São Paulo,São Paulo,Brasil
1038,2020-02-27 00:00:00.000,AX102,GF54331,55.89,28.2,Vitória,Espírito Santo,Brasil
1063,2020-03-25 00:00:00.000,DX102,GF54493,65.1,28.73,Rio de Janeiro,Rio de Janeiro,Brasil
1054,2020-03-15 00:00:00.000,AX103,GF54498,51.87,29.43,São Paulo,São Paulo,Brasil
1097,2020-03-18 00:00:00.000,BX103,GF54286,78.9,35.84,São Paulo,São Paulo,Brasil
1088,2020-03-20 00:00:00.000,CX103,GF54641,77.23,33.72,Belo Horizonte,Minas Gerais,Brasil
1089,2020-03-14 00:00:00.000,CX101,GF54601,45.9,24.92,Rio de Janeiro,Rio de Janeiro,Brasil
1023,2020-03-31 00:00:00.000,AX103,GF54314,51.9,27.82,Rio de Janeiro,Rio de Janeiro,Brasil
1053,2020-03-24 00:00:00.000,AX102,GF54615,53.12,28.2,São Paulo,São Paulo,Brasil
1081,2020-03-08 00:00:00.000,AX101,GF54586,70.45,30.92,São Paulo,São Paulo,Brasil
1017,2020-03-23 00:00:00.000,AX103,GF54594,52.1,25.68,São Paulo,São Paulo,Brasil
1083,2020-03-17 00:00:00.000,DX102,GF54334,67.1,31.23,São Paulo,São Paulo,Brasil
1014,2020-03-29 00:00:00.000,DX103,GF54556,42.52,23.39,Osasco,São Paulo,Brasil
1075,2020-03-19 00:00:00.000,BX103,GF54500,73.08,33.09,São Paulo,São Paulo,Brasil
1030,2020-03-20 00:00:00.000,AX103,GF54331,51.97,25.68,Belo Horizonte,Minas Gerais,Brasil
1082,2020-03-07 00:00:00.000,AX103,GF54279,53.5,25.68,São Paulo,São Paulo,Brasil
1026,2020-03-09 00:00:00.000,AX101,GF54502,70.12,35.73,Belo Horizonte,Minas Gerais,Brasil
1013,2020-03-27 00:00:00.000,CX101,GF54609,45.9,21.75,Campinas,São Paulo,Brasil
1064,2020-03-11 00:00:00.000,BX101,GF54434,26.9,14.73,Petrópolis,Rio de Janeiro,Brasil
1035,2020-03-01 00:00:00.000,BX103,GF54414,72.34,33.78,Vitória,Espírito Santo,Brasil
1100,2020-03-27 00:00:00.000,AX103,GF54373,54.9,28.36,Campos,Rio de Janeiro,Brasil
1098,2020-03-17 00:00:00.000,AX102,GF54268,55.34,26.15,São Paulo,São Paulo,Brasil
1027,2020-02-27 00:00:00.000,CX102,GF54233,24.79,11.4,Belo Horizonte,Minas Gerais,Brasil
1002,2020-02-27 00:00:00.000,BX102,GF54425,54.87,29.46,Petrópolis,Rio de Janeiro,Brasil
1066,2020-03-05 00:00:00.000,CX102,GF54402,26.9,13.39,Petrópolis,Rio de Janeiro,Brasil
1005,2020-03-03 00:00:00.000,AX101,GF54695,56.12,35.73,Rio de Janeiro,Rio de Janeiro,Brasil
1052,2020-03-13 00:00:00.000,BX103,GF54674,71.2,31.71,São Paulo,São Paulo,Brasil
1074,2020-03-23 00:00:00.000,DX102,GF54341,66.34,30.61,São Paulo,São Paulo,Brasil
1003,2020-03-02 00:00:00.000,AX101,GF54381,56.9,37.79,Campos,Rio de Janeiro,Brasil
1058,2020-03-08 00:00:00.000,CX103,GF54449,78.9,38.85,São Paulo,São Paulo,Brasil
1102,2020-03-23 00:00:00.000,DX101,GF54599,16.98,8.64,Taubaté,São Paulo,Brasil
