DivisionId,Location
"11","Cavan"
"11","Monaghan"
"12","Donegal"
"13","Sligo"
"13","Leitrim"
"14","Louth"
"21","Clare"
"22","Mayo"
"23","Galway"
"24","Roscommon"
"24","Longford"
"31","Cork"
"32","Cork"
"33","Cork"
"34","Kerry"
"35","Limerick"
"41","Laois"
"41","Offaly"
"42","Meath"
"43","Wicklow"
"44","Westmeath"
"45","Kildare"
"51","Tipperary"
"52","Wexford"
"53","Kilkenny"
"53","Carlow"
"54","Waterford"
"61","Dublin"
"62","Dublin"
"63","Dublin"
"64","Dublin"
"65","Dublin"
"66","Dublin"
