QuarterId,DivisionId,OffenceId,OffenceCount
2008Q2,12,1011,0
2007Q4,21,411,0
2011Q1,64,424,0
2018Q4,43,424,0
2021Q2,62,311,1
2005Q2,23,612,0
2014Q4,64,103,8
2020Q2,66,421,10
2005Q3,35,111,0
2014Q2,44,113,0
2011Q4,54,611,8
2008Q3,23,131,706
2016Q3,12,113,0
2012Q1,34,84,129
2005Q4,32,422,0
2015Q1,32,152,0
2014Q3,13,412,32
2017Q3,44,512,0
2013Q2,12,153,1
2008Q1,23,132,35
2008Q2,31,423,0
2016Q4,53,313,7
2017Q1,65,713,11
2014Q4,64,1011,0
2008Q2,32,134,0
2015Q2,31,22,3
2005Q2,21,12,2
2012Q4,53,113,12
2020Q4,31,112,0
2005Q4,51,114,0
2007Q2,32,712,81
2013Q3,53,311,0
2006Q2,61,136,99
2009Q1,65,713,4
2004Q4,61,1021,80
2020Q1,21,424,0
2021Q1,43,511,0
2020Q1,34,513,0
2004Q4,42,21,5
2013Q3,22,135,0
2007Q3,53,151,1
2010Q2,32,1022,136
2003Q1,22,621,0
2011Q2,34,103,2
2006Q4,35,612,0
2018Q1,13,111,1
2004Q4,35,1012,1
2019Q2,12,513,0
2018Q3,13,1211,9
2015Q4,22,621,0
2008Q3,63,111,3
2018Q2,51,413,5
2012Q1,66,313,8
2018Q1,53,621,2
2010Q3,45,713,2
2004Q1,54,152,0
2013Q2,14,711,1
2009Q2,41,1122,6
2021Q2,41,411,0
2011Q3,64,1221,1
2010Q2,22,1022,33
2004Q4,23,1022,56
2010Q4,41,33,15
2020Q4,42,821,2
2003Q1,21,131,92
2015Q4,32,711,1
2003Q1,11,1211,5
2005Q4,65,425,0
2006Q2,44,712,128
2019Q4,13,311,0
2004Q3,64,621,0
2014Q3,34,413,4
2007Q2,51,133,197
2015Q3,52,133,6
2013Q2,34,611,0
2004Q3,66,12,1
2003Q3,64,821,108
2016Q2,43,151,2
2017Q4,13,712,82
2007Q2,61,1122,7
2008Q1,23,613,9
2009Q2,63,111,3
2004Q2,24,1211,4
2015Q3,33,613,1
2018Q4,45,35,109
2010Q3,13,711,1
2020Q4,32,131,149
2013Q1,23,35,107
2009Q3,65,131,459
2020Q1,21,421,0
2004Q2,51,21,5
2012Q4,41,132,18
2010Q2,14,421,0
2007Q1,21,821,5
2003Q1,45,1012,0
2011Q2,35,21,20
2018Q2,35,133,5
2014Q1,45,612,1
2005Q1,11,84,160
2005Q2,63,1022,215
