Date,DateAsInteger,Year,Year Month Number,Month Name Short,Month Name Long,DayOfWeek Number,DayOfWeek,DayOfWeek Short,Quarter,Year Quarter,Period,Year Month Name,Month Name Year,Month Number,Month Name Long and Year,Month Sequence
2019-07-01 00:00:00.000,"20190701",2019,"2019-07","JUL","July",2,"Monday","Mon","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-02 00:00:00.000,"20190702",2019,"2019-07","JUL","July",3,"Tuesday","Tue","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-03 00:00:00.000,"20190703",2019,"2019-07","JUL","July",4,"Wednesday","Wed","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-04 00:00:00.000,"20190704",2019,"2019-07","JUL","July",5,"Thursday","Thu","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-05 00:00:00.000,"20190705",2019,"2019-07","JUL","July",6,"Friday","Fri","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-06 00:00:00.000,"20190706",2019,"2019-07","JUL","July",7,"Saturday","Sat","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-07 00:00:00.000,"20190707",2019,"2019-07","JUL","July",1,"Sunday","Sun","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-08 00:00:00.000,"20190708",2019,"2019-07","JUL","July",2,"Monday","Mon","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-09 00:00:00.000,"20190709",2019,"2019-07","JUL","July",3,"Tuesday","Tue","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-10 00:00:00.000,"20190710",2019,"2019-07","JUL","July",4,"Wednesday","Wed","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-11 00:00:00.000,"20190711",2019,"2019-07","JUL","July",5,"Thursday","Thu","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-12 00:00:00.000,"20190712",2019,"2019-07","JUL","July",6,"Friday","Fri","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
2019-07-13 00:00:00.000,"20190713",2019,"2019-07","JUL","July",7,"Saturday","Sat","Q3","2019-Q3",7,"2019 JUL","JUL 2019",7,"July 2019",24235
