Measure Names,State,Measure Values,Year
"% w/ BA or Higher","Wyoming",22.5,2016
"% Obese","Wyoming",25.1,2017
"% w/ BA or Higher","Wisconsin",25.6,2016
"% Obese","Wisconsin",26.3,2017
"% w/ BA or Higher","West Virginia",15.3,2016
"% Obese","West Virginia",32.5,2017
"% w/ BA or Higher","Texas",24.5,2016
"% Obese","Texas",31,2017
"% w/ BA or Higher","Tennessee",24.3,2016
"% Obese","Tennessee",30.8,2017
"% w/ BA or Higher","South Dakota",25.5,2016
"% Obese","South Dakota",27.3,2017
"% w/ BA or Higher","South Carolina",24.9,2016
"% Obese","South Carolina",31.5,2017
"% w/ BA or Higher","Pennsylvania",25.3,2016
"% Obese","Pennsylvania",28.6,2017
"% w/ BA or Higher","Oregon",25.9,2016
"% Obese","Oregon",26.8,2017
"% w/ BA or Higher","Oklahoma",22.9,2016
"% Obese","Oklahoma",30.4,2017
"% w/ BA or Higher","Ohio",24.6,2016
"% Obese","Ohio",29.2,2017
"% w/ BA or Higher","North Dakota",25.2,2016
"% Obese","North Dakota",27.2,2017
"% w/ BA or Higher","North Carolina",23.4,2016
"% Obese","North Carolina",27.8,2017
"% w/ BA or Higher","New Mexico",25.1,2016
"% Obese","New Mexico",25.1,2017
"% w/ BA or Higher","Nebraska",24.8,2016
"% Obese","Nebraska",26.9,2017
"% w/ BA or Higher","Missouri",28.1,2016
"% Obese","Missouri",30.5,2017
"% w/ BA or Higher","Mississippi",20.1,2016
"% Obese","Mississippi",34,2017
"% w/ BA or Higher","Michigan",24.4,2016
"% Obese","Michigan",30.9,2017
"% w/ BA or Higher","Maine",24.2,2016
"% Obese","Maine",26.8,2017
"% w/ BA or Higher","Louisiana",22.4,2016
"% Obese","Louisiana",31,2017
"% w/ BA or Higher","Kentucky",21,2016
"% Obese","Kentucky",31.3,2017
"% w/ BA or Higher","Iowa",24.3,2016
"% Obese","Iowa",28.4,2017
"% w/ BA or Higher","Indiana",21.1,2016
"% Obese","Indiana",29.6,2017
"% w/ BA or Higher","Illinois",27.4,2016
"% Obese","Illinois",28.2,2017
"% w/ BA or Higher","Idaho",23.8,2016
"% Obese","Idaho",26.5,2017
"% w/ BA or Higher","Georgia",27.6,2016
"% Obese","Georgia",29.6,2017
"% w/ BA or Higher","Florida",26,2016
"% Obese","Florida",26.6,2017
"% w/ BA or Higher","Delaware",26.9,2016
"% Obese","Delaware",28,2017
"% w/ BA or Higher","Arkansas",18.8,2016
"% Obese","Arkansas",30.1,2017
"% w/ BA or Higher","Alabama",22.3,2016
"% Obese","Alabama",32.2,2017
"% w/ BA or Higher","Washington",29.9,2016
"% Obese","Washington",25.5,2017
"% w/ BA or Higher","Virginia",33.1,2016
"% Obese","Virginia",26,2017
"% w/ BA or Higher","Vermont",34.2,2016
"% Obese","Vermont",23.2,2017
"% w/ BA or Higher","Utah",30.8,2016
"% Obese","Utah",22.5,2017
"% w/ BA or Higher","Rhode Island",27.2,2016
"% Obese","Rhode Island",25.5,2017
"% w/ BA or Higher","New York",30.6,2016
"% Obese","New York",23.9,2017
"% w/ BA or Higher","New Jersey",34.6,2016
"% Obese","New Jersey",23.8,2017
"% w/ BA or Higher","New Hampshire",35.4,2016
"% Obese","New Hampshire",25,2017
"% w/ BA or Higher","Nevada",24.5,2016
"% Obese","Nevada",22.4,2017
"% w/ BA or Higher","Montana",25.5,2016
"% Obese","Montana",23,2017
"% w/ BA or Higher","Minnesota",32.5,2016
"% Obese","Minnesota",24.8,2017
"% w/ BA or Higher","Massachusetts",36.7,2016
"% Obese","Massachusetts",23,2017
"% w/ BA or Higher","Maryland",35.2,2016
"% Obese","Maryland",27.1,2017
"% w/ BA or Higher","Kansas",30,2016
"% Obese","Kansas",29.4,2017
"% w/ BA or Higher","Hawaii",26.6,2016
"% Obese","Hawaii",22.7,2017
"% w/ BA or Higher","District of Columbia",45.7,2016
"% Obese","District of Columbia",22.2,2017
"% w/ BA or Higher","Connecticut",34.5,2016
"% Obese","Connecticut",22.5,2017
"% w/ BA or Higher","Colorado",35.5,2016
"% Obese","Colorado",21,2017
"% w/ BA or Higher","California",31.7,2016
"% Obese","California",24,2017
"% w/ BA or Higher","Average",27.174509804,2016
"% Obese","Average",26.990196078,2017
"% w/ BA or Higher","Arizona",28,2016
"% Obese","Arizona",24.3,2017
"% w/ BA or Higher","Alaska",25.5,2016
"% Obese","Alaska",24.5,2017
