Year,Region,Sales
1990,"West",23493.06
1991,"West",26187.63
1992,"West",33537.11
1993,"West",56748.45
1994,"West",24317.02
1995,"West",39774.35
1996,"West",50719.61
1997,"West",72669.2
1998,"West",50920.86
1999,"West",44988.72
2000,"West",74412.47
2001,"West",79806.32
1990,"South",16444.44
1991,"South",16254.2
1992,"South",21459.51
1993,"South",17201.83
1994,"South",23933.7
1995,"South",18381.83
1996,"South",21635.88
1997,"South",29658.81
1998,"South",13642.18
1999,"South",29325.41
2000,"South",23874.15
2001,"South",56064.11
1990,"East",17145.87
1991,"East",22703.21
1992,"East",50777.42
1993,"East",65705.56
1994,"East",24774.77
1995,"East",52166.66
1996,"East",38051.65
1997,"East",65692.75
1998,"East",18051.76
1999,"East",31511.5
2000,"East",65496.39
2001,"East",98023.26
1990,"Central",11768.37
1991,"Central",23979.15
1992,"Central",24485.54
1993,"Central",42641.17
1994,"Central",20211.7
1995,"Central",25759.47
1996,"Central",33380.22
1997,"Central",68077.99
1998,"Central",40530.06
1999,"Central",27938.74
2000,"Central",32468.95
2001,"Central",46160.39
2001,"West",79806.32
2001,"South",56064.11
2001,"East",98023.26
2001,"Central",46160.39
2000,"West",74412.47
2000,"South",23874.15
2000,"East",65496.39
2000,"Central",32468.95
1999,"West",44988.72
1999,"South",29325.41
1999,"East",31511.5
1999,"Central",27938.74
1998,"West",50920.86
1998,"South",13642.18
1998,"East",18051.76
1998,"Central",40530.06
1997,"West",72669.2
1997,"South",29658.81
1997,"East",65692.75
1997,"Central",68077.99
1996,"West",50719.61
1996,"South",21635.88
1996,"East",38051.65
1996,"Central",33380.22
1995,"West",39774.35
1995,"South",18381.83
1995,"East",52166.66
1995,"Central",25759.47
1994,"West",24317.02
1994,"South",23933.7
1994,"East",24774.77
1994,"Central",20211.7
1993,"West",56748.45
1993,"South",17201.83
1993,"East",65705.56
1993,"Central",42641.17
1992,"West",33537.11
1992,"South",21459.51
1992,"East",50777.42
1992,"Central",24485.54
1991,"West",26187.63
1991,"South",16254.2
1991,"East",22703.21
1991,"Central",23979.15
1990,"West",23493.06
1990,"South",16444.44
1990,"East",17145.87
1990,"Central",11768.37
2002,"West",23493.06
2003,"West",26187.63
2004,"West",33537.11
2005,"West",56748.45
2006,"West",24317.02
2007,"West",39774.35
2008,"West",50719.61
2009,"West",72669.2
2010,"West",50920.86
2011,"West",44988.72
2012,"West",74412.47
2013,"West",79806.32
2002,"South",16444.44
2003,"South",16254.2
2004,"South",21459.51
2005,"South",17201.83
2006,"South",23933.7
2007,"South",18381.83
2008,"South",21635.88
2009,"South",29658.81
2010,"South",13642.18
2011,"South",29325.41
2012,"South",23874.15
2013,"South",56064.11
2002,"East",17145.87
2003,"East",22703.21
2004,"East",50777.42
2005,"East",65705.56
2006,"East",24774.77
2007,"East",52166.66
2008,"East",38051.65
2009,"East",65692.75
2010,"East",18051.76
2011,"East",31511.5
2012,"East",65496.39
2013,"East",98023.26
2002,"Central",11768.37
2003,"Central",23979.15
2004,"Central",24485.54
2005,"Central",42641.17
2006,"Central",20211.7
2007,"Central",25759.47
2008,"Central",33380.22
2009,"Central",68077.99
2010,"Central",40530.06
2011,"Central",27938.74
2012,"Central",32468.95
2013,"Central",46160.39
2013,"West",79806.32
2013,"South",56064.11
2013,"East",98023.26
2013,"Central",46160.39
2012,"West",74412.47
2012,"South",23874.15
2012,"East",65496.39
2012,"Central",32468.95
2011,"West",44988.72
2011,"South",29325.41
2011,"East",31511.5
2011,"Central",27938.74
2010,"West",50920.86
2010,"South",13642.18
2010,"East",18051.76
2010,"Central",40530.06
2009,"West",72669.2
2009,"South",29658.81
2009,"East",65692.75
2009,"Central",68077.99
2008,"West",50719.61
2008,"South",21635.88
2008,"East",38051.65
2008,"Central",33380.22
2007,"West",39774.35
2007,"South",18381.83
2007,"East",52166.66
2007,"Central",25759.47
2006,"West",24317.02
2006,"South",23933.7
2006,"East",24774.77
2006,"Central",20211.7
2005,"West",56748.45
2005,"South",17201.83
2005,"East",65705.56
2005,"Central",42641.17
2004,"West",33537.11
2004,"South",21459.51
2004,"East",50777.42
2004,"Central",24485.54
2003,"West",26187.63
2003,"South",16254.2
2003,"East",22703.21
2003,"Central",23979.15
2002,"West",23493.06
2002,"South",16444.44
2002,"East",17145.87
2002,"Central",11768.37
