Coach ID,Name,Image,Predecessor ID,Predecessor Name,Predecessor Tree,Coach Tree,Predecessor Image,Predecessor Wins,Total Wins
1,"Bill Parcells","http://tse1.mm.bing.net/th?q=Bill Parcells",,"","","Parcells Tree","",,172
2,"Bill Belichick","http://tse1.mm.bing.net/th?q=Bill Belichick",1,"Bill Parcells","Parcells Tree","Belichick Tree","http://tse1.mm.bing.net/th?q=Bill Parcells",172,247
3,"Sean Payton","http://tse1.mm.bing.net/th?q=Sean Payton",1,"Bill Parcells","Parcells Tree","Payton Tree","http://tse1.mm.bing.net/th?q=Bill Parcells",172,103
4,"Tom Coughlin","http://tse1.mm.bing.net/th?q=Tom Coughlin",1,"Bill Parcells","Parcells Tree","Coughlin Tree","http://tse1.mm.bing.net/th?q=Bill Parcells",172,170
5,"Tony Sparano","http://tse1.mm.bing.net/th?q=Tony Sparano",1,"Bill Parcells","Parcells Tree","Sparano Tree","http://tse1.mm.bing.net/th?q=Bill Parcells",172,32
6,"Josh McDaniels","http://tse1.mm.bing.net/th?q=Josh McDaniels",2,"Bill Belichick","Belichick Tree","Belichick Tree","http://tse1.mm.bing.net/th?q=Bill Belichick",247,11
7,"Eric Mangini","http://tse1.mm.bing.net/th?q=Eric Mangini",2,"Bill Belichick","Belichick Tree","Belichick Tree","http://tse1.mm.bing.net/th?q=Bill Belichick",247,33
8,"Romeo Crennel","http://tse1.mm.bing.net/th?q=Romeo Crennel",2,"Bill Belichick","Belichick Tree","Belichick Tree","http://tse1.mm.bing.net/th?q=Bill Belichick",247,28
9,"Dick Jauron","http://tse1.mm.bing.net/th?q=Dick Jauron",4,"Tom Coughlin","Coughlin Tree","Coughlin Tree","http://tse1.mm.bing.net/th?q=Tom Coughlin",170,60
10,"Bobby Petrino","http://tse1.mm.bing.net/th?q=Bobby Petrino",4,"Tom Coughlin","Coughlin Tree","Coughlin Tree","http://tse1.mm.bing.net/th?q=Tom Coughlin",170,3
11,"Steve Spagnuolo","http://tse1.mm.bing.net/th?q=Steve Spagnuolo",4,"Tom Coughlin","Coughlin Tree","Coughlin Tree","http://tse1.mm.bing.net/th?q=Tom Coughlin",170,10
