Region,Segment,Sub-Category,Profit,Segment Region,SegmentID
"West","Corporate","Tables",1074.2004,"Corporate,West",1
"South","Corporate","Tables",-1388.2239,"Corporate,South",1
"East","Corporate","Tables",-5299.6557,"Corporate,East",1
"Central","Corporate","Tables",707.1806,"Corporate,Central",1
"West","Corporate","Supplies",361.6119,"Corporate,West",1
"South","Corporate","Supplies",-111.6379,"Corporate,South",1
"East","Corporate","Supplies",-12.8974,"Corporate,East",1
"Central","Corporate","Supplies",101.8498,"Corporate,Central",1
"West","Corporate","Storage",3491.4869,"Corporate,West",1
"South","Corporate","Storage",718.5711,"Corporate,South",1
"East","Corporate","Storage",3836.4565,"Corporate,East",1
"Central","Corporate","Storage",1084.5102,"Corporate,Central",1
"West","Corporate","Phones",2565.1096,"Corporate,West",1
"South","Corporate","Phones",3680.212,"Corporate,South",1
"East","Corporate","Phones",3129.6183,"Corporate,East",1
"Central","Corporate","Phones",2391.2797,"Corporate,Central",1
"West","Corporate","Paper",3883.2948,"Corporate,West",1
"South","Corporate","Paper",1410.0633,"Corporate,South",1
"East","Corporate","Paper",2668.9582,"Corporate,East",1
"Central","Corporate","Paper",2399.2305,"Corporate,Central",1
"West","Corporate","Machines",960.039,"Corporate,West",1
"South","Corporate","Machines",-2520.1179,"Corporate,South",1
"East","Corporate","Machines",2624.6023,"Corporate,East",1
"Central","Corporate","Machines",-361.5044,"Corporate,Central",1
"West","Corporate","Labels",904.5902,"Corporate,West",1
"South","Corporate","Labels",150.4372,"Corporate,South",1
"East","Corporate","Labels",218.6299,"Corporate,East",1
"Central","Corporate","Labels",487.17,"Corporate,Central",1
"West","Corporate","Furnishings",1673.4023,"Corporate,West",1
"South","Corporate","Furnishings",1087.9331,"Corporate,South",1
"East","Corporate","Furnishings",1956.2306,"Corporate,East",1
"Central","Corporate","Furnishings",-1209.3583,"Corporate,Central",1
"West","Corporate","Fasteners",69.3064,"Corporate,West",1
"South","Corporate","Fasteners",27.5699,"Corporate,South",1
"East","Corporate","Fasteners",76.4704,"Corporate,East",1
"Central","Corporate","Fasteners",78.5563,"Corporate,Central",1
"West","Corporate","Envelopes",780.5998,"Corporate,West",1
"South","Corporate","Envelopes",643.3798,"Corporate,South",1
"East","Corporate","Envelopes",663.5852,"Corporate,East",1
"Central","Corporate","Envelopes",483.6642,"Corporate,Central",1
"West","Corporate","Copiers",3190.4366,"Corporate,West",1
"South","Corporate","Copiers",1874.9615,"Corporate,South",1
"East","Corporate","Copiers",1134.9765,"Corporate,East",1
"Central","Corporate","Copiers",12789.9043,"Corporate,Central",1
"West","Corporate","Chairs",1233.2305,"Corporate,West",1
"South","Corporate","Chairs",1183.9545,"Corporate,South",1
"East","Corporate","Chairs",2720.5878,"Corporate,East",1
"Central","Corporate","Chairs",3206.8837,"Corporate,Central",1
"West","Corporate","Bookcases",-12.1673,"Corporate,West",1
"South","Corporate","Bookcases",68.3666,"Corporate,South",1
"East","Corporate","Bookcases",964.963,"Corporate,East",1
"Central","Corporate","Bookcases",-382.7121,"Corporate,Central",1
"West","Corporate","Binders",5468.5415,"Corporate,West",1
"South","Corporate","Binders",2496.2001,"Corporate,South",1
"East","Corporate","Binders",2833.0034,"Corporate,East",1
"Central","Corporate","Binders",-4420.4249,"Corporate,Central",1
"West","Corporate","Art",830.2525,"Corporate,West",1
"South","Corporate","Art",264.2543,"Corporate,South",1
"East","Corporate","Art",566.1716,"Corporate,East",1
"Central","Corporate","Art",343.9693,"Corporate,Central",1
"West","Corporate","Appliances",2738.0168,"Corporate,West",1
"South","Corporate","Appliances",2543.8218,"Corporate,South",1
"East","Corporate","Appliances",2607.2872,"Corporate,East",1
"Central","Corporate","Appliances",-459.2306,"Corporate,Central",1
"West","Corporate","Accessories",5225.478,"Corporate,West",1
"South","Corporate","Accessories",3085.4777,"Corporate,South",1
"East","Corporate","Accessories",2933.5911,"Corporate,East",1
"Central","Corporate","Accessories",1462.9337,"Corporate,Central",1
"West","Consumer","Tables",521.9717,"Consumer,West",2
"South","Consumer","Tables",-2577.4996,"Consumer,South",2
"East","Consumer","Tables",-3708.3528,"Consumer,East",2
"Central","Consumer","Tables",-3964.1571,"Consumer,Central",2
"West","Consumer","Supplies",226.3174,"Consumer,West",2
"South","Consumer","Supplies",69.8592,"Consumer,South",2
"East","Consumer","Supplies",-1171.6357,"Consumer,East",2
"Central","Consumer","Supplies",-782.0922,"Consumer,Central",2
"West","Consumer","Storage",3828.2964,"Consumer,West",2
"South","Consumer","Storage",888.6697,"Consumer,South",2
"East","Consumer","Storage",1973.9242,"Consumer,East",2
"Central","Consumer","Storage",413.3101,"Consumer,Central",2
"West","Consumer","Phones",4468.9297,"Consumer,West",2
"South","Consumer","Phones",5623.9118,"Consumer,South",2
