Measure Names,State,Measure Values
"% w/ BA or Higher","Wyoming",22.5
"% Obese","Wyoming",25.1
"% w/ BA or Higher","Wisconsin",25.6
"% Obese","Wisconsin",26.3
"% w/ BA or Higher","West Virginia",15.3
"% Obese","West Virginia",32.5
"% w/ BA or Higher","Texas",24.5
"% Obese","Texas",31
"% w/ BA or Higher","Tennessee",24.3
"% Obese","Tennessee",30.8
"% w/ BA or Higher","South Dakota",25.5
"% Obese","South Dakota",27.3
"% w/ BA or Higher","South Carolina",24.9
"% Obese","South Carolina",31.5
"% w/ BA or Higher","Pennsylvania",25.3
"% Obese","Pennsylvania",28.6
"% w/ BA or Higher","Oregon",25.9
"% Obese","Oregon",26.8
"% w/ BA or Higher","Oklahoma",22.9
"% Obese","Oklahoma",30.4
"% w/ BA or Higher","Ohio",24.6
"% Obese","Ohio",29.2
"% w/ BA or Higher","North Dakota",25.2
"% Obese","North Dakota",27.2
"% w/ BA or Higher","North Carolina",23.4
"% Obese","North Carolina",27.8
"% w/ BA or Higher","New Mexico",25.1
"% Obese","New Mexico",25.1
"% w/ BA or Higher","Nebraska",24.8
"% Obese","Nebraska",26.9
"% w/ BA or Higher","Missouri",28.1
"% Obese","Missouri",30.5
"% w/ BA or Higher","Mississippi",20.1
"% Obese","Mississippi",34
"% w/ BA or Higher","Michigan",24.4
"% Obese","Michigan",30.9
"% w/ BA or Higher","Maine",24.2
"% Obese","Maine",26.8
"% w/ BA or Higher","Louisiana",22.4
"% Obese","Louisiana",31
"% w/ BA or Higher","Kentucky",21
"% Obese","Kentucky",31.3
"% w/ BA or Higher","Iowa",24.3
"% Obese","Iowa",28.4
"% w/ BA or Higher","Indiana",21.1
"% Obese","Indiana",29.6
"% w/ BA or Higher","Illinois",27.4
"% Obese","Illinois",28.2
"% w/ BA or Higher","Idaho",23.8
"% Obese","Idaho",26.5
"% w/ BA or Higher","Georgia",27.6
"% Obese","Georgia",29.6
"% w/ BA or Higher","Florida",26
"% Obese","Florida",26.6
"% w/ BA or Higher","Delaware",26.9
"% Obese","Delaware",28
"% w/ BA or Higher","Arkansas",18.8
"% Obese","Arkansas",30.1
"% w/ BA or Higher","Alabama",22.3
"% Obese","Alabama",32.2
"% w/ BA or Higher","Washington",29.9
"% Obese","Washington",25.5
"% w/ BA or Higher","Virginia",33.1
"% Obese","Virginia",26
"% w/ BA or Higher","Vermont",34.2
"% Obese","Vermont",23.2
"% w/ BA or Higher","Utah",30.8
"% Obese","Utah",22.5
"% w/ BA or Higher","Rhode Island",27.2
"% Obese","Rhode Island",25.5
"% w/ BA or Higher","New York",30.6
"% Obese","New York",23.9
"% w/ BA or Higher","New Jersey",34.6
"% Obese","New Jersey",23.8
"% w/ BA or Higher","New Hampshire",35.4
"% Obese","New Hampshire",25
"% w/ BA or Higher","Nevada",24.5
"% Obese","Nevada",22.4
"% w/ BA or Higher","Montana",25.5
"% Obese","Montana",23
"% w/ BA or Higher","Minnesota",32.5
"% Obese","Minnesota",24.8
"% w/ BA or Higher","Massachusetts",36.7
"% Obese","Massachusetts",23
"% w/ BA or Higher","Maryland",35.2
"% Obese","Maryland",27.1
"% w/ BA or Higher","Kansas",30
"% Obese","Kansas",29.4
"% w/ BA or Higher","Hawaii",26.6
"% Obese","Hawaii",22.7
"% w/ BA or Higher","District of Columbia",45.7
"% Obese","District of Columbia",22.2
"% w/ BA or Higher","Connecticut",34.5
"% Obese","Connecticut",22.5
"% w/ BA or Higher","Colorado",35.5
"% Obese","Colorado",21
"% w/ BA or Higher","California",31.7
"% Obese","California",24
"% w/ BA or Higher","Average",27.174509804
"% Obese","Average",26.990196078
"% w/ BA or Higher","Arizona",28
"% Obese","Arizona",24.3
"% w/ BA or Higher","Alaska",25.5
"% Obese","Alaska",24.5
