Latitude,Longitude
40.57217675,-73.990489987
40.572764476,-73.996404017
40.572865985,-73.995090162
40.572874211,-73.994902983
40.572928917,-73.991652548
40.572945686,-73.999186492
40.573069092,-73.994902968
40.573143109,-73.993128359
40.573176225,-74.002508924
40.573255697,-73.994035448
40.573530295,-74.002937293
40.573587751,-73.992854741
40.573590559,-73.993949027
40.573626293,-73.995032512
40.573648253,-74.004935093
40.573725055,-73.993974213
40.573894959,-73.990039787
40.573955558,-73.992901497
40.574211713,-73.958308734
40.574249369,-73.995169253
40.574325961,-73.990846048
40.574452434,-73.994089337
40.574540059,-73.990885615
40.574630863,-74.005575909
40.574636454,-74.002796954
40.574726969,-73.995248412
40.574787085,-74.009182812
40.574831959,-73.966447255
40.574842085,-73.973707833
40.574842251,-73.995259203
40.574856044,-73.997440617
40.574861504,-73.99633911
40.574960185,-74.00661625
40.574979075,-73.962861878
40.574985078,-73.999614832
40.575099917,-73.989906418
40.575178281,-73.959416842
40.575188171,-73.997685385
40.575232492,-73.950655101
40.575256692,-74.005298783
40.575260836,-73.968891247
40.575283244,-73.984708398
40.575302432,-73.984517608
40.575364254,-73.950680201
40.57539078,-74.011029554
40.575469202,-73.968020016
40.575504485,-73.966616104
40.575512511,-73.965906953
40.575523541,-73.966076135
40.575536656,-73.994571605
40.575538683,-73.947875881
40.575564099,-73.994478009
40.5755641,-73.994492408
40.575564306,-73.964726214
40.575568186,-73.981216591
40.575585713,-73.962973132
40.575656461,-73.961104829
40.575665603,-73.993448476
40.57569016,-74.008743768
40.57571473,-73.963009058
40.575727836,-73.961137185
40.575728881,-74.002994985
40.575752959,-73.96239708
40.575801946,-73.961137142
40.575840583,-73.971162418
40.575867369,-73.968638982
40.575901695,-74.005831597
40.575907009,-73.991385794
40.575939822,-74.010144105
40.575951274,-73.949830226
40.575962162,-73.996094266
40.575964382,-74.011656006
40.575983613,-73.972386273
40.575997365,-73.97250146
40.576008493,-73.990446245
40.576009499,-73.966511459
40.576013979,-73.990403047
40.576019465,-73.990359849
40.576022207,-73.990327451
40.576030468,-74.009355772
40.576049641,-73.973027003
40.576076943,-74.011418441
40.576087924,-74.011393245
40.576091193,-74.003066997
40.576094356,-73.965726668
40.57611038,-74.00393814
40.576160447,-73.966457386
40.57622788,-73.98831155
40.576230623,-73.988293551
40.576243299,-73.959513388
