Months since First Purchase,Region,Running Sum of Sales
0,"South",9322.092
1,"South",11351.078
2,"South",44262.199
3,"South",56446.811
4,"South",62226.051
5,"South",66786.302
6,"South",68615.422
7,"South",75672.0285
8,"South",82847.3635
9,"South",87661.1175
10,"South",95089.8705
11,"South",103845.8435
12,"South",108811.6775
13,"South",109968.1915
14,"South",120290.2865
15,"South",126008.62
16,"South",127992.324
17,"South",136544.491
18,"South",138741.759
19,"South",144326.509
20,"South",158003.996
21,"South",162089.7235
22,"South",169885.544
23,"South",175205.824
24,"South",179288.25
25,"South",194901.354
26,"South",199139.528
27,"South",202105.238
28,"South",214065.471
29,"South",217521.356
30,"South",224083.775
31,"South",227133.7855
32,"South",239157.2365
33,"South",242322.4705
34,"South",257919.0255
35,"South",268816.0475
36,"South",273631.6375
37,"South",275814.5095
38,"South",282458.2295
39,"South",291905.983
40,"South",302849.724
41,"South",311783.644
42,"South",315085.742
43,"South",325457.276
44,"South",335657.796
45,"South",347794.747
46,"South",376512.168
47,"South",391721.905
0,"Central",1539.906
1,"Central",2773.08
2,"Central",8600.682
3,"Central",12313.022
4,"Central",16361.528
5,"Central",26007.8266
6,"Central",32748.4006
7,"Central",35770.5836
8,"Central",70179.2734
9,"Central",79145.0304
10,"Central",93202.5986
11,"Central",103838.1646
12,"Central",106348.6762
13,"Central",108876.2622
14,"Central",115606.5302
15,"Central",127248.5852
16,"Central",135872.4882
17,"Central",139585.6752
18,"Central",147191.2422
19,"Central",156492.6934
20,"Central",164071.2134
21,"Central",171071.6994
22,"Central",189974.7854
23,"Central",206712.3866
24,"Central",212654.5426
25,"Central",213770.2706
26,"Central",226924.0836
27,"Central",234386.4356
28,"Central",246130.4006
29,"Central",252683.5486
30,"Central",261578.0126
31,"Central",268560.5674
32,"Central",286063.7728
33,"Central",311896.1248
34,"Central",328806.4416
35,"Central",354141.7626
36,"Central",375832.4186
37,"Central",379167.241
38,"Central",394671.8198
39,"Central",398054.9434
40,"Central",409643.7976
41,"Central",422610.5588
42,"Central",431483.5148
43,"Central",437736.5088
44,"Central",455079.5058
45,"Central",467201.842
46,"Central",482356.82
47,"Central",501239.8908
