QuoteName,Date,Open,High,Low,Close,Adj Close,Volume
"KBWD",2020-03-26 00:00:00.000,11.3,13.17,11.26,12.57,11.3701,309200
"KBWD",2020-03-27 00:00:00.000,12.32,12.52,11.86,12.12,10.9631,111800
"KBWD",2020-03-30 00:00:00.000,12,12.01,11.21,11.38,10.2937,271100
"KBWD",2020-03-31 00:00:00.000,11.36,11.38,10.68,10.83,9.7962,113000
"KBWD",2020-04-01 00:00:00.000,10.46,10.46,9.71,9.77,8.8374,168300
"KBWD",2020-04-02 00:00:00.000,9.78,10.1,9.66,9.78,8.8465,125400
"KBWD",2020-04-03 00:00:00.000,9.79,9.79,8.95,9.28,8.3942,163900
"KBWD",2020-04-06 00:00:00.000,9.71,10.31,9.71,10.03,9.0726,316300
"KBWD",2020-04-07 00:00:00.000,10.55,11.21,10.45,10.56,9.552,207800
"KBWD",2020-04-08 00:00:00.000,11,11.83,10.98,11.7,10.5832,193200
"KBWD",2020-04-09 00:00:00.000,12.46,13.25,12.13,12.64,11.4335,353100
"KBWD",2020-04-13 00:00:00.000,12.75,12.75,11.91,12.54,11.343,206500
"KBWD",2020-04-14 00:00:00.000,12.85,12.96,12.17,12.43,11.2435,217800
"KBWD",2020-04-15 00:00:00.000,12.09,12.12,11.63,11.84,10.7098,182500
"KBWD",2020-04-16 00:00:00.000,11.96,11.96,11.42,11.5,10.4023,156000
"KBWD",2020-04-17 00:00:00.000,12.2,12.22,11.89,12.2,11.0355,116700
"KBWD",2020-04-20 00:00:00.000,11.74,11.96,11.45,11.59,10.6248,306400
"KBWD",2020-04-21 00:00:00.000,11.4,11.66,11.28,11.59,10.6248,153600
"KBWD",2020-04-22 00:00:00.000,11.84,11.84,11.38,11.47,10.5148,109300
"KBWD",2020-04-23 00:00:00.000,11.48,11.78,11.4,11.47,10.5148,98800
"KBWD",2020-04-24 00:00:00.000,11.5,11.7,11.34,11.66,10.6889,69400
"KBWD",2020-04-27 00:00:00.000,11.73,12.3,11.71,12.18,11.1656,100100
"KBWD",2020-04-28 00:00:00.000,12.51,12.71,12.17,12.39,11.3581,191900
"KBWD",2020-04-29 00:00:00.000,12.74,13.2,12.72,13,11.9173,209800
"KBWD",2020-04-30 00:00:00.000,13,13,12.55,12.71,11.6515,106900
"KBWD",2020-05-01 00:00:00.000,12.42,12.42,12.09,12.19,11.1748,120600
"KBWD",2020-05-04 00:00:00.000,12.03,12.12,11.76,12.11,11.1015,127800
"KBWD",2020-05-05 00:00:00.000,12.41,12.6,12.04,12.12,11.1106,270700
"KBWD",2020-05-06 00:00:00.000,12.28,12.38,11.89,11.94,10.9456,155800
"KBWD",2020-05-07 00:00:00.000,12.14,12.35,12.02,12.1,11.0923,74500
