Order_Date,Ship_Date,Month#,Year,Zip ID,Store_Index,Buyer_ID,Retailer,Ret_Index,Zip Code,Item#,Item_Index,Cat Code,Qty_Sold,SRP,Promo SP,PrcPt,Ret Sls $Amt,Ship Days,Order_Date - Copy,Service Level %
2018-09-25 00:00:00.000,2018-10-22 00:00:00.000,10,2018-01-01 00:00:00.000,16,41,14,CryptoMrt,2,20001,1017,6,107,52,49.99,,Med,2599.48,27,2018-09-25 00:00:00.000,0.71
2019-03-08 00:00:00.000,2019-03-18 00:00:00.000,3,2019-01-01 00:00:00.000,25,25,29,Top Dollar,3,99501,5515,37,103,8,29.99,,Med,239.92,10,2019-03-08 00:00:00.000,1.0
2018-12-29 00:00:00.000,2019-01-28 00:00:00.000,1,2019-01-01 00:00:00.000,10,10,28,Top Dollar,3,80922,1017,6,107,0,49.99,,Med,0.0,30,2018-12-29 00:00:00.000,0.5
2018-09-04 00:00:00.000,2018-10-01 00:00:00.000,10,2018-01-01 00:00:00.000,19,19,29,Top Dollar,3,46201,5512,34,103,26,14.99,,Low,389.74,27,2018-09-04 00:00:00.000,0.71
2018-05-24 00:00:00.000,2018-06-18 00:00:00.000,6,2018-01-01 00:00:00.000,8,54,2,Cost Plus,1,90210,6618,48,104,14,39.99,,Med,559.86,25,2018-05-24 00:00:00.000,0.81
2018-01-14 00:00:00.000,2018-02-12 00:00:00.000,2,2018-01-01 00:00:00.000,22,47,3,CryptoMrt,2,83254,3316,18,101,4,19.99,,Low,79.96,29,2018-01-14 00:00:00.000,0.5
2018-04-23 00:00:00.000,2018-05-21 00:00:00.000,5,2018-01-01 00:00:00.000,7,32,28,CryptoMrt,2,81656,1014,3,107,16,149.99,,High,2399.84,28,2018-04-23 00:00:00.000,0.67
2019-02-09 00:00:00.000,2019-03-11 00:00:00.000,3,2019-01-01 00:00:00.000,4,29,26,CryptoMrt,2,94301,1017,6,107,18,49.99,,Med,899.82,30,2019-02-09 00:00:00.000,0.5
2019-04-09 00:00:00.000,2019-04-22 00:00:00.000,4,2019-01-01 00:00:00.000,2,2,23,Top Dollar,3,33462,3316,18,101,16,19.99,,Low,319.84,13,2019-04-09 00:00:00.000,1.0
2019-07-09 00:00:00.000,2019-08-12 00:00:00.000,8,2019-01-01 00:00:00.000,11,56,12,Cost Plus,1,95202,6616,46,104,15,14.99,,Low,224.85,34,2019-07-09 00:00:00.000,0.5
