ProductKey,CustomerKey,OrderDateKey,DueDateKey,ShipDateKey,SalesOrderNumber,SalesAmount,SalesCountry,SalesRegion
382,22656,20200322,20200403,20200329,SO54873,1120.49,United Kingdom,United Kingdom
485,12089,20200202,20200214,20200209,SO52146,21.98,Canada,Canada
490,17238,20200212,20200224,20200219,SO52623,53.99,Australia,Australia
478,13185,20200317,20200329,20200324,SO54552,9.99,Canada,Canada
574,25735,20200602,20200614,20200609,SO59342,2384.07,Germany,Germany
604,24176,20200908,20200920,20200915,SO66008,539.99,Australia,Australia
590,16712,20200415,20200427,20200422,SO56258,769.49,Australia,Australia
536,16613,20200820,20200901,20200827,SO64613,29.99,Australia,Australia
530,26977,20200729,20200810,20200805,SO63048,4.99,Germany,Germany
214,17428,20200531,20200612,20200607,SO59167,34.99,United States,Southwest
382,25034,20200620,20200702,20200627,SO60552,1120.49,Australia,Australia
479,25693,20201213,20201225,20201220,SO73009,8.99,France,France
362,14325,20190924,20191006,20191001,SO49784,2049.0982,Australia,Australia
473,14158,20201020,20201101,20201027,SO68748,63.5,United Kingdom,United Kingdom
237,26002,20201103,20201115,20201110,SO69994,49.99,United States,Northwest
528,20130,20200131,20200212,20200207,SO52046,4.99,Canada,Canada
485,17208,20200719,20200731,20200726,SO62427,21.98,Germany,Germany
477,12702,20200521,20200602,20200528,SO58404,4.99,Australia,Australia
222,16497,20201210,20201222,20201217,SO72764,34.99,Canada,Canada
528,11971,20200415,20200427,20200422,SO56255,4.99,United States,Southwest
538,22583,20200713,20200725,20200720,SO62087,21.49,Australia,Australia
528,17027,20200202,20200214,20200209,SO52129,4.99,Canada,Canada
479,25413,20200626,20200708,20200703,SO60942,8.99,United States,Northwest
528,27686,20210128,20210209,20210204,SO75090,4.99,Australia,Australia
389,14081,20190322,20190403,20190329,SO47607,1000.4375,United States,Southwest
528,17289,20200415,20200427,20200422,SO56229,4.99,Australia,Australia
537,11422,20200203,20200215,20200210,SO52160,35.0,United Kingdom,United Kingdom
488,11752,20200227,20200311,20200306,SO53410,53.99,Australia,Australia
225,13566,20200623,20200705,20200630,SO60725,8.99,Germany,Germany
538,27503,20200803,20200815,20200810,SO63511,21.49,United States,Central
217,24133,20200512,20200524,20200519,SO57879,34.99,France,France
530,25514,20200615,20200627,20200622,SO60223,4.99,France,France
537,13078,20200517,20200529,20200524,SO58183,35.0,Australia,Australia
477,11032,20200811,20200823,20200818,SO64042,4.99,Australia,Australia
481,18466,20210109,20210121,20210116,SO74506,8.99,Australia,Australia
529,19002,20201210,20201222,20201217,SO72782,3.99,United States,Northwest
225,21903,20200317,20200329,20200324,SO54584,8.99,United States,Southwest
528,17468,20201110,20201122,20201117,SO70477,4.99,Canada,Canada
467,26457,20200311,20200323,20200318,SO54209,24.49,United States,Northwest
561,13576,20200621,20200703,20200628,SO60625,2384.07,United Kingdom,United Kingdom
528,11138,20201231,20210112,20210107,SO74246,4.99,United States,Southwest
222,17295,20201029,20201110,20201105,SO69633,34.99,Australia,Australia
480,13959,20200821,20200902,20200828,SO64721,2.29,Australia,Australia
477,26942,20200624,20200706,20200701,SO60829,4.99,United Kingdom,United Kingdom
480,15922,20200216,20200228,20200223,SO52872,2.29,United Kingdom,United Kingdom
528,17808,20200223,20200307,20200302,SO53219,4.99,United Kingdom,United Kingdom
