Player Seed,Player Name,Is Seeded,SeedSort,Name
,"Adrian Mannarino",0,99,"Adrian Mannarino"
,"Albano Olivetti",0,99,"Albano Olivetti"
,"Albert Montanes",0,99,"Albert Montanes"
,"Albert Ramos-Vinolas",0,99,"Albert Ramos-Vinolas"
,"Alexander Kudryavtsev",0,99,"Alexander Kudryavtsev"
,"Alexander Ward",0,99,"Alexander Ward"
,"Aljaz Bedene",0,99,"Aljaz Bedene"
,"Andreas Seppi",0,99,"Andreas Seppi"
,"Andrey Kuznetsov",0,99,"Andrey Kuznetsov"
,"Benjamin Becker",0,99,"Benjamin Becker"
,"Bjorn Fratangelo",0,99,"Bjorn Fratangelo"
,"Borna Coric",0,99,"Borna Coric"
,"Brian Baker",0,99,"Brian Baker"
,"Brydan Klein",0,99,"Brydan Klein"
,"Damir Dzumhur",0,99,"Damir Dzumhur"
,"Daniel Evans",0,99,"Daniel Evans"
,"Denis Istomin",0,99,"Denis Istomin"
,"Denis Kudla",0,99,"Denis Kudla"
,"Dennis Novikov",0,99,"Dennis Novikov"
,"Diego Schwartzman",0,99,"Diego Schwartzman"
,"Dmitry Tursunov",0,99,"Dmitry Tursunov"
,"Donald Young",0,99,"Donald Young"
,"Dudi Sela",0,99,"Dudi Sela"
,"Dusan Lajovic",0,99,"Dusan Lajovic"
,"Dustin Brown",0,99,"Dustin Brown"
,"Edouard Roger-Vasselin",0,99,"Edouard Roger-Vasselin"
,"Ernests Gulbis",0,99,"Ernests Gulbis"
,"Evgeny Donskoy",0,99,"Evgeny Donskoy"
,"Fabio Fognini",0,99,"Fabio Fognini"
,"Facundo Bagnis",0,99,"Facundo Bagnis"
,"Federico Delbonis",0,99,"Federico Delbonis"
,"Fernando Verdasco",0,99,"Fernando Verdasco"
,"Florian Mayer",0,99,"Florian Mayer"
,"Franko Skugor",0,99,"Franko Skugor"
,"Gastao Elias",0,99,"Gastao Elias"
,"Gilles Muller",0,99,"Gilles Muller"
,"Grigor Dimitrov",0,99,"Grigor Dimitrov"
,"Guido Pella",0,99,"Guido Pella"
,"Guillermo Garcia-Lopez",0,99,"Guillermo Garcia-Lopez"
,"Horacio Zeballos",0,99,"Horacio Zeballos"
,"Igor Sijsling",0,99,"Igor Sijsling"
,"Illya Marchenko",0,99,"Illya Marchenko"
,"Inigo Cervantes",0,99,"Inigo Cervantes"
,"Ivan Dodig",0,99,"Ivan Dodig"
,"James Ward",0,99,"James Ward"
,"Janko Tipsarevic",0,99,"Janko Tipsarevic"
,"Jan-Lennard Struff",0,99,"Jan-Lennard Struff"
,"Jeremy Chardy",0,99,"Jeremy Chardy"
,"Jiri Vesely",0,99,"Jiri Vesely"
,"John Millman",0,99,"John Millman"
,"Jordan Thompson",0,99,"Jordan Thompson"
,"Juan Martin del Potro",0,99,"Juan Martin del Potro"
,"Juan Monaco",0,99,"Juan Monaco"
,"Julien Benneteau",0,99,"Julien Benneteau"
,"Kyle Edmund",0,99,"Kyle Edmund"
,"Leonardo Mayer",0,99,"Leonardo Mayer"
,"Liam Broady",0,99,"Liam Broady"
,"Lukas Lacko",0,99,"Lukas Lacko"
,"Lukas Rosol",0,99,"Lukas Rosol"
,"Luke Saville",0,99,"Luke Saville"
,"Malek Jaziri",0,99,"Malek Jaziri"
,"Marcel Granollers",0,99,"Marcel Granollers"
,"Marcos Baghdatis",0,99,"Marcos Baghdatis"
,"Marcus Willis",0,99,"Marcus Willis"
,"Marius Copil",0,99,"Marius Copil"
,"Martin Klizan",0,99,"Martin Klizan"
,"Matthew Barton",0,99,"Matthew Barton"
,"Mikhail Kukushkin",0,99,"Mikhail Kukushkin"
,"Mikhail Youzhny",0,99,"Mikhail Youzhny"
,"Nicolas Almagro",0,99,"Nicolas Almagro"
,"Nicolas Mahut",0,99,"Nicolas Mahut"
,"Pablo Carreno Busta",0,99,"Pablo Carreno Busta"
,"Paolo Lorenzi",0,99,"Paolo Lorenzi"
,"Paul-Henri Mathieu",0,99,"Paul-Henri Mathieu"
,"Pierre-Hugues Herbert",0,99,"Pierre-Hugues Herbert"
,"Radek Stepanek",0,99,"Radek Stepanek"
,"Radu Albot",0,99,"Radu Albot"
,"Rajeev Ram",0,99,"Rajeev Ram"
,"Ricardas Berankis",0,99,"Ricardas Berankis"
,"Robin Haase",0,99,"Robin Haase"
,"Rogerio Dutra Silva",0,99,"Rogerio Dutra Silva"
,"Ruben Bemelmans",0,99,"Ruben Bemelmans"
,"Sam Groth",0,99,"Sam Groth"
,"Santiago Giraldo",0,99,"Santiago Giraldo"
,"Sergiy Stakhovsky",0,99,"Sergiy Stakhovsky"
,"Stephane Robert",0,99,"Stephane Robert"
,"Steve Johnson",0,99,"Steve Johnson"
,"Taro Daniel",0,99,"Taro Daniel"
,"Taylor Fritz",0,99,"Taylor Fritz"
,"Teymuraz Gabashvili",0,99,"Teymuraz Gabashvili"
,"Thomaz Bellucci",0,99,"Thomaz Bellucci"
,"Tristan Lamasine",0,99,"Tristan Lamasine"
,"Vasek Pospisil",0,99,"Vasek Pospisil"
,"Victor Estrella Burgos",0,99,"Victor Estrella Burgos"
,"Yen-Hsun Lu",0,99,"Yen-Hsun Lu"
,"Yoshihito Nishioka",0,99,"Yoshihito Nishioka"
1,"Novak Djokovic",1,2,"1 - Novak Djokovic"
2,"Andy Murray",1,3,"2 - Andy Murray"
3,"Roger Federer",1,4,"3 - Roger Federer"
4,"Stan Wawrinka",1,5,"4 - Stan Wawrinka"
5,"Kei Nishikori",1,6,"5 - Kei Nishikori"
6,"Milos Raonic",1,7,"6 - Milos Raonic"
7,"Richard Gasquet",1,8,"7 - Richard Gasquet"
8,"Dominic Thiem",1,9,"8 - Dominic Thiem"
9,"Marin Cilic",1,10,"9 - Marin Cilic"
10,"Tomas Berdych",1,11,"10 - Tomas Berdych"
11,"David Goffin",1,12,"11 - David Goffin"
12,"Jo-Wilfried Tsonga",1,13,"12 - Jo-Wilfried Tsonga"
13,"David Ferrer",1,14,"13 - David Ferrer"
14,"Roberto Bautista Agut",1,15,"14 - Roberto Bautista Agut"
15,"Nick Kyrgios",1,16,"15 - Nick Kyrgios"
16,"Gilles Simon",1,17,"16 - Gilles Simon"
17,"Gael Monfils",1,18,"17 - Gael Monfils"
18,"John Isner",1,19,"18 - John Isner"
19,"Bernard Tomic",1,20,"19 - Bernard Tomic"
20,"Kevin Anderson",1,21,"20 - Kevin Anderson"
21,"Philipp Kohlschreiber",1,22,"21 - Philipp Kohlschreiber"
22,"Feliciano Lopez",1,23,"22 - Feliciano Lopez"
23,"Ivo Karlovic",1,24,"23 - Ivo Karlovic"
24,"Alexander Zverev",1,25,"24 - Alexander Zverev"
25,"Viktor Troicki",1,26,"25 - Viktor Troicki"
26,"Benoit Paire",1,27,"26 - Benoit Paire"
27,"Jack Sock",1,28,"27 - Jack Sock"
28,"Pablo Cuevas",1,29,"28 - Pablo Cuevas"
28,"Sam Querrey",1,29,"28 - Sam Querrey"
30,"Alexandr Dolgopolov",1,31,"30 - Alexandr Dolgopolov"
31,"Joao Sousa",1,32,"31 - Joao Sousa"
32,"Lucas Pouille",1,33,"32 - Lucas Pouille"
