Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Quantity,Purchase Date,Current Price,Line Sales
AX15226,ENX2086,A127,EMP1013,C1446,2,2020-07-25 00:00:00.000,123,246
AX14596,ENX2083,A183,EMP1024,C1709,1,2019-09-29 00:00:00.000,2141,2141
AX20415,ENX2064,A120,EMP1008,C1360,2,2018-01-26 00:00:00.000,1414,2828
AX17939,ENX2072,A187,EMP1031,C1767,2,2018-12-15 00:00:00.000,1887,3774
AX15246,ENX2047,A106,EMP1027,C1270,1,2018-11-19 00:00:00.000,290,290
AX15566,ENX2018,A146,EMP1024,C1005,1,2018-06-17 00:00:00.000,1972,1972
AX13128,ENX2074,A155,EMP1010,C1543,3,2019-01-23 00:00:00.000,504,1512
AX22168,ENX2037,A101,EMP1012,C1366,3,2019-11-12 00:00:00.000,880,2640
AX19873,ENX2097,A173,EMP1010,C1645,4,2018-09-06 00:00:00.000,1052,4208
AX23087,ENX2018,A161,EMP1035,C1710,1,2018-06-16 00:00:00.000,1972,1972
AX17330,ENX2077,A158,EMP1020,C1178,4,2018-12-06 00:00:00.000,530,2120
AX24505,ENX2059,A158,EMP1042,C1766,1,2018-10-25 00:00:00.000,1494,1494
AX14935,ENX2071,A113,EMP1026,C1333,3,2018-02-23 00:00:00.000,136,408
AX20729,ENX2007,A193,EMP1026,C1124,1,2019-11-10 00:00:00.000,1405,1405
AX19796,ENX2008,A123,EMP1032,C1695,1,2019-06-30 00:00:00.000,315,315
AX22152,ENX2030,A112,EMP1019,C1428,1,2018-03-05 00:00:00.000,1899,1899
AX23579,ENX2083,A150,EMP1038,C1666,1,2020-04-06 00:00:00.000,2141,2141
AX21637,ENX2019,A111,EMP1042,C1306,1,2020-07-15 00:00:00.000,800,800
AX16456,ENX2022,A116,EMP1023,C1580,3,2018-07-06 00:00:00.000,561,1683
AX18908,ENX2079,A127,EMP1003,C1610,3,2018-03-04 00:00:00.000,1725,5175
AX10614,ENX2084,A121,EMP1029,C1653,1,2020-11-02 00:00:00.000,1783,1783
AX21036,ENX2019,A111,EMP1040,C1394,1,2019-06-06 00:00:00.000,800,800
AX14032,ENX2053,A104,EMP1013,C1566,3,2020-11-25 00:00:00.000,596,1788
AX18010,ENX2014,A157,EMP1008,C1497,2,2020-03-07 00:00:00.000,1809,3618
AX19502,ENX2086,A121,EMP1025,C1267,1,2019-12-03 00:00:00.000,123,123
AX17018,ENX2064,A115,EMP1017,C1374,3,2020-08-26 00:00:00.000,1414,4242
AX24874,ENX2025,A144,EMP1017,C1067,1,2020-09-22 00:00:00.000,667,667
AX17994,ENX2072,A148,EMP1014,C1151,1,2019-06-27 00:00:00.000,1887,1887
AX13085,ENX2089,A137,EMP1014,C1219,2,2018-07-06 00:00:00.000,2294,4588
AX14484,ENX2010,A193,EMP1027,C1601,1,2018-04-26 00:00:00.000,1812,1812
AX24708,ENX2056,A125,EMP1041,C1631,3,2020-09-09 00:00:00.000,1635,4905
AX13567,ENX2020,A173,EMP1013,C1452,2,2019-08-23 00:00:00.000,2005,4010
AX18600,ENX2037,A195,EMP1009,C1245,1,2020-01-31 00:00:00.000,880,880
AX16287,ENX2053,A177,EMP1004,C1448,4,2019-02-18 00:00:00.000,596,2384
AX10649,ENX2030,A172,EMP1023,C1595,1,2020-01-03 00:00:00.000,1899,1899
AX10657,ENX2033,A103,EMP1027,C1383,2,2020-09-14 00:00:00.000,2182,4364
AX10971,ENX2081,A105,EMP1033,C1026,1,2020-02-05 00:00:00.000,1566,1566
AX14580,ENX2057,A128,EMP1001,C1267,1,2019-10-07 00:00:00.000,181,181
AX14052,ENX2067,A193,EMP1030,C1697,1,2020-02-13 00:00:00.000,1119,1119
AX23115,ENX2006,A109,EMP1028,C1160,2,2019-10-23 00:00:00.000,1826,3652
AX22345,ENX2045,A191,EMP1032,C1341,2,2018-03-28 00:00:00.000,556,1112
AX15021,ENX2013,A185,EMP1029,C1708,1,2019-12-16 00:00:00.000,368,368
AX15522,ENX2060,A134,EMP1043,C1068,4,2020-02-24 00:00:00.000,1467,5868
AX18858,ENX2091,A101,EMP1043,C1460,1,2020-10-18 00:00:00.000,368,368
AX12043,ENX2047,A180,EMP1020,C1039,1,2018-06-07 00:00:00.000,290,290
AX17340,ENX2007,A184,EMP1032,C1227,1,2020-06-14 00:00:00.000,1405,1405
AX14420,ENX2099,A105,EMP1000,C1531,3,2018-04-24 00:00:00.000,1367,4101
AX12249,ENX2089,A184,EMP1043,C1560,2,2020-11-10 00:00:00.000,2294,4588
