State,Year,Miles (millions),Fatalities
"Alabama",2007,61410,1110
"Alaska",2007,5153,82
"Arizona",2007,62963,1071
"Arkansas",2007,33171,649
"California",2007,328312,3995
"Colorado",2007,48713,554
"Connecticut",2007,32053,296
"Delaware",2007,9483,117
"District of Columbia",2007,3609,44
"Florida",2007,206121,3213
"Georgia",2007,112541,1641
"Hawaii",2007,10345,138
"Idaho",2007,15782,252
"Illinois",2007,107483,1248
"Indiana",2007,71478,898
"Iowa",2007,31253,446
"Kansas",2007,30048,416
"Kentucky",2007,48063,864
"Louisiana",2007,45376,993
"Maine",2007,15035,183
"Maryland",2007,56503,614
"Massachusetts",2007,55071,434
"Michigan",2007,104614,1087
"Minnesota",2007,57233,510
"Mississippi",2007,43337,884
"Missouri",2007,69151,992
"Montana",2007,11307,277
"Nebraska",2007,19439,256
"Nevada",2007,22146,373
"New Hampshire",2007,13459,129
"New Jersey",2007,76152,724
"New Mexico",2007,26850,413
"New York",2007,136737,1332
"North Carolina",2007,103598,1676
"North Dakota",2007,7844,111
"Ohio",2007,110631,1255
"Oklahoma",2007,47572,766
"Oregon",2007,34750,455
"Pennsylvania",2007,108699,1491
"Rhode Island",2007,8636,69
"South Carolina",2007,51109,1077
"South Dakota",2007,9005,146
"Tennessee",2007,71179,1211
"Texas",2007,243443,3466
"Utah",2007,26832,299
"Vermont",2007,7694,66
"Virginia",2007,82077,1027
"Washington",2007,56939,571
"West Virginia",2007,20564,432
"Wisconsin",2007,59493,756
"Wyoming",2007,9366,150
"Alabama",2008,59303,969
"Alaska",2008,4865,62
"Arizona",2008,61628,938
"Arkansas",2008,33163,600
"California",2008,327286,3434
"Colorado",2008,47860,548
"Connecticut",2008,31737,302
"Delaware",2008,8976,121
"District of Columbia",2008,3611,34
"Florida",2008,198616,2980
"Georgia",2008,109057,1495
"Hawaii",2008,10278,107
"Idaho",2008,15251,232
"Illinois",2008,106079,1043
"Indiana",2008,70973,820
"Iowa",2008,30713,412
"Kansas",2008,29727,384
"Kentucky",2008,47534,825
"Louisiana",2008,45091,916
"Maine",2008,14559,155
"Maryland",2008,55023,591
"Massachusetts",2008,54505,364
"Michigan",2008,101825,980
"Minnesota",2008,57995,455
"Mississippi",2008,43711,783
"Missouri",2008,68273,960
"Montana",2008,10812,229
"Nebraska",2008,19170,208
"Nevada",2008,20780,324
"New Hampshire",2008,13040,138
"New Jersey",2008,73629,590
"New Mexico",2008,26279,366
"New York",2008,134085,1238
"North Carolina",2008,101712,1428
"North Dakota",2008,7820,104
"Ohio",2008,108302,1191
"Oklahoma",2008,48499,750
"Oregon",2008,33468,416
"Pennsylvania",2008,107848,1468
"Rhode Island",2008,8187,65
"South Carolina",2008,49597,921
"South Dakota",2008,8986,121
"Tennessee",2008,69469,1043
"Texas",2008,235382,3476
"Utah",2008,25974,276
"Vermont",2008,7312,73
"Virginia",2008,82278,825
"Washington",2008,55558,521
"West Virginia",2008,20774,378
"Wisconsin",2008,57462,605
"Wyoming",2008,9447,159
"Alabama",2009,61299.67456,848
"Alaska",2009,4933,64
"Arizona",2009,61628,806
"Arkansas",2009,33154.23913,596
"California",2009,324486,3090
"Colorado",2009,46230.34702,465
"Connecticut",2009,31420,224
"Delaware",2009,9080,116
"District of Columbia",2009,3608,29
"Florida",2009,196379.3701,2560
"Georgia",2009,109258,1292
"Hawaii",2009,9973,109
"Idaho",2009,15531,226
"Illinois",2009,105846,911
"Indiana",2009,76628,693
"Iowa",2009,31065,371
"Kansas",2009,29496.7353,386
"Kentucky",2009,47355,791
"Louisiana",2009,44863,824
"Maine",2009,14491,159
"Maryland",2009,55293,549
"Massachusetts",2009,54812,340
"Michigan",2009,96769,872
"Minnesota",2009,56878.52103,421
"Mississippi",2009,40427,700
"Missouri",2009,69003,878
"Montana",2009,11011,221
"Nebraska",2009,19359,223
"Nevada",2009,20454,243
"New Hampshire",2009,12975.43193,110
"New Jersey",2009,73029,584
"New Mexico",2009,26013,361
"New York",2009,133491,1158
"North Carolina",2009,102589.997,1313
"North Dakota",2009,8154,140
"Ohio",2009,110591.2941,1022
"Oklahoma",2009,46996.98814,737
"Oregon",2009,33972,377
"Pennsylvania",2009,103205.7602,1256
"Rhode Island",2009,8250,83
"South Carolina",2009,49130,894
"South Dakota",2009,8837.961674,131
"Tennessee",2009,70226,986
"Texas",2009,229984.1978,3104
"Utah",2009,26264,244
"Vermont",2009,7646,74
"Virginia",2009,80927,758
"Washington",2009,56417,492
"West Virginia",2009,19606,357
"Wisconsin",2009,58157,561
"Wyoming",2009,9568,134
"Alabama",2010,64165.14864,862
"Alaska",2010,4798.261974,56
"Arizona",2010,59995.1587,759
"Arkansas",2010,33504.42526,571
"California",2010,322849.3982,2720
"Colorado",2010,46939.92729,450
"Connecticut",2010,31294.41665,320
"Delaware",2010,8947.67132,101
"District of Columbia",2010,3590.818444,24
"Florida",2010,195754.7133,2444
"Georgia",2010,111722.467,1247
"Hawaii",2010,9994.649305,113
"Idaho",2010,15801.20628,209
