ReceiptId,InvoiceId,ReceiptDate,Amount
1,1,2020-10-01 00:00:00.000,720
2,3,2020-10-01 00:00:00.000,920
3,4,2020-10-01 00:00:00.000,820
4,5,2020-10-01 00:00:00.000,1120
5,6,2020-10-01 00:00:00.000,920
6,7,2020-10-01 00:00:00.000,1020
7,8,2020-10-01 00:00:00.000,720
8,9,2020-10-01 00:00:00.000,920
9,10,2020-10-01 00:00:00.000,720
10,11,2020-10-01 00:00:00.000,720
11,12,2020-10-01 00:00:00.000,1020
12,13,2020-10-01 00:00:00.000,1020
13,14,2020-10-01 00:00:00.000,1020
14,15,2020-10-01 00:00:00.000,1520
15,16,2020-10-01 00:00:00.000,1420
16,17,2020-10-01 00:00:00.000,920
17,18,2020-11-01 00:00:00.000,770
18,19,2020-11-01 00:00:00.000,920
19,20,2020-11-01 00:00:00.000,820
20,21,2020-11-01 00:00:00.000,1120
21,22,2020-11-01 00:00:00.000,920
22,23,2020-11-01 00:00:00.000,1020
23,24,2020-11-01 00:00:00.000,720
24,25,2020-11-01 00:00:00.000,920
25,26,2020-11-01 00:00:00.000,720
26,27,2020-11-01 00:00:00.000,720
28,28,2020-11-01 00:00:00.000,1020
29,29,2020-11-01 00:00:00.000,1020
30,30,2020-11-01 00:00:00.000,1020
31,31,2020-11-01 00:00:00.000,1520
32,32,2020-11-01 00:00:00.000,1420
34,33,2020-11-01 00:00:00.000,920
35,34,2020-11-01 00:00:00.000,1120
