ID-Produto,Loja,ID-Vendedor,Data Venda,ValorVenda
"SKU-0000001","SP8821",1009,41186,679
"SKU-0000002","SP8821",1006,40909,832
"SKU-0000003","SP8821",1006,40941,790
"SKU-0000004","SP8821",1003,40971,765.32
"SKU-0000005","SP8821",1004,41003,459.89
"SKU-0000006","SP8821",1005,41033,590.98
"SKU-0000007","SP8821",1006,41064,1000.91
"SKU-0000008","A9990",1007,41094,1229
"SKU-0000009","SP8821",1003,41125,1300
"SKU-0000010","SP8821",1002,41156,1290
"SKU-0000011","SP8821",1009,41156,1287
"SKU-0000012","A9990",1006,41217,1651
"SKU-0000013","SP8821",1006,41217,1100
"SKU-0000014","SP8821",1003,41247,1190
"SKU-0000015","SP8821",1004,41247,1190.98
"SKU-0000016","A9990",1005,41276,877
"SKU-0000017","SP8821",1006,41307,982
"SKU-0000018","SP8821",1007,41335,872
"SKU-0000019","SP8821",1003,41366,799
"SKU-0000020","SP8821",1002,41396,899
"SKU-0000021","SP8821",1009,41427,799
"SKU-0000022","SP8821",1006,41457,987
"SKU-0000023","SP8821",1006,41488,699.9
"SKU-0000024","SP8821",1003,41519,789.23
"SKU-0000025","SP8821",1004,41549,789.34
"SKU-0000026","SP8821",1005,41580,764.2
"SKU-0000027","SP8821",1006,41610,1245.9
"SKU-0000028","SP8821",1007,41276,1345.87
"SKU-0000029","SP8821",1003,41307,1234.12
"SKU-0000030","SP8821",1002,41335,1245.9
"SKU-0000031","SP8821",1001,41366,1345.87
"SKU-0000032","SP8821",1001,41396,1234.12
"SKU-0000033","SP8823",1001,41427,1245.9
"SKU-0000034","SP8823",1002,41457,1345.87
"SKU-0000035","SP8823",1003,41488,1234.12
"SKU-0000036","SP8823",1004,41519,1245.9
"SKU-0000037","SP8823",1005,41549,1345.87
"SKU-0000038","SP8823",1006,41580,1234.12
"SKU-0000039","SP8823",1007,41610,1245.9
"SKU-0000040","R1296",1008,40909,1345.87
"SKU-0000041","R1296",1009,40940,1234.12
"SKU-0000042","V7654",1001,40969,1245.9
"SKU-0000043","A9990",1001,41000,1345.87
"SKU-0000044","SP8823",1002,41030,1234.12
"SKU-0000045","SP8823",1003,41061,1245.9
"SKU-0000046","SP8823",1004,41091,1345.87
"SKU-0000047","SP8823",1005,41122,1234.12
"SKU-0000048","R1296",1006,41153,1245.9
"SKU-0000049","V7654",1007,41183,1345.87
"SKU-0000050","SP8823",1008,41214,455
"SKU-0000051","SP8823",1009,41244,455
"SKU-0000052","SP8823",1006,41276,445
"SKU-0000053","SP8823",1006,41307,445
"SKU-0000054","SP8823",1003,41335,445
"SKU-0000055","SP8823",1004,41366,445
"SKU-0000056","SP8823",1005,41396,445
"SKU-0000057","V7654",1006,41427,445
"SKU-0000058","R1296",1007,41457,445
"SKU-0000059","SP8823",1003,41488,445
"SKU-0000060","A9990",1002,41519,445
"SKU-0000061","SP8823",1009,41549,445
"SKU-0000062","SP8823",1006,41580,445
"SKU-0000063","SP8823",1006,41610,445
"SKU-0000064","SP8823",1003,40909,459
"SKU-0000065","SP8823",1004,40940,234
"SKU-0000066","SP8823",1005,40969,345
"SKU-0000067","SP8823",1006,41000,445
"SKU-0000068","SP8823",1007,41030,675
"SKU-0000069","SP8823",1003,41061,123
"SKU-0000070","SP8823",1002,41091,455
"SKU-0000071","V7654",1009,41122,566
"SKU-0000072","R1296",1006,41153,1200
"SKU-0000073","A9990",1006,41183,1220
"SKU-0000074","SP8823",1003,41214,123
"SKU-0000075","SP8823",1004,41244,445
"SKU-0000076","SP8823",1005,41276,345
"SKU-0000077","SP8823",1006,41307,1220
"SKU-0000078","SP8823",1007,41335,124
"SKU-0000079","A9990",1003,41366,123
"SKU-0000080","SP8823",1002,41396,230
"SKU-0000081","R1296",1001,41427,290
"SKU-0000082","SP8823",1001,41457,290
"SKU-0000083","SP8823",1001,41488,445
"SKU-0000084","A9990",1009,41519,445
"SKU-0000085","SP8823",1006,41549,445
"SKU-0000086","SP8823",1006,41580,445
"SKU-0000087","SP8823",1003,41610,445
"SKU-0000088","P0761",1004,41276,445
"SKU-0000089","SA7761",1005,43863,455
"SKU-0000090","P0761",1006,41335,167
"SKU-0000091","SA7761",1007,43923,455
"SKU-0000092","V7654",1003,41396,168
"SKU-0000093","R1296",1002,43984,455
"SKU-0000094","SP8823",1009,41457,150
"SKU-0000095","A9990",1006,43984,455
"SKU-0000096","SP8823",1006,41519,149
"SKU-0000097","R1296",1003,43985,455
"SKU-0000098","SP8823",1004,41580,135
"SKU-0000099","SP8823",1005,41610,139
"SKU-0000100","SP8823",1006,41276,128
"SKU-0000101","SP8823",1007,41307,138
"SKU-0000102","SP8823",1003,41335,137
"SKU-0000103","SP8823",1002,41366,126
"SKU-0000104","SP8822",1009,41396,136
"SKU-0000105","SP8822",1006,41427,139
"SKU-0000106","SP8822",1006,41457,150
"SKU-0000107","SP8822",1003,41488,167
"SKU-0000108","SP8822",1004,41519,179
"SKU-0000109","SP8822",1005,41549,149
"SKU-0000110","SP8822",1006,41580,149
