Distributor_ID,Territory_ID,Regional_Manager_ID
30000,6,"6"
30010,5,"5"
30030,6,"6"
30040,6,"6"
30060,6,"6"
30090,5,"5"
30100,6,"6"
30110,6,"6"
30120,6,"6"
30130,6,"6"
30140,6,"6"
30150,6,"6"
30160,6,"6"
30180,6,"6"
30190,6,"6"
30200,6,"6"
30210,6,"6"
30220,6,"6"
30230,5,"5"
30240,6,"6"
30250,5,"5"
30260,6,"6"
30270,6,"6"
30280,5,"5"
30290,6,"6"
30300,5,"5"
30330,10,"10"
30420,9,"9"
30430,10,"10"
30490,6,"6"
30540,6,"6"
30550,6,"6"
30570,6,"6"
30590,6,"6"
30595,6,"6"
30620,0,"0"
30640,5,"5"
30715,6,"6"
40000,0,"0"
60050,25,"25"
60110,15,"15"
60120,26,"26"
60150,16,"16"
60160,13,"13"
60170,12,"12"
60180,13,"13"
60190,13,"13"
60200,22,"22"
60210,18,"18"
60220,16,"16"
60230,27,"27"
60240,22,"22"
60250,27,"27"
60280,65,"65"
60300,22,"22"
60330,15,"15"
60360,26,"26"
60370,15,"15"
60390,12,"12"
60400,26,"26"
60410,26,"26"
60430,26,"26"
60440,26,"26"
60450,26,"26"
60460,15,"15"
60470,15,"15"
60480,16,"16"
60490,18,"18"
60520,27,"27"
60521,13,"13"
60530,27,"27"
60560,15,"15"
60570,22,"22"
60580,21,"21"
60590,26,"26"
60600,16,"16"
60610,22,"22"
60620,27,"27"
60630,21,"21"
60631,21,"21"
60650,26,"26"
60660,26,"26"
60680,15,"15"
60690,26,"26"
60710,26,"26"
60720,26,"26"
60730,15,"15"
60740,26,"26"
60760,22,"22"
60780,15,"15"
60790,27,"27"
60800,27,"27"
60810,13,"13"
60830,27,"27"
60840,16,"16"
60860,26,"26"
60870,15,"15"
60880,27,"27"
60890,15,"15"
60900,15,"15"
60901,15,"15"
60910,26,"26"
60970,26,"26"
60980,16,"16"
60990,26,"26"
61000,65,"65"
61010,16,"16"
61020,21,"21"
61030,13,"13"
61040,65,"65"
61050,16,"16"
61060,27,"27"
61061,27,"27"
61070,16,"16"
62050,16,"16"
70001,5,"5"
70002,0,"0"
90002,56,"56"
30020,4,"4"
30070,6,"6"
30080,6,"6"
30170,7,"7"
30310,4,"4"
30320,4,"4"
30340,10,"10"
30350,4,"4"
30360,7,"7"
30380,4,"4"
30390,4,"4"
30400,4,"4"
30410,4,"4"
30440,56,"56"
30450,10,"10"
30460,6,"6"
30480,4,"4"
30500,6,"6"
30520,10,"10"
30530,10,"10"
30560,10,"10"
30580,10,"10"
30600,10,"10"
30630,10,"10"
30650,10,"10"
30660,4,"4"
30670,4,"4"
30680,10,"10"
30690,10,"10"
30695,10,"10"
30700,10,"10"
30705,10,"10"
30710,10,"10"
41300,1,"1"
41400,3,"3"
43200,3,"3"
53300,4,"4"
53600,3,"3"
60020,55,"55"
60500,13,"13"
60510,26,"26"
60540,13,"13"
60640,54,"54"
60670,55,"55"
60700,55,"55"
60750,55,"55"
60770,55,"55"
60820,55,"55"
60850,53,"53"
60920,57,"57"
60930,63,"63"
60940,56,"56"
60950,56,"56"
60960,54,"54"
62010,60,"60"
62020,60,"60"
62030,60,"60"
62040,60,"60"
62070,60,"60"
70000,4,"4"
80000,60,"60"
80001,61,"61"
80002,57,"57"
80003,64,"64"
90000,55,"55"
90001,56,"56"
90003,53,"53"
30050,0,"0"
30470,0,"0"
30510,0,"0"
30610,0,"0"
30720,0,"0"
41100,0,"0"
41200,0,"0"
51300,0,"0"
51400,0,"0"
51700,0,"0"
51800,0,"0"
52010,0,"0"
52015,0,"0"
52020,0,"0"
52030,0,"0"
52040,0,"0"
52050,0,"0"
52060,0,"0"
52070,0,"0"
52080,0,"0"
52090,0,"0"
52100,0,"0"
52110,0,"0"
52120,0,"0"
52130,0,"0"
52140,0,"0"
52150,0,"0"
52160,0,"0"
52170,0,"0"
52180,0,"0"
52190,0,"0"
52200,0,"0"
52210,0,"0"
52220,0,"0"
52230,0,"0"
52240,0,"0"
52250,0,"0"
52260,0,"0"
52270,0,"0"
52280,0,"0"
52290,0,"0"
52295,0,"0"
52300,0,"0"
52310,0,"0"
52320,0,"0"
52330,0,"0"
52340,0,"0"
52350,0,"0"
53200,0,"0"
53250,0,"0"
53400,0,"0"
53500,0,"0"
53700,0,"0"
53750,0,"0"
53900,0,"0"
60010,0,"0"
60030,0,"0"
60040,0,"0"
60060,0,"0"
60070,0,"0"
60080,0,"0"
60090,0,"0"
60100,0,"0"
60130,0,"0"
60140,0,"0"
60260,0,"0"
60270,0,"0"
60290,0,"0"
60310,0,"0"
60320,0,"0"
60340,0,"0"
60350,0,"0"
60380,0,"0"
60420,0,"0"
60550,0,"0"
62060,0,"0"
62080,0,"0"
70003,0,"0"
