OrderNumber,variable,value
2054446,ProductKey,283
1575494,ProductKey,2058
1996271,ProductKey,291
1677304,ProductKey,264
2121973,ProductKey,839
1673809,ProductKey,1154
2075561,ProductKey,146
1758285,ProductKey,258
1729401,ProductKey,1497
1748357,ProductKey,2097
2126318,ProductKey,2549
2171876,ProductKey,1842
1861653,ProductKey,2445
2157691,ProductKey,1830
1876486,ProductKey,2437
1788168,ProductKey,2191
1590736,ProductKey,839
2029642,ProductKey,2268
1590911,ProductKey,1150
2145690,ProductKey,2061
2156801,ProductKey,1216
1636487,ProductKey,2258
2049862,ProductKey,2567
1890128,ProductKey,2233
1594626,ProductKey,1216
1759547,ProductKey,2445
2022825,ProductKey,668
2164120,ProductKey,2166
2126959,ProductKey,235
1945389,ProductKey,2255
1912891,ProductKey,1560
2013402,ProductKey,2279
2171813,ProductKey,235
1858995,ProductKey,2104
1914164,ProductKey,1840
1696112,ProductKey,203
2043230,ProductKey,1603
1596899,ProductKey,1527
1972366,ProductKey,1972
1600532,ProductKey,2024
1968576,ProductKey,476
1738746,ProductKey,158
1652578,ProductKey,1830
2140301,ProductKey,1603
1842617,ProductKey,2445
1601541,ProductKey,202
2023862,ProductKey,2445
2083753,ProductKey,1769
1999616,ProductKey,2445
1880161,ProductKey,527
2106398,ProductKey,210
2018152,ProductKey,1830
2082762,ProductKey,1560
2117811,ProductKey,2524
2097802,ProductKey,1759
1501548,ProductKey,1421
1671455,ProductKey,2399
1735974,ProductKey,384
2057445,ProductKey,1769
1496357,ProductKey,2173
2153826,ProductKey,2473
1659744,ProductKey,2239
1958505,ProductKey,2273
1936135,ProductKey,1154
1935612,ProductKey,2423
1809605,ProductKey,2491
1878651,ProductKey,839
1918521,ProductKey,321
2135341,ProductKey,2633
1771684,ProductKey,379
2110998,ProductKey,1135
1886896,ProductKey,2255
1792650,ProductKey,2272
2060789,ProductKey,662
1720307,ProductKey,513
1809489,ProductKey,271
1765086,ProductKey,1722
2005198,ProductKey,2023
1677984,ProductKey,238
1867348,ProductKey,2024
1753699,ProductKey,838
2091780,ProductKey,291
1787980,ProductKey,2161
2007136,ProductKey,1154
1798551,ProductKey,2422
1996020,ProductKey,839
2021567,ProductKey,1170
1863651,ProductKey,238
1833295,ProductKey,2392
1670975,ProductKey,2399
2142043,ProductKey,668
2056474,ProductKey,2574
1528195,ProductKey,318
2096943,ProductKey,2494
1773713,ProductKey,386
2020208,ProductKey,1154
2033006,ProductKey,1763
1903103,ProductKey,2272
2004742,ProductKey,845
2150828,ProductKey,406
2054446,SalespersonKey,196
1575494,SalespersonKey,265
1996271,SalespersonKey,215
1677304,SalespersonKey,265
2121973,SalespersonKey,144
1673809,SalespersonKey,215
2075561,SalespersonKey,215
1758285,SalespersonKey,215
1729401,SalespersonKey,215
1748357,SalespersonKey,265
2126318,SalespersonKey,215
2171876,SalespersonKey,102
1861653,SalespersonKey,265
2157691,SalespersonKey,215
1876486,SalespersonKey,265
1788168,SalespersonKey,669
1590736,SalespersonKey,265
2029642,SalespersonKey,144
1590911,SalespersonKey,215
2145690,SalespersonKey,285
2156801,SalespersonKey,265
1636487,SalespersonKey,215
2049862,SalespersonKey,144
1890128,SalespersonKey,144
1594626,SalespersonKey,125
1759547,SalespersonKey,144
2022825,SalespersonKey,196
2164120,SalespersonKey,144
