DT_E_S,ANO,NOME MES,MES,DIA,MES ANO,ANO MES,DIA SEMANA,DIAS CORRIDOS,NUM DIA SEMANA,DIA UTIL
2018-01-01 00:00:00.000,2018,"jan",1,1,"jan 2018","201801","seg",1,2,0
2018-01-02 00:00:00.000,2018,"jan",1,2,"jan 2018","201801","ter",1,3,1
2018-01-03 00:00:00.000,2018,"jan",1,3,"jan 2018","201801","qua",1,4,1
2018-01-04 00:00:00.000,2018,"jan",1,4,"jan 2018","201801","qui",1,5,1
2018-01-05 00:00:00.000,2018,"jan",1,5,"jan 2018","201801","sex",1,6,1
2018-01-06 00:00:00.000,2018,"jan",1,6,"jan 2018","201801","sáb",1,7,0
2018-01-07 00:00:00.000,2018,"jan",1,7,"jan 2018","201801","dom",1,1,0
2018-01-08 00:00:00.000,2018,"jan",1,8,"jan 2018","201801","seg",1,2,1
2018-01-09 00:00:00.000,2018,"jan",1,9,"jan 2018","201801","ter",1,3,1
2018-01-10 00:00:00.000,2018,"jan",1,10,"jan 2018","201801","qua",1,4,1
2018-01-11 00:00:00.000,2018,"jan",1,11,"jan 2018","201801","qui",1,5,1
2018-01-12 00:00:00.000,2018,"jan",1,12,"jan 2018","201801","sex",1,6,1
2018-01-13 00:00:00.000,2018,"jan",1,13,"jan 2018","201801","sáb",1,7,0
2018-01-14 00:00:00.000,2018,"jan",1,14,"jan 2018","201801","dom",1,1,0
2018-01-15 00:00:00.000,2018,"jan",1,15,"jan 2018","201801","seg",1,2,1
2018-01-16 00:00:00.000,2018,"jan",1,16,"jan 2018","201801","ter",1,3,1
2018-01-17 00:00:00.000,2018,"jan",1,17,"jan 2018","201801","qua",1,4,1
2018-01-18 00:00:00.000,2018,"jan",1,18,"jan 2018","201801","qui",1,5,1
2018-01-19 00:00:00.000,2018,"jan",1,19,"jan 2018","201801","sex",1,6,1
2018-01-20 00:00:00.000,2018,"jan",1,20,"jan 2018","201801","sáb",1,7,0
2018-01-21 00:00:00.000,2018,"jan",1,21,"jan 2018","201801","dom",1,1,0
2018-01-22 00:00:00.000,2018,"jan",1,22,"jan 2018","201801","seg",1,2,1
2018-01-23 00:00:00.000,2018,"jan",1,23,"jan 2018","201801","ter",1,3,1
2018-01-24 00:00:00.000,2018,"jan",1,24,"jan 2018","201801","qua",1,4,1
2018-01-25 00:00:00.000,2018,"jan",1,25,"jan 2018","201801","qui",1,5,1
2018-01-26 00:00:00.000,2018,"jan",1,26,"jan 2018","201801","sex",1,6,1
2018-01-27 00:00:00.000,2018,"jan",1,27,"jan 2018","201801","sáb",1,7,0
2018-01-28 00:00:00.000,2018,"jan",1,28,"jan 2018","201801","dom",1,1,0
2018-01-29 00:00:00.000,2018,"jan",1,29,"jan 2018","201801","seg",1,2,1
2018-01-30 00:00:00.000,2018,"jan",1,30,"jan 2018","201801","ter",1,3,1
2018-01-31 00:00:00.000,2018,"jan",1,31,"jan 2018","201801","qua",1,4,1
2018-02-01 00:00:00.000,2018,"fev",2,1,"fev 2018","201802","qui",1,5,1
2018-02-02 00:00:00.000,2018,"fev",2,2,"fev 2018","201802","sex",1,6,1
2018-02-03 00:00:00.000,2018,"fev",2,3,"fev 2018","201802","sáb",1,7,0
2018-02-04 00:00:00.000,2018,"fev",2,4,"fev 2018","201802","dom",1,1,0
2018-02-05 00:00:00.000,2018,"fev",2,5,"fev 2018","201802","seg",1,2,1
2018-02-06 00:00:00.000,2018,"fev",2,6,"fev 2018","201802","ter",1,3,1
2018-02-07 00:00:00.000,2018,"fev",2,7,"fev 2018","201802","qua",1,4,1
2018-02-08 00:00:00.000,2018,"fev",2,8,"fev 2018","201802","qui",1,5,1
2018-02-09 00:00:00.000,2018,"fev",2,9,"fev 2018","201802","sex",1,6,1
2018-02-10 00:00:00.000,2018,"fev",2,10,"fev 2018","201802","sáb",1,7,0
2018-02-11 00:00:00.000,2018,"fev",2,11,"fev 2018","201802","dom",1,1,0
2018-02-12 00:00:00.000,2018,"fev",2,12,"fev 2018","201802","seg",1,2,0
2018-02-13 00:00:00.000,2018,"fev",2,13,"fev 2018","201802","ter",1,3,0
2018-02-14 00:00:00.000,2018,"fev",2,14,"fev 2018","201802","qua",1,4,1
2018-02-15 00:00:00.000,2018,"fev",2,15,"fev 2018","201802","qui",1,5,1
2018-02-16 00:00:00.000,2018,"fev",2,16,"fev 2018","201802","sex",1,6,1
2018-02-17 00:00:00.000,2018,"fev",2,17,"fev 2018","201802","sáb",1,7,0
2018-02-18 00:00:00.000,2018,"fev",2,18,"fev 2018","201802","dom",1,1,0
2018-02-19 00:00:00.000,2018,"fev",2,19,"fev 2018","201802","seg",1,2,1
2018-02-20 00:00:00.000,2018,"fev",2,20,"fev 2018","201802","ter",1,3,1
2018-02-21 00:00:00.000,2018,"fev",2,21,"fev 2018","201802","qua",1,4,1
2018-02-22 00:00:00.000,2018,"fev",2,22,"fev 2018","201802","qui",1,5,1
2018-02-23 00:00:00.000,2018,"fev",2,23,"fev 2018","201802","sex",1,6,1
2018-02-24 00:00:00.000,2018,"fev",2,24,"fev 2018","201802","sáb",1,7,0
2018-02-25 00:00:00.000,2018,"fev",2,25,"fev 2018","201802","dom",1,1,0
2018-02-26 00:00:00.000,2018,"fev",2,26,"fev 2018","201802","seg",1,2,1
2018-02-27 00:00:00.000,2018,"fev",2,27,"fev 2018","201802","ter",1,3,1
2018-02-28 00:00:00.000,2018,"fev",2,28,"fev 2018","201802","qua",1,4,1
2018-03-01 00:00:00.000,2018,"mar",3,1,"mar 2018","201803","qui",1,5,1
2018-03-02 00:00:00.000,2018,"mar",3,2,"mar 2018","201803","sex",1,6,1
2018-03-03 00:00:00.000,2018,"mar",3,3,"mar 2018","201803","sáb",1,7,0
2018-03-04 00:00:00.000,2018,"mar",3,4,"mar 2018","201803","dom",1,1,0
2018-03-05 00:00:00.000,2018,"mar",3,5,"mar 2018","201803","seg",1,2,1
2018-03-06 00:00:00.000,2018,"mar",3,6,"mar 2018","201803","ter",1,3,1
2018-03-07 00:00:00.000,2018,"mar",3,7,"mar 2018","201803","qua",1,4,1
2018-03-08 00:00:00.000,2018,"mar",3,8,"mar 2018","201803","qui",1,5,1
2018-03-09 00:00:00.000,2018,"mar",3,9,"mar 2018","201803","sex",1,6,1
2018-03-10 00:00:00.000,2018,"mar",3,10,"mar 2018","201803","sáb",1,7,0
2018-03-11 00:00:00.000,2018,"mar",3,11,"mar 2018","201803","dom",1,1,0
2018-03-12 00:00:00.000,2018,"mar",3,12,"mar 2018","201803","seg",1,2,1
2018-03-13 00:00:00.000,2018,"mar",3,13,"mar 2018","201803","ter",1,3,1
2018-03-14 00:00:00.000,2018,"mar",3,14,"mar 2018","201803","qua",1,4,1
2018-03-15 00:00:00.000,2018,"mar",3,15,"mar 2018","201803","qui",1,5,1
2018-03-16 00:00:00.000,2018,"mar",3,16,"mar 2018","201803","sex",1,6,1
