Index,Attribute,Value
0,"Prediction",21910.516
1,"Prediction",19459.86
2,"Prediction",21400.758
3,"Prediction",21243.6
4,"Prediction",20913.379
5,"Prediction",21693.488
6,"Prediction",19582.414
7,"Prediction",19982.76
8,"Prediction",21507.648
9,"Prediction",21173.97
10,"Prediction",19830.756
11,"Prediction",18822.57
12,"Prediction",21437.082
13,"Prediction",19782.986
14,"Prediction",23031.521
15,"Prediction",21963.326
16,"Prediction",19294.105
17,"Prediction",21352.004
18,"Prediction",21908.307
19,"Prediction",21209.69
20,"Prediction",19556.164
21,"Prediction",19405.182
22,"Prediction",20529.014
23,"Prediction",19313.076
24,"Prediction",20388.723
25,"Prediction",22007.775
26,"Prediction",19632.465
27,"Prediction",21701.943
28,"Prediction",21878.693
29,"Prediction",19843.617
30,"Prediction",21068.72
31,"Prediction",21241.916
32,"Prediction",19418.117
33,"Prediction",21911.266
34,"Prediction",20948.871
35,"Prediction",19080.385
36,"Prediction",20255.693
37,"Prediction",18300.82
38,"Prediction",19614.855
39,"Prediction",19124.016
40,"Prediction",18749.984
41,"Prediction",19248.09
42,"Prediction",18029.256
43,"Prediction",19349.264
44,"Prediction",21841.969
45,"Prediction",20915.994
46,"Prediction",18931.455
47,"Prediction",21320.258
48,"Prediction",19556.406
49,"Prediction",19651.998
50,"Prediction",21434.66
51,"Prediction",22595.93
52,"Prediction",21323.951
53,"Prediction",19158.205
54,"Prediction",19249.467
55,"Prediction",21406.176
56,"Prediction",21056.398
57,"Prediction",22578.549
58,"Prediction",20919.951
59,"Prediction",20556.117
60,"Prediction",21272.1
61,"Prediction",18870.932
62,"Prediction",19271.676
63,"Prediction",21376.996
64,"Prediction",21974.46
65,"Prediction",19346.664
66,"Prediction",21222.88
67,"Prediction",19563.87
68,"Prediction",21702.852
69,"Prediction",21031.09
70,"Prediction",21930.938
71,"Prediction",21288.604
72,"Prediction",19477.047
73,"Prediction",22459.197
74,"Prediction",21474.3
75,"Prediction",19764.658
76,"Prediction",21422.635
77,"Prediction",21592.395
78,"Prediction",19354.63
79,"Prediction",19826.1
80,"Prediction",20389.951
81,"Prediction",18783.79
82,"Prediction",21369.193
83,"Prediction",21492.828
84,"Prediction",19935.05
85,"Prediction",19647.309
86,"Prediction",18644.072
87,"Prediction",16873.693
88,"Prediction",19434.438
89,"Prediction",21210.338
90,"Prediction",21780.516
91,"Prediction",18990.541
92,"Prediction",20412.852
93,"Prediction",19283.78
94,"Prediction",18849.955
95,"Prediction",22939.77
96,"Prediction",21725.506
97,"Prediction",21239.252
98,"Prediction",19266.453
99,"Prediction",21892.61
100,"Prediction",21122.465
101,"Prediction",21396.395
102,"Prediction",21489.504
103,"Prediction",21547.674
104,"Prediction",22383.434
105,"Prediction",19709.479
106,"Prediction",18691.297
107,"Prediction",21810.594
108,"Prediction",22800.033
109,"Prediction",21442.697
110,"Prediction",22019.764
111,"Prediction",22182.209
112,"Prediction",21774.314
113,"Prediction",20892.688
114,"Prediction",22836.895
115,"Prediction",19101.629
116,"Prediction",19799.45
117,"Prediction",19247.443
118,"Prediction",18092.697
119,"Prediction",18509.393
120,"Prediction",18654.15
121,"Prediction",20748.078
122,"Prediction",22528.105
123,"Prediction",23217.436
124,"Prediction",21605.564
125,"Prediction",19338.828
126,"Prediction",20795.16
127,"Prediction",19531.676
