Facility_ID,variable,value
510012,Facility_Name,PLEASANT VALLEY HOSPITAL
431325,Facility_Name,MOBRIDGE REGIONAL HOSPITAL - CAH
190036,Facility_Name,OCHSNER CLINIC FOUNDATION
180127,Facility_Name,FRANKFORT REGIONAL MEDICAL CENTER
370228,Facility_Name,"BAILEY MEDICAL CENTER, LLC"
251315,Facility_Name,BAPTIST MEDICAL CENTER-LEAKE
250162,Facility_Name,OCHSNER MEDICAL CENTER-HANCOCK
360087,Facility_Name,LUTHERAN HOSPITAL
340090,Facility_Name,JOHNSTON HEALTH
240207,Facility_Name,FAIRVIEW RIDGES HOSPITAL
321306,Facility_Name,LINCOLN COUNTY MEDICAL CENTER
100286,Facility_Name,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE
50077,Facility_Name,SCRIPPS MERCY HOSPITAL
340016,Facility_Name,HARRIS REGIONAL HOSPITAL
111320,Facility_Name,HIGGINS GENERAL HOSPITAL
230075,Facility_Name,BRONSON BATTLE CREEK HOSPITAL
150047,Facility_Name,ST JOSEPH HOSPITAL
361309,Facility_Name,"HENRY COUNTY HOSPITAL, INC"
450085,Facility_Name,GRAHAM REGIONAL MEDICAL CENTER
160016,Facility_Name,TRINITY REGIONAL MEDICAL CENTER
210065,Facility_Name,HOLY CROSS GERMANTOWN HOSPITAL
500051,Facility_Name,OVERLAKE HOSPITAL MEDICAL CENTER
10038,Facility_Name,STRINGFELLOW MEMORIAL HOSPITAL
440156,Facility_Name,PARKRIDGE MEDICAL CENTER
310048,Facility_Name,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET
450035,Facility_Name,ST JOSEPH MEDICAL CENTER
171339,Facility_Name,GREENWOOD COUNTY HOSPITAL
301309,Facility_Name,MONADNOCK COMMUNITY HOSPITAL
50055,Facility_Name,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL
420107,Facility_Name,MCLEOD HEALTH CHERAW
100228,Facility_Name,WESTSIDE REGIONAL MEDICAL CENTER
