School Name,MOE Programmes,ID
"AHMAD IBRAHIM SECONDARY SCHOOL","ENHANCED MUSIC PROGRAMME",4
"ANDERSON SECONDARY SCHOOL","ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)",9
"ANDERSON SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (MALAY)",9
"ANDERSON SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (TAMIL)",9
"ANGLICAN HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",13
"ANGLO-CHINESE JUNIOR COLLEGE","MUSIC ELECTIVE PROGRAMME",14
"ANGLO-CHINESE JUNIOR COLLEGE","DRAMA ELECTIVE PROGRAMME",14
"ANGLO-CHINESE JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (ENGLISH)",14
"ANGLO-CHINESE SCHOOL (INDEPENDENT)","REGIONAL STUDIES PROGRAMME",16
"ANGLO-CHINESE SCHOOL (INDEPENDENT)","MUSIC ELECTIVE PROGRAMME",16
"BUKIT PANJANG GOVT. HIGH SCHOOL","ART ELECTIVE PROGRAMME",38
"BUKIT PANJANG GOVT. HIGH SCHOOL","ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)",38
"BUKIT PANJANG GOVT. HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (MALAY)",38
"CATHOLIC HIGH SCHOOL","MUSIC ELECTIVE PROGRAMME",48
"CATHOLIC HIGH SCHOOL","BICULTURAL STUDIES PROGRAMME",48
"CATHOLIC JUNIOR COLLEGE","LANGUAGE ELECTIVE PROGRAMME (ENGLISH)",49
"CEDAR GIRLS' SECONDARY SCHOOL","REGIONAL STUDIES PROGRAMME",50
"CHIJ KATONG CONVENT","ENHANCED ART PROGRAMME",56
"CHIJ SECONDARY (TOA PAYOH)","ART ELECTIVE PROGRAMME",61
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","BICULTURAL STUDIES PROGRAMME",63
"CHIJ ST. NICHOLAS GIRLS' SCHOOL","MUSIC ELECTIVE PROGRAMME",63
"CHUNG CHENG HIGH SCHOOL (MAIN)","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",70
"CHUNG CHENG HIGH SCHOOL (MAIN)","ENHANCED MUSIC PROGRAMME",70
"COMMONWEALTH SECONDARY SCHOOL","LANGUAGE ELECTIVE PROGRAMME (TAMIL)",74
"CRESCENT GIRLS' SCHOOL","MUSIC ELECTIVE PROGRAMME",79
"DUNMAN HIGH SCHOOL","LANGUAGE ELECTIVE PROGRAMME (CHINESE)",87
