Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Pop growth rate
"Afghanistan",8151455,8276820,8407148,8542906,8684494,8832253,8986449,9147286,9314915,9489453,9671046,9859928,10056480,10261254,10474903,10697983,10927724,11163656,11411022,11676990,11964906,12273101,12593688,12915499,13223928,13505544,13766792,14003408,14179656,14249493,14185729,13984092,13672870,13300056,12931791,12625292,12372113,12183387,12156685,12414686,13032161,14069854,15472076,17053213,18553819,19789880,20684982,21299350,21752257,22227543,22856302,23677385,24639841,25678639,26693486,27614718,28420974,29145841,29839994,30577756,31411743,32358260,33397058,34499915,3.2323628113017859
"Albania",1215002,1239971,1269302,1302536,1339240,1378998,1421417,1466124,1512765,1561012,1610565,1661158,1712563,1764593,1817098,1869942,1922993,1976140,2029314,2082474,2135599,2188650,2241623,2294578,2347607,2400801,2454255,2508026,2562121,2616530,2671300,2725029,2777592,2831682,2891004,2957390,3033393,3116009,3194854,3255859,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,3215988,3227373,3238316,1.6652762711501707
"Algeria",8752997,8953373,9140990,9326099,9515990,9715002,9924347,10142284,10364614,10585506,10799997,11006643,11209845,11420845,11654905,11923002,12229853,12572629,12945462,13338918,13746185,14165889,14600659,15052371,15524137,16018195,16533323,17068212,17624756,18205468,18811199,19442423,20095648,20762767,21433070,22098298,22753511,23398470,24035237,24668100,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,35980193,36485828,36983924,3.225286950286856
"American Samoa",18937,19287,19525,19659,19706,19688,19640,19603,19624,19757,20041,20500,21124,21870,22672,23480,24283,25087,25869,26608,27288,27907,28470,28983,29453,29897,30305,30696,31139,31727,32526,33557,34797,36203,37706,39253,40834,42446,44048,45595,47052,48402,49648,50801,51885,52919,53901,54834,55745,56667,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,69543,70680,71834,2.7933146749749169
"Andorra",6197,6692,7247,7856,8514,9217,9964,10754,11585,12460,13377,14337,15337,16373,17438,18529,19640,20772,21931,23127,24364,25656,26997,28357,29688,30967,32156,33279,34432,35753,37328,39226,41390,43636,45702,47414,48653,49504,50236,51241,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,86165,87518,88909,13.347103437147007
"Angola",4147509,4219332,4296534,4376947,4458962,4541519,4624143,4706909,4790376,4875462,4963068,5053693,5147083,5242084,5337063,5431135,5524090,5617242,5713156,5815282,5926333,6047736,6179685,6322194,6474796,6637419,6808850,6989988,7185188,7400231,7638420,7903368,8191774,8491682,8786652,9065562,9322550,9562796,9799680,10052567,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,19618432,20162517,20714494,3.9944422061531393
"Anguilla",5121,5297,5438,5549,5635,5697,5743,5777,5805,5831,5863,5901,5948,6001,6057,6114,6171,6228,6287,6344,6400,6454,6506,6554,6596,6630,6662,6691,6713,6716,6698,6651,6586,6536,6551,6661,6881,7197,7575,7964,8332,8669,8985,9277,9549,9805,10036,10244,10461,10727,11068,11498,12003,12548,13083,13574,14008,14393,14737,15055,15358,15645,15911,16158,2.1552431165787933
"Antigua and Barbuda",46301,48316,49906,51117,52002,52625,53061,53393,53711,54107,54657,55408,56362,57472,58653,59844,61032,62226,63401,64528,65587,66554,67419,68182,68848,69420,69910,70301,70533,70525,70228,69639,68803,67792,66701,65614,64539,63510,62669,62192,62202,62754,63802,65238,66895,68642,70450,72322,74190,75985,77656,79165,80507,81716,82838,83916,84952,85935,86881,87802,88710,89612,90510,91404,0.97412582881579235
"Argentina",17150335,17506378,17865382,18223955,18579614,18930778,19276813,19617988,19955368,20290620,20625451,20961000,21297317,21633126,21966478,22296628,22622012,22944941,23273148,23616971,23983358,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376,40764561,41118986,41473982,1.4182607511748313
"Armenia",1353506,1382982,1419913,1463017,1511188,1563508,1619242,1677837,1738902,1802171,1867396,1934239,2002170,2070427,2138133,2204650,2269475,2332624,2394635,2456370,2518408,2580894,2643464,2705584,2766495,2825650,2882831,2938181,2991954,3044564,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3512051,3449940,3370373,3290540,3223173,3172185,3134836,3109101,3090624,3076098,3065810,3061067,3060554,3062612,3065954,3069844,3074181,3079087,3084979,3092072,3100236,3108972,3117722,1.3034415806062181
