name,Service Level Type
"Impact ip-10-10-42-21.ec2.internal","Single"
"Impact ip-10-10-79-72.ec2.internal","Single"
"Impact localhost.localdomain","Mixed"
"Impact oracle-90115","Single"
"Impact oracle-90116","Single"
"Impact oracle-90117","Single"
"Impact peter-ubu1604-90615.device42.pvt","Single"
"Impact s1-mysql-9062.device42.pvt_test","Mixed"
"Impact TricapDB-26952","Single"
"Impact ubu-f5db-14-3.device42.pvt","Single"
"Impact ubu-f5db-14-4.device42.pvt","Single"
"Impact w08-mssql-2-216","Single"
