device_fk,sensor_type_id,sensor_type,sensor,metric_id,metric,measure_type_id,measure_type,value,timeperiod_id,timeperiod,window,start_time,end_time,last_updated,percent_value,base_value
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",1,2021-11-11 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:11.536,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",2,2021-11-10 07:00:00.000,2021-11-11 07:00:00.000,2021-11-12 08:48:11.530,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",3,2021-11-09 07:00:00.000,2021-11-10 07:00:00.000,2021-11-12 08:48:11.523,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",4,2021-11-08 07:00:00.000,2021-11-09 07:00:00.000,2021-11-12 08:48:11.516,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",5,2021-11-07 07:00:00.000,2021-11-08 07:00:00.000,2021-11-12 08:48:11.510,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",6,2021-11-06 07:00:00.000,2021-11-07 07:00:00.000,2021-11-12 08:48:11.503,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",7,2021-11-05 07:00:00.000,2021-11-06 07:00:00.000,2021-11-12 08:48:11.496,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",8,2021-11-04 07:00:00.000,2021-11-05 07:00:00.000,2021-11-12 08:48:11.490,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",9,2021-11-03 07:00:00.000,2021-11-04 07:00:00.000,2021-11-12 08:48:11.483,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",10,2021-11-02 07:00:00.000,2021-11-03 07:00:00.000,2021-11-12 08:48:11.476,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",11,2021-11-01 07:00:00.000,2021-11-02 07:00:00.000,2021-11-12 08:48:11.470,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",12,2021-10-31 07:00:00.000,2021-11-01 07:00:00.000,2021-11-12 08:48:11.463,0,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,1,"1 Day",13,2021-10-30 07:00:00.000,2021-10-31 07:00:00.000,2021-11-12 08:48:11.456,0,2
