device_fk,sensor_type_id,sensor_type,sensor,metric_id,metric,measure_type_id,measure_type,value,timeperiod_id,timeperiod,start_time,end_time,last_updated,percent_value,base_value
4681,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",3.03,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.640,3.03,2
4681,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",53.72,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.643,53.72,2
4681,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",0.76,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.643,0.76,2
4681,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",1.47,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.643,1.47,2
4681,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",0,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:19.646,0,2
9116,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",5.56,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.263,5.56,2
9116,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",60.43,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.263,60.43,2
9116,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",3.06,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.263,3.06,2
9116,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",5.38,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.266,5.38,2
9116,1,"CPU","cpu",2,"MIN",1,"CPU_LOAD",1.62,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.266,1.62,2
10084,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",5.56,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.326,5.56,2
10084,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",29.14,3,"30 Days",2021-10-13 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:17.326,29.14,2
