device_fk,sensor_type_id,sensor_type,sensor,metric_id,metric,measure_type_id,measure_type,value,timeperiod_id,timeperiod,window,start_time,end_time,last_updated,percent_value,base_value
4681,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",44.73,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.690,44.73,2
4681,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",0.66,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.693,0.66,2
4681,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",1.48,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.693,1.48,2
4681,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",2.5,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.690,2.5,2
9116,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",28.77,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.650,28.77,2
9116,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",3.01,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.650,3.01,2
9116,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",5.34,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.653,5.34,2
9116,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",5.54,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.650,5.54,2
10084,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",5.82,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.693,5.82,2
10084,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",2.25,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.696,2.25,2
10084,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",5.26,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.696,5.26,2
10084,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",5.62,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.693,5.62,2
10376,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",2.99,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.953,2.99,2
10376,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",0.64,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.956,0.64,2
10376,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",0.92,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.956,0.92,2
10376,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",1.26,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.953,1.26,2
10403,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",2.47,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:11.623,2.47,2
10403,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",0.47,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:11.623,0.47,2
10403,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",1,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:11.623,1,2
10403,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",1.48,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:11.620,1.48,2
12134,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",52.14,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:12.193,52.14,2
12134,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",1.13,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:12.196,1.13,2
12134,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",2.02,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:12.196,2.02,2
12134,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",2.54,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:12.193,2.54,2
13267,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",9.24,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.523,9.24,2
13267,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",5.18,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.526,5.18,2
13267,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",8.49,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.526,8.49,2
13267,1,"CPU","cpu",6,"98TH",1,"CPU_LOAD",8.69,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:15.523,8.69,2
13318,1,"CPU","cpu",1,"MAX",1,"CPU_LOAD",1.49,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:13.996,1.49,2
13318,1,"CPU","cpu",3,"AVG",1,"CPU_LOAD",0.38,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:14.000,0.38,2
13318,1,"CPU","cpu",5,"95TH",1,"CPU_LOAD",0.48,2,"7 Days",1,2021-11-05 07:00:00.000,2021-11-12 07:00:00.000,2021-11-12 08:48:14.000,0.48,2
