Client Device,Mountpoint,Filesystem Device,Filesystem,FS Type,Total Capacity (GB),Free Capacity (GB)
"ubu-integration-004-2-236.device42.pvt","/home/device42/d42_logs","10.42.2.238","10.42.2.238:/D42_Logs","nfs",499.9970703125,36.5478515625
"ubu-integration-004-2-236.device42.pvt","/opt","10.42.0.60","10.42.0.60:/d42_azure","nfs",1861.4462890625,653.4482421875
"terraform-9027","/mnt/nfs","10.42.0.6","10.42.0.6:/volume1/Software","nfs",907.7421875,120.31054687500001
"VMWARE-56 4D EC CE C5 40 1E 14-88 03 C1 7C 65 74 F6 02","/run/sr-mount/6dc4f658-4259-9f3c-abb4-a3ed8a9fef28","10.42.0.6","10.42.0.6:/volume1/Software","nfs",907.7421875,207.1396484375
"xen-003","/run/sr-mount/10ab5fb7-7356-7483-eb95-b9149bfbed46","10.42.0.6","10.42.0.6:/volume1/Software","nfs",907.7421875,207.140625
"xen-003","/run/sr-mount/779a9e75-fe25-5101-319a-01ce83de723e","192.168.42.1","192.168.42.1:/mnt/vol1/xen-003/779a9e75-fe25-5101-319a-01ce83de723e","nfs",14637.8701171875,14522.2734375
"ubu-integration-004-2-236.device42.pvt","/mnt/iscsi","10.42.2.238","10.42.2.238:/Backup","nfs",249.65625,85.546875
"jira-6-dev","/opt/nfs-mount","10.42.2.12","10.42.2.12:/","nfs4",7.80078125,0.986328125
"jira-6-dev","/opt/nfs-mount/opt","10.42.2.12","10.42.2.12:/opt","nfs4",7.80078125,1.17578125
"xenserver-001","/run/sr-mount/0a141c07-5615-0b4f-089b-486ff8de2a93","10.42.0.6","10.42.0.6:/volume1/Software","nfs",907.7421875,207.140625
"ubu-integration-004-2-236.device42.pvt","/home/device42/d42_install","10.42.2.238","10.42.2.238:/Install","nfs",499.9970703125,243.197265625
"ubu-integration-004-2-236.device42.pvt","/mnt","10.42.0.60","10.42.0.60:/d42_azure","nfs",1861.4462890625,157.9306640625
