Game,Rank,Month,Year,Hours_watched,Hours_Streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,eSport
Art,32,10,2020,8371667,548596,32363,1125,50958,11267,738,15.26,No
Super Mario Maker 2,61,7,2020,2877069,50424,23272,135,3970,3872,67,57.06,No
Celeste,197,2,2019,223978,11618,15785,46,2294,333,17,19.28,No
Tom Clancy's The Division,99,9,2017,422623,67671,3233,205,8875,587,94,6.25,No
Splatoon 2,133,7,2018,480906,37947,6987,253,4055,647,51,12.67,Yes
Warframe,76,9,2019,1015175,98019,22532,258,10659,1411,136,10.36,No
Trauma Center Under the Knife 2,200,1,2019,324408,58,119012,8,12,436,0,5593.24,No
Dark Souls III,40,2,2018,1824727,104108,16511,276,17532,2719,155,17.53,No
PAYDAY 2,108,6,2017,329141,62211,4223,294,16164,457,86,5.29,No
Outlast,189,5,2020,579234,32271,30733,118,9380,779,43,17.95,No
Madden NFL 19,69,9,2018,899392,159340,28141,638,25247,1250,221,5.64,Yes
Let It Die,35,12,2016,1899397,64714,32975,240,2199,2556,87,29.35,No
Monster Hunter World,35,10,2019,3127075,177198,25333,516,14719,4208,238,17.65,No
Barbie and The Magic of Pegasus,129,3,2018,339584,187,38284,4,50,457,0,1815.96,No
House Flipper,118,6,2018,495971,17242,10183,61,3993,689,23,28.77,No
Super Mario World,110,2,2020,756494,13320,7887,55,1546,1088,19,56.79,No
Fortnite,16,9,2017,4703330,209917,77600,2146,50095,6541,291,22.41,Yes
The Binding of Isaac Afterbirth,54,4,2017,863575,19644,8581,57,2732,1201,27,43.96,No
StepMania,145,1,2016,244450,2170,210108,30,638,329,2,112.65,No
Indivisible,106,10,2019,626849,17422,19248,197,2210,843,23,35.98,No
S.T.A.L.K.E.R. Clear Sky,181,10,2018,255110,1508,16143,12,248,343,2,169.17,No
Tom Clancy's The Division,57,8,2016,614781,109265,5047,468,16204,827,147,5.63,No
Company of Heroes 2,166,4,2018,245222,7086,7336,28,698,341,9,34.61,Yes
Life is Strange,182,6,2016,104190,6493,1868,31,1887,144,9,16.05,No
Undertale,174,3,2017,150082,7653,8179,31,1548,201,10,19.61,No
The Sims 4,87,3,2019,890954,54630,12545,141,9590,1199,73,16.31,No
Creative,31,1,2018,3842997,276056,28774,611,31676,5172,371,13.92,No
Life Is Feudal MMO,107,12,2017,468713,14785,4589,51,714,630,19,31.7,No
Poker,26,5,2020,9212870,99128,66482,378,5481,12399,133,92.94,No
FIFA 18,7,10,2017,16986546,278408,86579,974,47647,22862,374,61.01,Yes
Monopoly Plus,148,1,2021,936946,15727,95271,84,4213,1261,21,59.58,No
Super Mario Odyssey,172,2,2019,289122,9861,16275,39,1152,430,14,29.32,No
Battlefield 1,10,10,2016,7950877,282887,80858,1548,68653,10701,380,28.11,Yes
Rocket League,27,4,2020,8220061,525512,141539,1322,87995,11432,730,15.64,Yes
Dragalia Lost,129,10,2018,451739,10019,6702,48,837,607,13,45.09,No
Diablo III,73,9,2017,677904,49066,9257,141,6743,942,68,13.82,No
Mass Effect Andromeda,70,4,2017,615066,61783,8865,275,5969,855,85,9.96,No
Blade & Soul,57,5,2016,599449,40557,4882,140,3666,806,54,14.78,Yes
Persona 5,185,7,2017,239791,16445,3472,51,1890,322,22,14.58,No
Poker,25,11,2017,3577049,33957,39295,112,2335,4975,47,105.34,No
Call of Duty Black Ops II,91,6,2016,292451,29299,11764,90,4373,406,40,9.98,No
Super Smash Bros. Ultimate,8,12,2018,24333134,343187,226029,3619,33515,32749,461,70.9,Yes
The Witcher 3 Wild Hunt,48,6,2018,1830436,56835,27995,174,9461,2545,79,32.21,No
Super Mario Odyssey,191,3,2020,412323,10916,5013,45,1373,554,14,37.77,No
Infestation The New Z,187,3,2017,130610,15600,822,53,1396,175,20,8.37,No
LOST ARK,17,11,2018,12150137,213470,89384,1573,9661,16898,296,56.92,No
Street Fighter V,51,2,2018,1108889,29734,15980,119,4269,1652,44,37.29,Yes
F Zero GX,144,1,2018,313739,127,161002,9,45,422,0,2470.39,No
Virtual Casino,111,7,2020,1251674,9488,9934,33,570,1684,12,131.92,No
Social Eating,175,11,2017,191067,1764,10447,12,1330,265,2,108.31,No
Splatoon 2,145,12,2017,254617,21916,4479,140,2553,342,29,11.62,Yes
World of Tanks,56,9,2020,3393395,128611,131606,402,7469,4719,178,26.38,Yes
Counter Strike Global Offensive,7,6,2020,76001332,1403689,499919,4209,149577,105704,1952,54.14,Yes
Middle earth Shadow of War,153,3,2018,265149,5284,18900,24,1784,356,7,50.18,No
Diablo IV,89,11,2019,819419,1620,47472,21,245,1139,2,505.81,No
DayZ,65,11,2017,848697,29391,7499,98,2859,1180,40,28.88,No
Eco,173,1,2020,410701,3120,7014,18,350,552,4,131.63,No
Age of Empires II,101,1,2019,833617,17252,7888,54,2280,1121,23,48.32,Yes
Fortnite,5,12,2017,32129147,1478632,126805,3848,208677,43242,1990,21.73,Yes
Art,31,1,2019,4029473,260448,16675,565,28089,5423,350,15.47,No
Music,60,1,2017,1032997,20678,20493,59,4623,1390,27,49.96,No
Slay the Spire,91,3,2020,1084648,22361,36941,205,3804,1459,30,48.51,No
Twitch Plays,104,3,2018,475898,14619,10454,29,158,640,19,32.55,No
The Binding of Isaac Afterbirth,121,7,2018,583772,19894,19291,69,4004,785,26,29.34,No
The Evil Within,148,11,2016,155593,7828,3591,66,1592,216,10,19.88,No
Stardew Valley,78,1,2017,696427,39692,6331,107,6854,937,53,17.55,Yes
Music,24,4,2018,4035309,141954,29341,260,9555,5612,197,28.43,No
God of War,91,5,2020,1773840,66261,56292,161,6279,2387,89,26.77,No
Marbles On Stream,72,7,2019,978788,26288,22978,79,3873,1317,35,37.23,No
FIFA 17,14,4,2017,6383175,153150,57931,515,22377,8877,213,41.68,Yes
Star Wars The Old Republic,190,4,2017,130539,12895,1864,48,1156,181,17,10.12,No
Grand Theft Auto San Andreas,200,8,2018,216333,13448,11142,41,2984,291,18,16.09,No
Monster Hunter World,61,5,2020,2794831,196237,34107,556,15953,3761,264,14.24,No
osu!,99,6,2020,1213640,179390,9802,415,27334,1687,249,6.77,Yes
Slots,21,6,2019,6385498,48305,43632,123,2236,8881,67,132.19,No
The Jackbox Party Pack 6,123,11,2019,503630,16150,19365,109,3270,700,22,31.18,No
Call of Duty WWII,35,7,2018,2832608,114655,45209,335,35098,3812,154,24.71,No
Paragon,71,1,2017,765627,75965,4093,180,8400,1030,102,10.08,No
FIFA 19,16,9,2018,10213443,162768,108755,2400,34539,14205,226,62.75,Yes
Heroes of Might and Magic III The Shadow of Death,83,10,2018,926986,8745,11784,34,526,1247,11,106.0,No
Music,53,4,2017,865123,34495,5972,95,3885,1203,47,25.08,No
Star Citizen,89,11,2018,891476,32537,13910,193,3647,1239,45,27.4,No
I Wanna Be The Boshy,55,8,2018,1489203,2902,22046,19,673,2004,3,513.16,No
Conan Exiles,194,6,2019,320208,32454,1406,104,3094,445,45,9.87,No
SMITE,14,1,2017,5997773,149152,103551,405,21572,8072,200,40.21,Yes
Albion Online,166,11,2020,724280,46885,2748,108,2525,1007,65,15.45,No
My Summer Car,184,4,2017,135784,3339,3658,21,539,188,4,40.67,No
Minecraft,13,6,2019,17073543,679219,209184,1577,110794,23746,944,25.14,Yes
World of Warships,98,4,2018,559625,41921,3916,138,4516,778,58,13.35,No
Grand Theft Auto San Andreas,150,7,2020,799933,32563,15648,87,4504,1076,43,24.57,No
Dragon Ball FighterZ,166,6,2019,395894,17477,10012,60,4100,550,24,22.65,Yes
Diablo III,72,11,2020,2460084,111019,39233,1588,10462,3421,154,22.16,No
Mario Kart 8,185,4,2019,303367,12272,30212,55,3140,421,17,24.72,No
Control,92,9,2019,723738,38228,26552,257,6925,1006,53,18.93,No
League of Legends,3,4,2020,135859472,3461495,727437,8802,243651,188956,4814,39.25,Yes
Marbles On Stream,87,6,2019,975147,28082,15061,94,3799,1356,39,34.72,No
Garena Free Fire,28,10,2020,10946508,185145,99384,519,15755,14732,249,59.12,No
Deep Rock Galactic,124,5,2020,1103454,38706,30963,162,4763,1485,52,28.51,No
Starbound,58,7,2016,621770,20908,13245,165,3848,836,28,29.74,No
Minecraft,25,4,2018,3991870,220230,26687,608,38162,5551,306,18.13,Yes
