DateTime,2021-10-14 12:00:00.000,2021-10-14 12:10:00.000,2021-10-14 12:30:00.000,2021-10-14 12:40:00.000,2021-10-14 12:41:00.000
Quantity,0,80,80,80,0
Action,Production order starts,Item outputted,Item outputted,Item outputted,Production order ended
Date,2021-10-14 00:00:00.000,2021-10-14 00:00:00.000,2021-10-14 00:00:00.000,2021-10-14 00:00:00.000,2021-10-14 00:00:00.000
Time,1899-12-30 12:00:00.000,1899-12-30 12:10:00.000,1899-12-30 12:30:00.000,1899-12-30 12:40:00.000,1899-12-30 12:41:00.000
Minute,0,10,30,40,41
Index,1,2,3,4,5
Result1,0.0,8.0,5.333333333333333,6.0,5.853658536585366
Time2,1899-12-30 12:00:00.000,1899-12-30 12:15:00.000,1899-12-30 12:30:00.000,1899-12-30 12:45:00.000,1899-12-30 12:45:00.000
Minute2,0,15,30,45,45
Result2,0.0,5.333333333333333,5.333333333333333,5.333333333333333,5.333333333333333
