Value,value2,Time
18,0,1899-12-30 18:00:00.000
17,15,1899-12-30 17:15:00.000
11,15,1899-12-30 11:15:00.000
1,45,1899-12-30 01:45:00.000
3,30,1899-12-30 03:30:00.000
16,45,1899-12-30 16:45:00.000
6,30,1899-12-30 06:30:00.000
23,60,1899-12-30 00:00:00.000
18,45,1899-12-30 18:45:00.000
4,0,1899-12-30 04:00:00.000
2,15,1899-12-30 02:15:00.000
16,60,1899-12-30 17:00:00.000
19,15,1899-12-30 19:15:00.000
21,45,1899-12-30 21:45:00.000
19,0,1899-12-30 19:00:00.000
2,45,1899-12-30 02:45:00.000
10,0,1899-12-30 10:00:00.000
1,60,1899-12-30 02:00:00.000
11,0,1899-12-30 11:00:00.000
14,60,1899-12-30 15:00:00.000
22,15,1899-12-30 22:15:00.000
3,45,1899-12-30 03:45:00.000
0,0,1899-12-30 00:00:00.000
1,15,1899-12-30 01:15:00.000
6,15,1899-12-30 06:15:00.000
17,30,1899-12-30 17:30:00.000
12,0,1899-12-30 12:00:00.000
24,0,1899-12-30 00:00:00.000
20,15,1899-12-30 20:15:00.000
8,60,1899-12-30 09:00:00.000
14,45,1899-12-30 14:45:00.000
23,30,1899-12-30 23:30:00.000
14,30,1899-12-30 14:30:00.000
15,0,1899-12-30 15:00:00.000
12,60,1899-12-30 13:00:00.000
22,0,1899-12-30 22:00:00.000
15,15,1899-12-30 15:15:00.000
6,45,1899-12-30 06:45:00.000
10,45,1899-12-30 10:45:00.000
5,15,1899-12-30 05:15:00.000
19,45,1899-12-30 19:45:00.000
5,30,1899-12-30 05:30:00.000
9,0,1899-12-30 09:00:00.000
8,15,1899-12-30 08:15:00.000
12,30,1899-12-30 12:30:00.000
0,15,1899-12-30 00:15:00.000
19,60,1899-12-30 20:00:00.000
3,15,1899-12-30 03:15:00.000
16,30,1899-12-30 16:30:00.000
22,60,1899-12-30 23:00:00.000
5,0,1899-12-30 05:00:00.000
15,30,1899-12-30 15:30:00.000
20,30,1899-12-30 20:30:00.000
14,15,1899-12-30 14:15:00.000
24,15,1899-12-30 00:15:00.000
10,15,1899-12-30 10:15:00.000
16,0,1899-12-30 16:00:00.000
18,30,1899-12-30 18:30:00.000
9,15,1899-12-30 09:15:00.000
15,60,1899-12-30 16:00:00.000
7,0,1899-12-30 07:00:00.000
18,60,1899-12-30 19:00:00.000
18,15,1899-12-30 18:15:00.000
20,45,1899-12-30 20:45:00.000
19,30,1899-12-30 19:30:00.000
0,60,1899-12-30 01:00:00.000
5,60,1899-12-30 06:00:00.000
8,0,1899-12-30 08:00:00.000
13,0,1899-12-30 13:00:00.000
9,60,1899-12-30 10:00:00.000
3,0,1899-12-30 03:00:00.000
17,0,1899-12-30 17:00:00.000
13,15,1899-12-30 13:15:00.000
22,30,1899-12-30 22:30:00.000
22,45,1899-12-30 22:45:00.000
6,0,1899-12-30 06:00:00.000
5,45,1899-12-30 05:45:00.000
7,60,1899-12-30 08:00:00.000
10,60,1899-12-30 11:00:00.000
4,30,1899-12-30 04:30:00.000
0,30,1899-12-30 00:30:00.000
8,45,1899-12-30 08:45:00.000
21,15,1899-12-30 21:15:00.000
9,45,1899-12-30 09:45:00.000
11,30,1899-12-30 11:30:00.000
21,60,1899-12-30 22:00:00.000
4,45,1899-12-30 04:45:00.000
23,45,1899-12-30 23:45:00.000
16,15,1899-12-30 16:15:00.000
8,30,1899-12-30 08:30:00.000
15,45,1899-12-30 15:45:00.000
23,15,1899-12-30 23:15:00.000
13,45,1899-12-30 13:45:00.000
20,60,1899-12-30 21:00:00.000
7,30,1899-12-30 07:30:00.000
0,45,1899-12-30 00:45:00.000
7,15,1899-12-30 07:15:00.000
17,60,1899-12-30 18:00:00.000
9,30,1899-12-30 09:30:00.000
13,30,1899-12-30 13:30:00.000
