_nadb_riskindicator_value,Max Points,nadb_riskratingmethodologyid
"e19930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"e39930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"e59930ab-c154-ea11-a813-000d3a4ed0f6",5,"06c0009c-c154-ea11-a813-000d3a4e6589"
"e79930ab-c154-ea11-a813-000d3a4ed0f6",5,"06c0009c-c154-ea11-a813-000d3a4e6589"
"e99930ab-c154-ea11-a813-000d3a4ed0f6",0,"06c0009c-c154-ea11-a813-000d3a4e6589"
"eb9930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"ed9930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"ef9930ab-c154-ea11-a813-000d3a4ed0f6",15,"06c0009c-c154-ea11-a813-000d3a4e6589"
"f19930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"f39930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"f59930ab-c154-ea11-a813-000d3a4ed0f6",5,"06c0009c-c154-ea11-a813-000d3a4e6589"
"f79930ab-c154-ea11-a813-000d3a4ed0f6",10,"06c0009c-c154-ea11-a813-000d3a4e6589"
"f99930ab-c154-ea11-a813-000d3a4ed0f6",2,"08c0009c-c154-ea11-a813-000d3a4e6589"
"fb9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"fd9930ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"ff9930ab-c154-ea11-a813-000d3a4ed0f6",2.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"019a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"039a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"059a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"079a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"099a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"0b9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"0d9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"0f9a30ab-c154-ea11-a813-000d3a4ed0f6",2,"08c0009c-c154-ea11-a813-000d3a4e6589"
"119a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"139a30ab-c154-ea11-a813-000d3a4ed0f6",5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"159a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"179a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"199a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"1b9a30ab-c154-ea11-a813-000d3a4ed0f6",7.5,"08c0009c-c154-ea11-a813-000d3a4e6589"
"1d9a30ab-c154-ea11-a813-000d3a4ed0f6",15,"08c0009c-c154-ea11-a813-000d3a4e6589"
"1f9a30ab-c154-ea11-a813-000d3a4ed0f6",2,"08c0009c-c154-ea11-a813-000d3a4e6589"
"219a30ab-c154-ea11-a813-000d3a4ed0f6",2,"08c0009c-c154-ea11-a813-000d3a4e6589"
"239a30ab-c154-ea11-a813-000d3a4ed0f6",2,"08c0009c-c154-ea11-a813-000d3a4e6589"
"259a30ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"279a30ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"299a30ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"2b9a30ab-c154-ea11-a813-000d3a4ed0f6",3.3,"08c0009c-c154-ea11-a813-000d3a4e6589"
"2d9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"2f9a30ab-c154-ea11-a813-000d3a4ed0f6",25,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"319a30ab-c154-ea11-a813-000d3a4ed0f6",25,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"339a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"359a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"379a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"399a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"3b9a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"3d9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"3f9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"419a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"439a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"459a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"479a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"499a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0ac0009c-c154-ea11-a813-000d3a4e6589"
"4b9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"4d9a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"4f9a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"519a30ab-c154-ea11-a813-000d3a4ed0f6",25,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"539a30ab-c154-ea11-a813-000d3a4ed0f6",25,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"559a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"579a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"599a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"5b9a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"5d9a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"5f9a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"619a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"639a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"659a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"679a30ab-c154-ea11-a813-000d3a4ed0f6",10,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"699a30ab-c154-ea11-a813-000d3a4ed0f6",5,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"6b9a30ab-c154-ea11-a813-000d3a4ed0f6",20,"0cc0009c-c154-ea11-a813-000d3a4e6589"
"1d9b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"1f9b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"219b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"239b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"259b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"279b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"299b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"2b9b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"2d9b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"2f9b30ab-c154-ea11-a813-000d3a4ed0f6",10,"16c0009c-c154-ea11-a813-000d3a4e6589"
"d99a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"db9a30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"dd9a30ab-c154-ea11-a813-000d3a4ed0f6",1.88,"14c0009c-c154-ea11-a813-000d3a4e6589"
"df9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"e19a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"e39a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"e59a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"e79a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"e99a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"eb9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"ed9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"ef9a30ab-c154-ea11-a813-000d3a4ed0f6",2.5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"f19a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"f39a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"f59a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
"f79a30ab-c154-ea11-a813-000d3a4ed0f6",5,"14c0009c-c154-ea11-a813-000d3a4e6589"
