Land,Landcode,Maand,Waarde
"Nederland","NL","1",105136.66666666667
"Nederland","NL","2",105136.66666666667
"Nederland","NL","3",105136.66666666667
"Nederland","NL","4",105136.66666666667
"Nederland","NL","5",105136.66666666667
"Nederland","NL","6",105136.66666666667
"Nederland","NL","7",105136.66666666667
"Nederland","NL","8",105136.66666666667
"Nederland","NL","9",105136.66666666667
"Nederland","NL","10",105136.66666666667
"Nederland","NL","11",105136.66666666667
"Nederland","NL","12",105136.66666666667
"Duitsland","DE","1",38750
"Duitsland","DE","2",38750
"Duitsland","DE","3",38750
"Duitsland","DE","4",38750
"Duitsland","DE","5",38750
"Duitsland","DE","6",38750
"Duitsland","DE","7",38750
"Duitsland","DE","8",38750
"Duitsland","DE","9",38750
"Duitsland","DE","10",38750
"Duitsland","DE","11",38750
"Duitsland","DE","12",38750
"België","BE","1",37835
"België","BE","2",37835
"België","BE","3",37835
"België","BE","4",37835
"België","BE","5",37835
"België","BE","6",37835
"België","BE","7",37835
"België","BE","8",37835
"België","BE","9",37835
"België","BE","10",37835
"België","BE","11",37835
"België","BE","12",37835
"Luxemburg","LU","1",0
"Luxemburg","LU","2",0
"Luxemburg","LU","3",0
"Luxemburg","LU","4",0
"Luxemburg","LU","5",0
"Luxemburg","LU","6",0
"Luxemburg","LU","7",0
"Luxemburg","LU","8",0
"Luxemburg","LU","9",0
"Luxemburg","LU","10",0
"Luxemburg","LU","11",0
"Luxemburg","LU","12",0
"Frankrijk","FR","1",24200
"Frankrijk","FR","2",24200
"Frankrijk","FR","3",24200
"Frankrijk","FR","4",24200
"Frankrijk","FR","5",24200
"Frankrijk","FR","6",24200
"Frankrijk","FR","7",24200
"Frankrijk","FR","8",24200
"Frankrijk","FR","9",24200
"Frankrijk","FR","10",24200
"Frankrijk","FR","11",24200
"Frankrijk","FR","12",24200
"Polen","PL","1",35972.833333333336
"Polen","PL","2",35972.833333333336
"Polen","PL","3",35972.833333333336
"Polen","PL","4",35972.833333333336
"Polen","PL","5",35972.833333333336
"Polen","PL","6",35972.833333333336
"Polen","PL","7",35972.833333333336
"Polen","PL","8",35972.833333333336
"Polen","PL","9",35972.833333333336
"Polen","PL","10",35972.833333333336
"Polen","PL","11",35972.833333333336
"Polen","PL","12",35972.833333333336
"VK (4CS)","GB","1",29583.333333333332
"VK (4CS)","GB","2",29583.333333333332
"VK (4CS)","GB","3",29583.333333333332
"VK (4CS)","GB","4",29583.333333333332
"VK (4CS)","GB","5",29583.333333333332
"VK (4CS)","GB","6",29583.333333333332
"VK (4CS)","GB","7",29583.333333333332
"VK (4CS)","GB","8",29583.333333333332
"VK (4CS)","GB","9",29583.333333333332
"VK (4CS)","GB","10",29583.333333333332
"VK (4CS)","GB","11",29583.333333333332
"VK (4CS)","GB","12",29583.333333333332
"USA","US","1",132500
"USA","US","2",10000
"USA","US","3",67500
"USA","US","4",10000
"USA","US","5",10000
"USA","US","6",200000
"USA","US","7",10000
"USA","US","8",10000
"USA","US","9",12500
"USA","US","10",12500
"USA","US","11",12500
"USA","US","12",12500
"Canada","CA","1",132500
"Canada","CA","2",10000
"Canada","CA","3",67500
"Canada","CA","4",10000
"Canada","CA","5",10000
"Canada","CA","6",200000
"Canada","CA","7",10000
"Canada","CA","8",10000
"Canada","CA","9",12500
"Canada","CA","10",12500
"Canada","CA","11",12500
"Canada","CA","12",12500
"Zweden","SE","1",18270.833333333332
"Zweden","SE","2",18270.833333333332
"Zweden","SE","3",18270.833333333332
"Zweden","SE","4",18270.833333333332
"Zweden","SE","5",18270.833333333332
"Zweden","SE","6",18270.833333333332
"Zweden","SE","7",18270.833333333332
"Zweden","SE","8",18270.833333333332
"Zweden","SE","9",18270.833333333332
"Zweden","SE","10",18270.833333333332
"Zweden","SE","11",18270.833333333332
"Zweden","SE","12",18270.833333333332
"Noorwegen","NO","1",13455.833333333334
"Noorwegen","NO","2",13455.833333333334
"Noorwegen","NO","3",13455.833333333334
"Noorwegen","NO","4",13455.833333333334
"Noorwegen","NO","5",13455.833333333334
"Noorwegen","NO","6",13455.833333333334
"Noorwegen","NO","7",13455.833333333334
"Noorwegen","NO","8",13455.833333333334
"Noorwegen","NO","9",13455.833333333334
"Noorwegen","NO","10",13455.833333333334
"Noorwegen","NO","11",13455.833333333334
"Noorwegen","NO","12",13455.833333333334
"Oostenrijk","AT","1",21884.416666666668
"Oostenrijk","AT","2",21884.416666666668
"Oostenrijk","AT","3",21884.416666666668
"Oostenrijk","AT","4",21884.416666666668
"Oostenrijk","AT","5",21884.416666666668
"Oostenrijk","AT","6",21884.416666666668
"Oostenrijk","AT","7",21884.416666666668
"Oostenrijk","AT","8",21884.416666666668
"Oostenrijk","AT","9",21884.416666666668
"Oostenrijk","AT","10",21884.416666666668
"Oostenrijk","AT","11",21884.416666666668
"Oostenrijk","AT","12",21884.416666666668
"Viavac CZ","CZ","1",20067.666666666668
"Viavac CZ","CZ","2",20067.666666666668
"Viavac CZ","CZ","3",20067.666666666668
"Viavac CZ","CZ","4",20067.666666666668
"Viavac CZ","CZ","5",20067.666666666668
"Viavac CZ","CZ","6",20067.666666666668
"Viavac CZ","CZ","7",20067.666666666668
"Viavac CZ","CZ","8",20067.666666666668
"Viavac CZ","CZ","9",20067.666666666668
"Viavac CZ","CZ","10",20067.666666666668
