Country,Product,Units Sold,Revenue per cookie,Cost per cookie,Revenue,Cost,Profit,Date,Month Number,Month,Year,Country Population.Population,Country Population.Region,Sell per capita
Germany,Chocolate Chip,1359,5,2,6795.0,2718,4077.0,2019-11-01 00:00:00.000,11,November,2019,83222442,Europe,1.632972990626735e-05
France,White Chocolate Macadamia Nut,1055,6,3,6330.0,2901,3428.75,2019-12-01 00:00:00.000,12,December,2019,68035000,Europe,1.5506724480047033e-05
Mexico,Fortune Cookie,720,1,0,720.0,144,576.0,2018-09-01 00:00:00.000,9,September,2018,126014024,Americas,5.71364977599636e-06
Mexico,Chocolate Chip,905,5,2,4525.0,1810,2715.0,2019-10-01 00:00:00.000,10,October,2019,126014024,Americas,7.18174034343987e-06
France,Snickerdoodle,1563,4,2,6252.0,2344,3907.5,2019-05-01 00:00:00.000,5,May,2019,68035000,Europe,2.297346953773793e-05
Germany,Oatmeal Raisin,994,5,2,4970.0,2187,2783.2,2018-09-01 00:00:00.000,9,September,2018,83222442,Europe,1.1943893691559784e-05
Mexico,Oatmeal Raisin,1101,5,2,5505.0,2422,3082.8,2019-03-01 00:00:00.000,3,March,2019,126014024,Americas,8.737122782461101e-06
Canada,Oatmeal Raisin,888,5,2,4440.0,1954,2486.4,2019-03-01 00:00:00.000,3,March,2019,38547901,Americas,2.30362737519742e-05
Mexico,Snickerdoodle,2470,4,2,9880.0,3705,6175.0,2019-06-01 00:00:00.000,6,June,2019,126014024,Americas,1.960099298154307e-05
United States,Snickerdoodle,1743,4,2,6972.0,2614,4357.5,2019-05-01 00:00:00.000,5,May,2019,333061898,Americas,5.233261476219654e-06
United States,Sugar,2807,3,1,8421.0,3509,4912.25,2019-08-01 00:00:00.000,8,August,2019,333061898,Americas,8.4278628592935e-06
Mexico,Snickerdoodle,562,4,2,2248.0,843,1405.0,2019-09-01 00:00:00.000,9,September,2019,126014024,Americas,4.4598210751527145e-06
United States,Chocolate Chip,914,5,2,4570.0,1828,2742.0,2019-12-01 00:00:00.000,12,December,2019,333061898,Americas,2.744234646738247e-06
United States,Chocolate Chip,991,5,2,4955.0,1982,2973.0,2019-06-01 00:00:00.000,6,June,2019,333061898,Americas,2.975422904723854e-06
Canada,Sugar,1389,3,1,4167.0,1736,2430.75,2018-10-01 00:00:00.000,10,October,2018,38547901,Americas,3.6033090362040725e-05
United States,White Chocolate Macadamia Nut,986,6,3,5916.0,2712,3204.5,2019-10-01 00:00:00.000,10,October,2019,333061898,Americas,2.960410680179334e-06
France,Fortune Cookie,1976,1,0,1976.0,395,1580.8,2019-10-01 00:00:00.000,10,October,2019,68035000,Europe,2.904387447637245e-05
Canada,White Chocolate Macadamia Nut,2646,6,3,15876.0,7276,8599.5,2018-09-01 00:00:00.000,9,September,2018,38547901,Americas,6.864186976095015e-05
Canada,Sugar,944,3,1,2830.5,1179,1651.125,2019-04-01 00:00:00.000,4,April,2019,38547901,Americas,2.4489011736332933e-05
Mexico,White Chocolate Macadamia Nut,2145,6,3,12870.0,5899,6971.25,2018-10-01 00:00:00.000,10,October,2018,126014024,Americas,1.7021914957655825e-05
United States,Snickerdoodle,1010,4,2,4040.0,1515,2525.0,2019-10-01 00:00:00.000,10,October,2019,333061898,Americas,3.03246935799303e-06
Canada,Snickerdoodle,1094,4,2,4376.0,1641,2735.0,2019-06-01 00:00:00.000,6,June,2019,38547901,Americas,2.8380274194436683e-05
United States,White Chocolate Macadamia Nut,1596,6,3,9576.0,4389,5187.0,2019-09-01 00:00:00.000,9,September,2019,333061898,Americas,4.791902074610768e-06
United States,Oatmeal Raisin,2844,5,2,14220.0,6257,7963.2,2019-05-01 00:00:00.000,5,May,2019,333061898,Americas,8.538953320922947e-06
Canada,Oatmeal Raisin,2734,5,2,13670.0,6015,7655.2,2019-10-01 00:00:00.000,10,October,2019,38547901,Americas,7.092474373637102e-05
Canada,Snickerdoodle,1884,4,2,7536.0,2826,4710.0,2019-08-01 00:00:00.000,8,August,2019,38547901,Americas,4.88742564737831e-05
Canada,Fortune Cookie,388,1,0,388.0,78,310.4,2019-09-01 00:00:00.000,9,September,2019,38547901,Americas,1.0065398891628366e-05
