id,itilcategories_id,name,completename,categoria_micro,categoria_macro
"30","73","Impressora","Infraestrutura > Impressora","Impressora","Infraestrutura"
"32","0","Protheus","Protheus","Protheus","Protheus"
"33","73","Telefonia Móvel","Infraestrutura > Telefonia Móvel","Telefonia Móvel","Infraestrutura"
"34","73","Telefonia Fixa","Infraestrutura > Telefonia Fixa","Telefonia Fixa","Infraestrutura"
"37","43","Software","Sistemas > Software","Software","Sistemas"
"38","43","Zabbix","Sistemas > Zabbix","Zabbix","Sistemas"
"42","0","Outros","Outros","Outros","Outros"
"43","0","Sistemas","Sistemas","Sistemas","Sistemas"
"48","73","Permissões de Acesso (File Server)","Infraestrutura > Permissões de Acesso (File Server)","Permissões de Acesso (File Server)","Infraestrutura"
"49","32","Compras","Protheus > Compras","Compras","Protheus"
"50","73","Azure","Infraestrutura > Azure","Azure","Infraestrutura"
"51","43","Site","Sistemas > Site","Site","Sistemas"
"52","73","Internet","Infraestrutura > Internet","Internet","Infraestrutura"
"53","43","Sharepoint (Intranet)","Sistemas > Sharepoint (Intranet)","Sharepoint (Intranet)","Sistemas"
"54","32","Financeiro","Protheus > Financeiro","Financeiro","Protheus"
"55","32","Contábil","Protheus > Contábil","Contábil","Protheus"
"56","32","Faturamento","Protheus > Faturamento","Faturamento","Protheus"
"57","32","Estoque","Protheus > Estoque","Estoque","Protheus"
"58","32","Ativo Fixo","Protheus > Ativo Fixo","Ativo Fixo","Protheus"
"59","32","PCO","Protheus > PCO","PCO","Protheus"
"60","73","Recuperação de Arquivos","Infraestrutura > Recuperação de Arquivos","Recuperação de Arquivos","Infraestrutura"
"61","32","Livros Fiscais","Protheus > Livros Fiscais","Livros Fiscais","Protheus"
"62","32","Perfil de usuário","Protheus > Perfil de usuário","Perfil de usuário","Protheus"
"63","32","Workflow","Protheus > Workflow","Workflow","Protheus"
"67","32","Relatórios","Protheus > Relatórios","Relatórios","Protheus"
"68","32","GCT","Protheus > GCT","GCT","Protheus"
"70","32","Grade Aprovação","Protheus > Grade Aprovação","Grade Aprovação","Protheus"
"71","43","NSTV","Sistemas > NSTV","NSTV","Sistemas"
"72","43","GLPI","Sistemas > GLPI","GLPI","Sistemas"
"73","0","Infraestrutura","Infraestrutura","Infraestrutura","Infraestrutura"
"74","73","Redes","Infraestrutura > Redes","Redes","Infraestrutura"
"76","73","CFTV/NVR","Infraestrutura > CFTV/NVR","CFTV/NVR","Infraestrutura"
"119","43","E-mail","Sistemas > E-mail","E-mail","Sistemas"
"120","73","Segurança","Infraestrutura > Segurança","Segurança","Infraestrutura"
"121","73","AD","Infraestrutura > AD","AD","Infraestrutura"
"123","32","CFG","Protheus > CFG","CFG","Protheus"
"124","73","Firewall","Infraestrutura > Firewall","Firewall","Infraestrutura"
"125","32","TAF","Protheus > TAF","TAF","Protheus"
"126","42","Contratação","Outros > Contratação","Contratação","Outros"
"127","32","PCP","Protheus > PCP","PCP","Protheus"
"128","73","Windows","Infraestrutura > Windows","Windows","Infraestrutura"
"129","73","Controle de Acesso (IDFlex)","Infraestrutura > Controle de Acesso (IDFlex)","Controle de Acesso (IDFlex)","Infraestrutura"
"130","43","OneDrive Business","Sistemas > OneDrive Business","OneDrive Business","Sistemas"
"131","73","Manutenção Hardware","Infraestrutura > Manutenção Hardware","Manutenção Hardware","Infraestrutura"
"132","43","Labware","Sistemas > Labware","Labware","Sistemas"
"133","42","RDM","Outros > RDM","RDM","Outros"
"135","42","Movimentação","Outros > Movimentação","Movimentação","Outros"
