id,tickets_id,users_id,type,user_id_name
333,128,9,2,tech
6251,2357,58,1,requester
6138,2315,16,1,requester
4582,1719,73,1,requester
1880,708,36,3,requester
10249,3673,46,1,requester
2598,955,13,3,requester
3289,1213,30,3,requester
5811,2194,9,2,tech
8865,3075,112,2,tech
6160,2325,76,2,tech
6030,2275,74,3,requester
9928,3562,9,2,tech
2497,925,10,1,requester
4536,1700,62,3,requester
76,31,13,1,requester
4175,1561,10,1,requester
1135,439,9,2,tech
9366,3381,13,1,requester
679,272,13,3,requester
10158,3640,20,3,requester
2886,1059,9,2,tech
4822,1816,30,3,requester
5452,2056,9,2,tech
1219,473,10,3,requester
6649,2437,89,1,requester
2012,747,9,2,tech
6506,799,9,2,tech
8514,3085,41,3,requester
4378,1638,44,3,requester
11080,3957,62,1,requester
7610,2770,33,1,requester
10588,3786,9,2,tech
6165,2327,47,1,requester
10969,3923,103,1,requester
4953,1864,76,2,tech
7200,2626,33,1,requester
3418,1264,76,2,tech
1492,565,14,3,requester
5738,2165,9,2,tech
10498,3761,21,3,requester
6510,809,9,2,tech
7212,2631,58,1,requester
4248,1588,33,1,requester
10344,3706,9,2,tech
755,306,30,1,requester
7708,2804,110,1,requester
3685,1364,9,2,tech
9821,3524,9,2,tech
8228,2981,111,2,tech
1551,580,9,2,tech
4342,1622,11,1,requester
6903,2517,76,2,tech
10992,3921,112,2,tech
7383,2693,110,1,requester
6248,2356,10,3,requester
4063,1521,9,2,tech
4124,1543,62,3,requester
7534,2747,110,1,requester
5757,2174,33,1,requester
685,273,9,2,tech
9504,3422,10,1,requester
601,235,20,1,requester
10669,3808,112,2,tech
114,47,9,2,tech
4942,1861,11,1,requester
10575,3784,20,3,requester
6415,2185,9,2,tech
9604,3455,111,1,requester
7261,2646,9,2,tech
10141,3627,112,2,tech
5627,2126,76,2,tech
11192,3987,98,3,requester
6631,2432,22,1,requester
3836,1428,76,1,requester
10955,3918,9,2,tech
698,279,24,1,requester
5739,2166,9,2,tech
10015,3589,112,2,tech
5424,2047,36,1,requester
2451,904,14,3,requester
3367,1245,60,1,requester
5119,1930,10,1,requester
5791,2186,88,1,requester
6703,2449,9,2,tech
10889,3893,9,2,tech
2480,919,43,1,requester
1137,440,9,2,tech
4842,1824,11,3,requester
7770,2827,114,2,tech
4546,1703,73,3,requester
9263,3348,91,1,requester
7253,2645,33,1,requester
1685,639,13,3,requester
2984,1094,14,2,tech
5760,2174,20,3,requester
4393,1643,13,1,requester
9713,3490,14,3,requester
3503,1295,76,2,tech
9281,3353,10,3,requester
