PK_municipio,regiao_planejamento,cod_ibge,municipio,porte,piloto,estado,pais,referencia
2,"Região do Alto Munim","2100105","Afonso Cunha","Porte I","Não","Maranhão","Brasil","Afonso Cunha, Maranhão, Brasil"
3,"Região do Delta do Parnaíba","2100154","Água Doce do Maranhão","Porte I","Não","Maranhão","Brasil","Água Doce do Maranhão, Maranhão, Brasil"
6,"Região do Mearim","2100402","Altamira do Maranhão","Porte I","Não","Maranhão","Brasil","Altamira do Maranhão, Maranhão, Brasil"
9,"Região dos Gerais De Balsas","2100501","Alto Parnaíba","Porte I","Não","Maranhão","Brasil","Alto Parnaíba, Maranhão, Brasil"
10,"Região do Gurupi","2100550","Amapá do Maranhão","Porte I","Não","Maranhão","Brasil","Amapá do Maranhão, Maranhão, Brasil"
13,"Região do Alto Munim","2100808","Anapurus","Porte I","Não","Maranhão","Brasil","Anapurus, Maranhão, Brasil"
14,"Região do Litoral Ocidental","2100832","Apicum-Açu","Porte I","Não","Maranhão","Brasil","Apicum-Açu, Maranhão, Brasil"
15,"Região do Alto Turi","2100873","Araguanã","Porte I","Não","Maranhão","Brasil","Araguanã, Maranhão, Brasil"
22,"Região do Litoral Ocidental","2101301","Bacuri","Porte I","Não","Maranhão","Brasil","Bacuri, Maranhão, Brasil"
25,"Região do Sertão Maranhense","2101509","Barão de Grajaú","Porte I","Não","Maranhão","Brasil","Barão de Grajaú, Maranhão, Brasil"
28,"Região do Pindaré","2101772","Bela Vista do Maranhão","Porte I","Não","Maranhão","Brasil","Bela Vista do Maranhão, Maranhão, Brasil"
29,"Região do Alto Munim","2101731","Belágua","Porte I","Não","Maranhão","Brasil","Belágua, Maranhão, Brasil"
30,"Região do Baixo Balsas","2101806","Benedito Leite","Porte I","Não","Maranhão","Brasil","Benedito Leite, Maranhão, Brasil"
32,"Região do Médio Mearim","2101939","Bernardo do Mearim","Porte I","Não","Maranhão","Brasil","Bernardo do Mearim, Maranhão, Brasil"
33,"Região do Baixo Turi","2101970","Boa Vista do Gurupi","Porte I","Não","Maranhão","Brasil","Boa Vista do Gurupi, Maranhão, Brasil"
36,"Região do Mearim","2102077","Bom Lugar","Porte I","Não","Maranhão","Brasil","Bom Lugar, Maranhão, Brasil"
38,"Região do Mearim","2102150","Brejo de Areia","Porte I","Não","Maranhão","Brasil","Brejo de Areia, Maranhão, Brasil"
42,"Região do Tocantins","2102358","Buritirana","Porte I","Não","Maranhão","Brasil","Buritirana, Maranhão, Brasil"
46,"Região da Chapada das Mesas","2102556","Campestre Do Maranhão","Porte I","Não","Maranhão","Brasil","Campestre Do Maranhão, Maranhão, Brasil"
47,"Região do Gurupi","2102606","Cândido Mendes","Porte I","Não","Maranhão","Brasil","Cândido Mendes, Maranhão, Brasil"
49,"Região do Flores","2102754","Capinzal do Norte","Porte I","Não","Maranhão","Brasil","Capinzal do Norte, Maranhão, Brasil"
53,"Região do Litoral Ocidental","2103109","Cedral","Porte I","Não","Maranhão","Brasil","Cedral, Maranhão, Brasil"
54,"Região do Litoral Ocidental","2103125","Central do Maranhão","Porte I","Não","Maranhão","Brasil","Central do Maranhão, Maranhão, Brasil"
55,"Região do Baixo Turi","2103158","Centro do Guilherme","Porte I","Não","Maranhão","Brasil","Centro do Guilherme, Maranhão, Brasil"
56,"Região do Baixo Turi","2103174","Centro Novo do Maranhão","Porte I","Não","Maranhão","Brasil","Centro Novo do Maranhão, Maranhão, Brasil"
58,"Região dos Carajás","2103257","Cidelândia","Porte I","Não","Maranhão","Brasil","Cidelândia, Maranhão, Brasil"
62,"Região do Mearim","2103554","Conceição do Lago-Açu","Porte I","Não","Maranhão","Brasil","Conceição do Lago-Açu, Maranhão, Brasil"
65,"Região do Tocantins","2103752","Davinópolis","Porte I","Não","Maranhão","Brasil","Davinópolis, Maranhão, Brasil"
67,"Região dos Timbiras","2103901","Duque Bacelar","Porte I","Não","Maranhão","Brasil","Duque Bacelar, Maranhão, Brasil"
68,"Região do Médio Mearim","2104008","Esperantinópolis","Porte I","Não","Maranhão","Brasil","Esperantinópolis, Maranhão, Brasil"
70,"Região da Chapada das Mesas","2104073","Feira Nova do Maranhão","Porte I","Não","Maranhão","Brasil","Feira Nova do Maranhão, Maranhão, Brasil"
71,"Região dos Guajajaras","2104081","Fernando Falcão","Porte I","Não","Maranhão","Brasil","Fernando Falcão, Maranhão, Brasil"
72,"Região das Serras","2104099","Formosa da Serra Negra","Porte I","Não","Maranhão","Brasil","Formosa da Serra Negra, Maranhão, Brasil"
73,"Região dos Gerais De Balsas","2104107","Fortaleza dos Nogueiras","Porte I","Não","Maranhão","Brasil","Fortaleza dos Nogueiras, Maranhão, Brasil"
74,"Região do Alpercatas","2104206","Fortuna","Porte I","Não","Maranhão","Brasil","Fortuna, Maranhão, Brasil"
75,"Região do Gurupi","2104305","Godofredo Viana","Porte I","Não","Maranhão","Brasil","Godofredo Viana, Maranhão, Brasil"
76,"Região do Flores","2104404","Gonçalves Dias","Porte I","Não","Maranhão","Brasil","Gonçalves Dias, Maranhão, Brasil"
77,"Região do Flores","2104503","Governador Archer","Porte I","Não","Maranhão","Brasil","Governador Archer, Maranhão, Brasil"
78,"Região do Tocantins","2104552","Governador Edison Lobão","Porte I","Não","Maranhão","Brasil","Governador Edison Lobão, Maranhão, Brasil"
79,"Região da Pré-Amazônia","2104602","Governador Eugênio Barros","Porte I","Não","Maranhão","Brasil","Governador Eugênio Barros, Maranhão, Brasil"
80,"Região da Pré-Amazônia","2104628","Governador Luiz Rocha","Porte I","Não","Maranhão","Brasil","Governador Luiz Rocha, Maranhão, Brasil"
81,"Região do Alto Turi","2104651","Governador Newton Bello","Porte I","Não","Maranhão","Brasil","Governador Newton Bello , Maranhão, Brasil"
83,"Região da Pré-Amazônia","2104701","Graça Aranha","Porte I","Não","Maranhão","Brasil","Graça Aranha, Maranhão, Brasil"
85,"Região do Litoral Ocidental","2104909","Guimarães","Porte I","Não","Maranhão","Brasil","Guimarães, Maranhão, Brasil"
88,"Região do Pindaré","2105153","Igarapé do Meio","Porte I","Não","Maranhão","Brasil","Igarapé do Meio, Maranhão, Brasil"
89,"Região do Médio Mearim","2105203","Igarapé Grande","Porte I","Não","Maranhão","Brasil","Igarapé Grande, Maranhão, Brasil"
94,"Região do Alpercatas","2105450","Jatobá","Porte I","Não","Maranhão","Brasil","Jatobá, Maranhão, Brasil"
95,"Região dos Guajajaras","2105476","Jenipapo dos Vieiras","Porte I","Não","Maranhão","Brasil","Jenipapo dos Vieiras, Maranhão, Brasil"
