protocolo,FK_dt_protocolo,qtd,FK_CO,FK_municipio
"2021.7-108.1032",2021-07-07 00:00:00.000,1,16,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,17,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,18,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,28,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,30,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,40,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,41,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,42,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,29,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,6,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,4,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,5,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,21,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,19,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,20,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,45,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,43,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,44,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,33,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,31,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,32,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,9,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,7,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,8,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,24,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,22,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,23,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,48,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,46,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,47,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,36,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,34,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,35,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,12,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,10,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,11,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,15,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,13,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,14,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,39,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,37,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,38,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,27,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,25,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,26,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,3,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,1,186
"2021.7-108.1032",2021-07-07 00:00:00.000,1,2,186
"2021.6-108.1010",2021-06-29 00:00:00.000,1,18,
"2021.6-108.1010",2021-06-29 00:00:00.000,1,16,
"2021.6-108.1010",2021-06-29 00:00:00.000,1,17,
"2021.6-108.1010",2021-06-29 00:00:00.000,2,42,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,40,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,41,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,30,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,28,
"2021.6-108.1010",2021-06-29 00:00:00.000,4,29,
"2021.6-108.1010",2021-06-29 00:00:00.000,3,6,
