PK_dim_Data,Ano,Mes,Mes_N,Dia,MesAno,MesAno_Ordem,DiaSemana,NomeDiaSemana_Abr,SemanaAno,isAnoAtual,isDataPassada,Trimestre,Semestre,Ano-Semestre
2020-07-01 00:00:00.000,2020,"Julho",7,1,"Jul-20",24247,3,"Qua",27,False,True,3,2,"2020-2"
2020-07-02 00:00:00.000,2020,"Julho",7,2,"Jul-20",24247,4,"Qui",27,False,True,3,2,"2020-2"
2020-07-03 00:00:00.000,2020,"Julho",7,3,"Jul-20",24247,5,"Sex",27,False,True,3,2,"2020-2"
2020-07-04 00:00:00.000,2020,"Julho",7,4,"Jul-20",24247,6,"Sáb",27,False,True,3,2,"2020-2"
2020-07-05 00:00:00.000,2020,"Julho",7,5,"Jul-20",24247,0,"Dom",28,False,True,3,2,"2020-2"
2020-07-06 00:00:00.000,2020,"Julho",7,6,"Jul-20",24247,1,"Seg",28,False,True,3,2,"2020-2"
2020-07-07 00:00:00.000,2020,"Julho",7,7,"Jul-20",24247,2,"Ter",28,False,True,3,2,"2020-2"
2020-07-08 00:00:00.000,2020,"Julho",7,8,"Jul-20",24247,3,"Qua",28,False,True,3,2,"2020-2"
2020-07-09 00:00:00.000,2020,"Julho",7,9,"Jul-20",24247,4,"Qui",28,False,True,3,2,"2020-2"
2020-07-10 00:00:00.000,2020,"Julho",7,10,"Jul-20",24247,5,"Sex",28,False,True,3,2,"2020-2"
2020-07-11 00:00:00.000,2020,"Julho",7,11,"Jul-20",24247,6,"Sáb",28,False,True,3,2,"2020-2"
2020-07-12 00:00:00.000,2020,"Julho",7,12,"Jul-20",24247,0,"Dom",29,False,True,3,2,"2020-2"
2020-07-13 00:00:00.000,2020,"Julho",7,13,"Jul-20",24247,1,"Seg",29,False,True,3,2,"2020-2"
2020-07-14 00:00:00.000,2020,"Julho",7,14,"Jul-20",24247,2,"Ter",29,False,True,3,2,"2020-2"
2020-07-15 00:00:00.000,2020,"Julho",7,15,"Jul-20",24247,3,"Qua",29,False,True,3,2,"2020-2"
2020-07-16 00:00:00.000,2020,"Julho",7,16,"Jul-20",24247,4,"Qui",29,False,True,3,2,"2020-2"
2020-07-17 00:00:00.000,2020,"Julho",7,17,"Jul-20",24247,5,"Sex",29,False,True,3,2,"2020-2"
2020-07-18 00:00:00.000,2020,"Julho",7,18,"Jul-20",24247,6,"Sáb",29,False,True,3,2,"2020-2"
2020-07-19 00:00:00.000,2020,"Julho",7,19,"Jul-20",24247,0,"Dom",30,False,True,3,2,"2020-2"
2020-07-20 00:00:00.000,2020,"Julho",7,20,"Jul-20",24247,1,"Seg",30,False,True,3,2,"2020-2"
2020-07-21 00:00:00.000,2020,"Julho",7,21,"Jul-20",24247,2,"Ter",30,False,True,3,2,"2020-2"
2020-07-22 00:00:00.000,2020,"Julho",7,22,"Jul-20",24247,3,"Qua",30,False,True,3,2,"2020-2"
2020-07-23 00:00:00.000,2020,"Julho",7,23,"Jul-20",24247,4,"Qui",30,False,True,3,2,"2020-2"
2020-07-24 00:00:00.000,2020,"Julho",7,24,"Jul-20",24247,5,"Sex",30,False,True,3,2,"2020-2"
2020-07-25 00:00:00.000,2020,"Julho",7,25,"Jul-20",24247,6,"Sáb",30,False,True,3,2,"2020-2"
2020-07-26 00:00:00.000,2020,"Julho",7,26,"Jul-20",24247,0,"Dom",31,False,True,3,2,"2020-2"
2020-07-27 00:00:00.000,2020,"Julho",7,27,"Jul-20",24247,1,"Seg",31,False,True,3,2,"2020-2"
2020-07-28 00:00:00.000,2020,"Julho",7,28,"Jul-20",24247,2,"Ter",31,False,True,3,2,"2020-2"
2020-07-29 00:00:00.000,2020,"Julho",7,29,"Jul-20",24247,3,"Qua",31,False,True,3,2,"2020-2"
2020-07-30 00:00:00.000,2020,"Julho",7,30,"Jul-20",24247,4,"Qui",31,False,True,3,2,"2020-2"
2020-07-31 00:00:00.000,2020,"Julho",7,31,"Jul-20",24247,5,"Sex",31,False,True,3,2,"2020-2"
2020-08-01 00:00:00.000,2020,"Agosto",8,1,"Ago-20",24248,6,"Sáb",31,False,True,3,2,"2020-2"
2020-08-02 00:00:00.000,2020,"Agosto",8,2,"Ago-20",24248,0,"Dom",32,False,True,3,2,"2020-2"
2020-08-03 00:00:00.000,2020,"Agosto",8,3,"Ago-20",24248,1,"Seg",32,False,True,3,2,"2020-2"
2020-08-04 00:00:00.000,2020,"Agosto",8,4,"Ago-20",24248,2,"Ter",32,False,True,3,2,"2020-2"
2020-08-05 00:00:00.000,2020,"Agosto",8,5,"Ago-20",24248,3,"Qua",32,False,True,3,2,"2020-2"
2020-08-06 00:00:00.000,2020,"Agosto",8,6,"Ago-20",24248,4,"Qui",32,False,True,3,2,"2020-2"
2020-08-07 00:00:00.000,2020,"Agosto",8,7,"Ago-20",24248,5,"Sex",32,False,True,3,2,"2020-2"
2020-08-08 00:00:00.000,2020,"Agosto",8,8,"Ago-20",24248,6,"Sáb",32,False,True,3,2,"2020-2"
2020-08-09 00:00:00.000,2020,"Agosto",8,9,"Ago-20",24248,0,"Dom",33,False,True,3,2,"2020-2"
2020-08-10 00:00:00.000,2020,"Agosto",8,10,"Ago-20",24248,1,"Seg",33,False,True,3,2,"2020-2"
2020-08-11 00:00:00.000,2020,"Agosto",8,11,"Ago-20",24248,2,"Ter",33,False,True,3,2,"2020-2"
2020-08-12 00:00:00.000,2020,"Agosto",8,12,"Ago-20",24248,3,"Qua",33,False,True,3,2,"2020-2"
2020-08-13 00:00:00.000,2020,"Agosto",8,13,"Ago-20",24248,4,"Qui",33,False,True,3,2,"2020-2"
2020-08-14 00:00:00.000,2020,"Agosto",8,14,"Ago-20",24248,5,"Sex",33,False,True,3,2,"2020-2"
2020-08-15 00:00:00.000,2020,"Agosto",8,15,"Ago-20",24248,6,"Sáb",33,False,True,3,2,"2020-2"
2020-08-16 00:00:00.000,2020,"Agosto",8,16,"Ago-20",24248,0,"Dom",34,False,True,3,2,"2020-2"
2020-08-17 00:00:00.000,2020,"Agosto",8,17,"Ago-20",24248,1,"Seg",34,False,True,3,2,"2020-2"
2020-08-18 00:00:00.000,2020,"Agosto",8,18,"Ago-20",24248,2,"Ter",34,False,True,3,2,"2020-2"
2020-08-19 00:00:00.000,2020,"Agosto",8,19,"Ago-20",24248,3,"Qua",34,False,True,3,2,"2020-2"
2020-08-20 00:00:00.000,2020,"Agosto",8,20,"Ago-20",24248,4,"Qui",34,False,True,3,2,"2020-2"
2020-08-21 00:00:00.000,2020,"Agosto",8,21,"Ago-20",24248,5,"Sex",34,False,True,3,2,"2020-2"
2020-08-22 00:00:00.000,2020,"Agosto",8,22,"Ago-20",24248,6,"Sáb",34,False,True,3,2,"2020-2"
