Symbol,Trade,Date,Price,Ex. date,Ex. Price,% chg,Profit,% Profit,Shares,Position value,Cum. Profit,# bars,Profit/bar,MAE,MFE,Scale In/Out
"XLV","Long",2003-05-01 00:00:00.000,27.68,2003-09-02 00:00:00.000,27.82,0.0051,186.2,0.0051,"1330",36814.4,186.2,86,2.17,-0.0231,0.1239,"0/0"
"XLF","Long",2003-05-01 00:00:00.000,18.97644,2004-05-03 00:00:00.000,22.86759,0.2051,7587.74,0.2051,"1950",37004.06,31588.07,254,29.87,-0.0171,0.3104,"0/0"
"XLU","Long",2003-08-01 00:00:00.000,20.76,2004-05-03 00:00:00.000,23.49,0.1315,4968.6,0.1315,"1820",37783.2,81492.44,190,26.15,-0.0308,0.1922,"0/0"
"XLV","Long",2004-04-01 00:00:00.000,30,2004-07-01 00:00:00.000,30.6,0.02,912,0.02,"1520",45600,82404.44,63,14.48,-0.0043,0.0533,"0/0"
"XLK","Long",2004-07-01 00:00:00.000,20.65,2004-08-02 00:00:00.000,19.31,-0.0649,-2948,-0.0649,"2200",45430,142861.86,22,-134,-0.0901,0,"0/0"
"XLY","Long",2004-10-01 00:00:00.000,31.21,2005-04-01 00:00:00.000,33.3,0.067,3093.2,0.067,"1480",46190.8,160416.05,126,24.55,-0.0048,0.1391,"0/0"
"VB","Long",2004-10-01 00:00:00.000,50.45,2005-05-02 00:00:00.000,51.63,0.0234,1085.6,0.0234,"920",46414,197885.59,147,7.39,-0.0234,0.1209,"0/0"
"XLP","Long",2005-04-01 00:00:00.000,23.2,2005-05-02 00:00:00.000,22.87,-0.0142,-759,-0.0142,"2300",53360,197126.59,22,-34.5,-0.0319,0.003,"0/0"
"XLV","Long",2005-04-01 00:00:00.000,30.04,2005-10-03 00:00:00.000,31.45,0.0469,2509.8,0.0469,"1780",53471.2,199636.39,129,19.46,-0.0166,0.0826,"0/0"
"VBR","Long",2005-12-01 00:00:00.000,62.45,2006-01-03 00:00:00.000,61,-0.0232,-1348.5,-0.0232,"930",58078.5,210141.25,22,-61.3,-0.032,0.0181,"0/0"
"XLK","Long",2005-12-01 00:00:00.000,21.9,2006-01-03 00:00:00.000,21,-0.0411,-2394,-0.0411,"2660",58254,207747.25,22,-108.82,-0.047,0.011,"0/0"
"VNQ","Long",2005-12-01 00:00:00.000,61.33,2006-01-03 00:00:00.000,59.94,-0.0227,-1320.5,-0.0227,"950",58263.5,206426.75,22,-60.02,-0.0305,0.0183,"0/0"
"VBR","Long",2006-07-03 00:00:00.000,65.52,2006-08-01 00:00:00.000,64.26,-0.0192,-1234.8,-0.0192,"980",64209.6,241556.21,21,-58.8,-0.0499,0.0087,"0/0"
"XLY","Long",2006-10-02 00:00:00.000,34.93,2007-04-02 00:00:00.000,38.09,0.0905,5782.8,0.0905,"1830",63921.9,716169.78,125,46.26,-0.0006,0.1512,"0/0"
