venta_ID,cliente_ID,estado_pedido,fecha_pedido,fecha_requerido,fecha_envio,tienda_ID,personal_ID,item_ID,producto_ID,cantidad,precio_venta,descuento,Year,IngresoPorVenta
1479,23,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,1,252,1,2999.99,0.05,2018,"2849,99"
1479,23,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,2,256,1,899.99,0.1,2018,"809,99"
1480,27,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,1,308,2,749.99,0.1,2018,"1349,98"
1480,27,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,2,82,2,659.99,0.1,2018,"1187,98"
1480,27,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,3,92,2,209.99,0.07,2018,"390,58"
1480,27,2,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,4,225,2,959.99,0.07,2018,"1785,58"
1482,94,1,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,1,48,1,1499.99,0.1,2018,"1349,99"
1482,94,1,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,2,113,1,489.99,0.05,2018,"465,49"
1482,94,1,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,3,58,2,4999.99,0.07,2018,"9299,98"
1482,94,1,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,4,40,1,4999.99,0.05,2018,"4749,99"
1482,94,1,2018-04-01 00:00:00.000,2018-04-01 00:00:00.000,,2,7,5,205,2,4999.99,0.05,2018,"9499,98"
1483,15,1,2018-04-02 00:00:00.000,2018-04-02 00:00:00.000,,2,7,1,280,1,489.99,0.05,2018,"465,49"
1483,15,1,2018-04-02 00:00:00.000,2018-04-02 00:00:00.000,,2,7,2,226,2,679.99,0.07,2018,"1264,78"
1485,51,2,2018-04-02 00:00:00.000,2018-04-02 00:00:00.000,,2,7,1,122,2,2499.99,0.2,2018,"3999,98"
1485,51,2,2018-04-02 00:00:00.000,2018-04-02 00:00:00.000,,2,7,2,276,1,319.99,0.2,2018,"255,99"
