Date (A),Day of week (B),Sales (C),5 day moving average,Column,5 Day Average
2020-08-31 00:00:00.000,"Mon",1501,1448,12,1448.2
2020-08-28 00:00:00.000,"Fri",2350,2906,11,2906.2
2020-08-27 00:00:00.000,"Thu",2587,2869,10,2869
2020-08-26 00:00:00.000,"Wed",589,2549,9,2548.8
2020-08-25 00:00:00.000,"Tue",214,3982,8,3981.8
2020-08-24 00:00:00.000,"Mon",8791,12933,7,12932.6
2020-08-21 00:00:00.000,"Fri",2164,12144,6,12143.6
2020-08-20 00:00:00.000,"Thu",986,14442,5,14442.2
2020-08-19 00:00:00.000,"Wed",7754,15288,4,17806.25
2020-08-18 00:00:00.000,"Tue",44968,14931,3,21157
2020-08-17 00:00:00.000,"Mon",4846,6206,2,9251.5
2020-08-14 00:00:00.000,"Fri",13657,5555,1,13657
