Date,DateAsInteger,Year,Monthnumber,YearMonthnumber,YearMonthShort,MonthNameShort,MonthNameLong,DayOfWeekNumber,DayOfWeek,DayOfWeekShort,Quarter,YearQuarter
2020-07-01 00:00:00.000,"07012020",2020,"07","2020/07","2020/Jul","Jul","July",4,"Wednesday","Wed","Q3","2020/Q3"
2020-07-02 00:00:00.000,"07022020",2020,"07","2020/07","2020/Jul","Jul","July",5,"Thursday","Thu","Q3","2020/Q3"
2020-07-03 00:00:00.000,"07032020",2020,"07","2020/07","2020/Jul","Jul","July",6,"Friday","Fri","Q3","2020/Q3"
2020-07-04 00:00:00.000,"07042020",2020,"07","2020/07","2020/Jul","Jul","July",7,"Saturday","Sat","Q3","2020/Q3"
2020-07-05 00:00:00.000,"07052020",2020,"07","2020/07","2020/Jul","Jul","July",1,"Sunday","Sun","Q3","2020/Q3"
2020-07-06 00:00:00.000,"07062020",2020,"07","2020/07","2020/Jul","Jul","July",2,"Monday","Mon","Q3","2020/Q3"
2020-07-07 00:00:00.000,"07072020",2020,"07","2020/07","2020/Jul","Jul","July",3,"Tuesday","Tue","Q3","2020/Q3"
2020-07-08 00:00:00.000,"07082020",2020,"07","2020/07","2020/Jul","Jul","July",4,"Wednesday","Wed","Q3","2020/Q3"
2020-07-09 00:00:00.000,"07092020",2020,"07","2020/07","2020/Jul","Jul","July",5,"Thursday","Thu","Q3","2020/Q3"
2020-07-10 00:00:00.000,"07102020",2020,"07","2020/07","2020/Jul","Jul","July",6,"Friday","Fri","Q3","2020/Q3"
2020-07-11 00:00:00.000,"07112020",2020,"07","2020/07","2020/Jul","Jul","July",7,"Saturday","Sat","Q3","2020/Q3"
2020-07-12 00:00:00.000,"07122020",2020,"07","2020/07","2020/Jul","Jul","July",1,"Sunday","Sun","Q3","2020/Q3"
2020-07-13 00:00:00.000,"07132020",2020,"07","2020/07","2020/Jul","Jul","July",2,"Monday","Mon","Q3","2020/Q3"
2020-07-14 00:00:00.000,"07142020",2020,"07","2020/07","2020/Jul","Jul","July",3,"Tuesday","Tue","Q3","2020/Q3"
2020-07-15 00:00:00.000,"07152020",2020,"07","2020/07","2020/Jul","Jul","July",4,"Wednesday","Wed","Q3","2020/Q3"
2020-07-16 00:00:00.000,"07162020",2020,"07","2020/07","2020/Jul","Jul","July",5,"Thursday","Thu","Q3","2020/Q3"
2020-07-17 00:00:00.000,"07172020",2020,"07","2020/07","2020/Jul","Jul","July",6,"Friday","Fri","Q3","2020/Q3"
2020-07-18 00:00:00.000,"07182020",2020,"07","2020/07","2020/Jul","Jul","July",7,"Saturday","Sat","Q3","2020/Q3"
2020-07-19 00:00:00.000,"07192020",2020,"07","2020/07","2020/Jul","Jul","July",1,"Sunday","Sun","Q3","2020/Q3"
2020-07-20 00:00:00.000,"07202020",2020,"07","2020/07","2020/Jul","Jul","July",2,"Monday","Mon","Q3","2020/Q3"
2020-07-21 00:00:00.000,"07212020",2020,"07","2020/07","2020/Jul","Jul","July",3,"Tuesday","Tue","Q3","2020/Q3"
2020-07-22 00:00:00.000,"07222020",2020,"07","2020/07","2020/Jul","Jul","July",4,"Wednesday","Wed","Q3","2020/Q3"
2020-07-23 00:00:00.000,"07232020",2020,"07","2020/07","2020/Jul","Jul","July",5,"Thursday","Thu","Q3","2020/Q3"
2020-07-24 00:00:00.000,"07242020",2020,"07","2020/07","2020/Jul","Jul","July",6,"Friday","Fri","Q3","2020/Q3"
