Data,Country,Confirmed,Deaths
2020-05-23 00:00:00.000,Algeria,8117,511
2020-05-24 00:00:00.000,Kosovo,935,31
2020-06-01 00:00:00.000,Brazil,555477,33502
2020-05-26 00:00:00.000,Liberia,264,20
2020-05-25 00:00:00.000,Albania,991,32
2020-05-29 00:00:00.000,United States of America,1606245,96853
2020-05-17 00:00:00.000,Ghana,6717,29
2020-06-06 00:00:00.000,Kenya,2033,143
2020-05-23 00:00:00.000,Czech Republic,8349,294
2020-06-09 00:00:00.000,Denmark,11631,579
2020-05-20 00:00:00.000,Haiti,591,28
2020-06-08 00:00:00.000,Poland,21604,1087
2020-06-06 00:00:00.000,Poland,21391,1079
2020-05-26 00:00:00.000,Moldova,6668,255
2020-05-18 00:00:00.000,Qatar,36224,15
2020-05-19 00:00:00.000,Finland,6492,309
2020-05-30 00:00:00.000,South Korea,10694,271
2020-06-09 00:00:00.000,Turkey,155575,4545
2020-06-02 00:00:00.000,Thailand,3026,56
2020-06-11 00:00:00.000,Somalia,2381,74
2020-05-21 00:00:00.000,Finland,6591,314
2020-06-10 00:00:00.000,Austria,15704,660
2020-06-10 00:00:00.000,Armenia,11656,82
2020-06-02 00:00:00.000,Qatar,76457,20
2020-06-12 00:00:00.000,Lebanon,1052,27
2020-05-18 00:00:00.000,Paraguay,813,11
2020-06-01 00:00:00.000,Singapore,32704,28
2020-06-05 00:00:00.000,Mali,1043,99
2020-05-27 00:00:00.000,Andorra,762,51
2020-05-25 00:00:00.000,Kuwait,27905,233
2020-05-17 00:00:00.000,Netherlands,44478,5704
2020-06-02 00:00:00.000,Iraq,4111,115
2020-05-29 00:00:00.000,Armenia,7343,69
2020-06-05 00:00:00.000,Luxembourg,3908,107
2020-06-04 00:00:00.000,Guatemala,5565,71
2020-05-27 00:00:00.000,Israel,17006,272
2020-05-20 00:00:00.000,Albania,961,32
2020-06-05 00:00:00.000,Indonesia,23334,1223
2020-05-17 00:00:00.000,Finland,6385,303
2020-06-09 00:00:00.000,Belgium,57934,9325
2020-05-16 00:00:00.000,Haiti,386,22
2020-05-23 00:00:00.000,Georgia,788,14
2020-06-05 00:00:00.000,Nigeria,10938,339
2020-06-06 00:00:00.000,Morocco,8750,192
2020-05-20 00:00:00.000,India,114694,3618
2020-05-31 00:00:00.000,South Korea,10695,271
2020-06-07 00:00:00.000,Egypt,25618,805
2020-05-18 00:00:00.000,Republic of the Congo,476,18
2020-05-28 00:00:00.000,Chad,586,76
2020-06-12 00:00:00.000,Slovenia,1486,108
2020-06-03 00:00:00.000,Italy,231182,32658
2020-06-12 00:00:00.000,Afghanistan,35999,503
2020-06-08 00:00:00.000,Isle of Man,353,24
2020-06-11 00:00:00.000,Togo,2922,11
2020-06-06 00:00:00.000,Tajikistan,12520,249
2020-05-25 00:00:00.000,Ireland,25114,1690
2020-05-17 00:00:00.000,Philippines,12182,812
2020-06-02 00:00:00.000,Guinea,4856,32
2020-06-12 00:00:00.000,Spain,282616,28221
2020-05-21 00:00:00.000,United Arab Emirates,25913,271
2020-05-23 00:00:00.000,Uruguay,756,20
2020-05-31 00:00:00.000,China,83033,4494
2020-06-02 00:00:00.000,Niger,868,72
2020-05-16 00:00:00.000,Greece,2747,157
2020-06-05 00:00:00.000,Romania,19416,1360
2020-05-24 00:00:00.000,Japan,17253,951
2020-06-14 00:00:00.000,Panama,12410,347
2020-06-01 00:00:00.000,Moldova,7098,281
2020-05-31 00:00:00.000,Sudan,4426,184
2020-05-22 00:00:00.000,Turkey,150231,4290
2020-05-18 00:00:00.000,Argentina,8052,380
2020-06-04 00:00:00.000,Malaysia,7007,112
2020-05-17 00:00:00.000,Norway,8129,231
2020-06-06 00:00:00.000,Ireland,25635,1755
2020-06-08 00:00:00.000,United Arab Emirates,35869,368
2020-06-09 00:00:00.000,Tajikistan,16673,309
2020-05-20 00:00:00.000,Slovakia,1465,28
2020-05-23 00:00:00.000,Kuwait,24272,198
2020-06-08 00:00:00.000,Sint Maarten,77,18
2020-05-17 00:00:00.000,Spain,271464,27348
2020-06-09 00:00:00.000,Andorra,763,52
2020-05-26 00:00:00.000,Iraq,3745,113
2020-06-08 00:00:00.000,Liberia,292,20
2020-06-03 00:00:00.000,Singapore,33113,28
2020-06-13 00:00:00.000,Uruguay,785,20
2020-05-19 00:00:00.000,Paraguay,826,11
2020-05-24 00:00:00.000,Italy,228065,32113
2020-06-09 00:00:00.000,Israel,17088,275
2020-05-31 00:00:00.000,Ukraine,22304,692
2020-06-13 00:00:00.000,United States of America,1705105,101580
2020-05-31 00:00:00.000,Afghanistan,17765,328
2020-06-04 00:00:00.000,Uzbekistan,3771,11
2020-06-03 00:00:00.000,China,83033,4501
2020-05-18 00:00:00.000,Lebanon,894,26
2020-06-13 00:00:00.000,Netherlands,46575,6057
2020-05-19 00:00:00.000,Cyprus,917,17
2020-05-23 00:00:00.000,Oman,6898,28
2020-06-13 00:00:00.000,Kazakhstan,9420,39
2020-05-27 00:00:00.000,Georgia,843,15
2020-06-01 00:00:00.000,Bosnia and Herzegovina,2681,248
