ID_UF,Valor_Disponivel,Estado_UF,Municipio,ID_Local
14,1.200,PE,ALIANÇA,11
40,35.100,GO,ANAPOLIS,9
31,5.400,MS,ANAURILÂNDIA,18
46,1.200,CE,ARACATI,8
18,30.000,PA,ALTAMIRA,12
49,4.200,GO,ARAGOIANIA,9
27,3.600,SP,AMERICANA,1
26,4.200,PE,AMARAJI,11
33,900,SP,ANDRADINA,1
20,4.200,RS,ALTO ALEGRE,4
13,1.200,PB,ALHANDRA,16
5,1.800,SP,AGUAÍ,1
38,1.200,MG,ANTONIO DIAS,2
9,7.200,ES,ALEGRE,10
4,2.400,CE,ACARAPE,8
7,9.600,BA,ALAGOINHAS,6
42,2.400,PR,APUCARANA,3
47,3.600,CE,ARACOIABA,8
48,16.200,ES,ARACRUZ,10
16,4.200,PR,ALMIRANTE TAMANDARÉ,3
10,2.400,RS,ALEGRETE,4
17,1.200,MG,ALPINÓPOLIS,2
25,4.200,RR,AMAJARI,26
35,3.000,RN,ANGICOS,17
32,1.200,ES,ANCHIETA,10
1,7.200,PA,ABATETUBA,12
45,54.450,SE,ARACAJU,22
28,"516,00",BA,AMERICA DOURADA,6
34,3.600,MG,ANDRELÂNDIA,2
6,2.400,SP,AGUDOS,1
30,3.000,TO,ANANÁS,23
12,1.200,MG,ALFENAS,2
37,3.000,MS,ANGELICA,18
2,1.200,MG,ABAETÉ,2
22,1.200,PR,ALTO PARANÁ,3
3,1.530,PE,ABREU E LIMA,11
44,8.400,CE,AQUIRAZ,8
36,2.400,RJ,ANGRA DOS REIS,5
24,6.600,MG,ALEM PARAIBA,2
41,30.900,GO,APARECIDA DE GOIANIA,9
11,4.200,PA,ALENQUER,12
23,17.400,RS,ALVORADA,4
19,11.400,SP,ALTINÓPOLIS,1
50,3.600,TO,ARAGUAINA,23
21,1.200,MT,ALTO ARAGUAIA,13
8,4.200,BA,ALCOBAÇA,6
43,9.000,MS,AQUIDAUANA,18
15,3.000,MG,ALMENARA,2
29,54.600,PA,ANANINDEUA,12
39,1.200,MS,ANTONIO JOAO,18
