ticket_nmbr,STATUS,change_date,TIME_IN_STATUS_HRS
"IN10144682","RESOLVED","",0
"IN10156156","RESOLVED","",0
"IN10160006","RESOLVED","",0
"IN10163800","RESOLVED","",0
"IN10166404","RESOLVED","",0
"IN10174151","RESOLVED","",0
"IN10176383","RESOLVED","",0
"IN10177574","RESOLVED","",0
"IN10181528","RESOLVED","",0
"IN10185105","RESOLVED","",0
"IN10188342","RESOLVED","",0
"IN10191673","RESOLVED","",0
"IN10191759","RESOLVED","",0
"IN10193257","RESOLVED","",0
"IN10194456","RESOLVED","",0
"IN10194478","RESOLVED","",0
"IN10197416","RESOLVED","",0
"IN10198580","RESOLVED","",0
"IN10198589","RESOLVED","",0
"IN10198783","RESOLVED","",0
"IN10199281","RESOLVED","",0
"IN10200189","RESOLVED","",0
"IN10201545","RESOLVED","",0
"IN10201983","RESOLVED","",0
"IN10202164","RESOLVED","",0
"IN10202667","RESOLVED","",0
"IN10203101","RESOLVED","",0
"IN10203588","RESOLVED","",0
"IN10203921","RESOLVED","",0
"IN10204242","RESOLVED","",0
"IN10205373","RESOLVED","",0
"IN10206282","RESOLVED","",0
"IN10206525","RESOLVED","",0
"IN10209162","RESOLVED","",0
"IN10209184","RESOLVED","",0
"IN10209757","RESOLVED","",0
"IN10209998","RESOLVED","",0
"IN10210302","RESOLVED","",0
"IN10210302","RESOLVED","",0
"IN10210368","RESOLVED","",0
"IN10211021","RESOLVED","",0
"IN10212364","RESOLVED","",0
"IN10212597","RESOLVED","",0
"IN10212611","RESOLVED","",0
"IN10213115","RESOLVED","",0
"IN10213816","RESOLVED","",0
"IN10214750","RESOLVED","",0
"IN10214814","RESOLVED","",0
"IN10215122","RESOLVED","",0
"IN10215311","RESOLVED","",0
"IN10215762","RESOLVED","",0
"IN10215886","RESOLVED","",0
"IN10215908","RESOLVED","",0
"IN10215925","RESOLVED","",0
"IN10216203","RESOLVED","",0
"IN10216876","RESOLVED","",0
"IN10217437","RESOLVED","",0
"IN10217451","RESOLVED","",0
"IN10218343","RESOLVED","",0
"IN10218690","RESOLVED","",0
"IN10218702","RESOLVED","",0
"IN10218721","RESOLVED","",0
"IN10219199","RESOLVED","",0
"IN10219456","RESOLVED","",0
"IN10219778","RESOLVED","",0
"IN10220057","RESOLVED","",0
"IN10220544","RESOLVED","",0
"IN10221272","RESOLVED","",0
"IN10221343","RESOLVED","",0
"IN10221421","RESOLVED","",0
"IN10221833","RESOLVED","",0
"IN10221979","RESOLVED","",0
"IN10222502","RESOLVED","",0
"IN10222567","RESOLVED","",0
"IN10223248","RESOLVED","",0
"IN10223747","RESOLVED","",0
"IN10223894","RESOLVED","",0
"IN10223942","RESOLVED","",0
"IN10224285","RESOLVED","",0
"IN10224307","RESOLVED","",0
"IN10224510","RESOLVED","",0
"IN10225065","RESOLVED","",0
"IN10225890","RESOLVED","",0
"IN10226613","RESOLVED","",0
"IN10226984","RESOLVED","",0
"IN10226996","RESOLVED","",0
"IN10227075","RESOLVED","",0
"IN10227094","RESOLVED","",0
"IN10228263","RESOLVED","",0
"IN10228526","RESOLVED","",0
"IN10228698","RESOLVED","",0
"IN10229366","RESOLVED","",0
"IN10229891","RESOLVED","",0
"IN10229951","RESOLVED","",0
"IN10230258","RESOLVED","",0
"IN10230494","RESOLVED","",0
"IN10230854","RESOLVED","",0
"IN10231664","RESOLVED","",0
"IN10231680","RESOLVED","",0
"IN10231696","RESOLVED","",0
"IN10231701","RESOLVED","",0
"IN10231758","RESOLVED","",0
"IN10231764","RESOLVED","",0
"IN10231777","RESOLVED","",0
"IN10231788","RESOLVED","",0
"IN10231797","RESOLVED","",0
"IN10231904","RESOLVED","",0
"IN10232168","RESOLVED","",0
"IN10232409","RESOLVED","",0
"IN10232448","RESOLVED","",0
"IN10232848","RESOLVED","",0
"IN10233025","RESOLVED","",0
"IN10233248","RESOLVED","",0
