Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue
547,21,39,1,"Knight to E5."
559,21,39,1,"Happy Christmas, Ron.  What are you wearing?"
561,21,39,1,"I-I've got presents?"
564,21,39,1,"Your father left this in my possession before he died. It is time it was returned to you. Use it well."
566,21,39,1,"It's some kind of cloak."
569,21,39,1,"My body's gone!"
571,21,39,1,"I'm invisible?"
573,21,39,1,"There was no name. It just said use it well."
701,26,39,1,"But he's weak. He's living off the unicorns. Don't you see? We had it wrong! Snape doesn't want the Stone for himself; he wants the Stone for Voldemort. With the Elixir of Life, Voldemort will be strong again. He'll... he'll come back."
703,26,39,1,"I think if he'd had the chance, he might've tried to kill me tonight."
708,27,39,1,"My scar. It keeps burning."
710,27,39,1,"Not like this."
712,27,39,1,"I think it's a warning. It means dangers coming. Uhh!  Oh. Of course!"
714,27,39,1,"Don't you think it's a bit odd that what Hagrid wants more than anything is a dragon, and a stranger shows up and just happens to have one?  I mean, how many people wander around with dragon eggs in their pockets? Why didn't I see it before? Hagrid, who gave you the dragon egg?  What did he look like?"
716,27,39,1,"The stranger, though, you and he must have talked."
718,27,39,1,"And did he seem interested in Fluffy?"
721,27,39,1,"We have to see Professor Dumbledore, immediately!"
723,27,39,1,"He's gone?! Now? But this is important! It's about...the Philosopher's Stone."
725,27,39,1,"Someone's going to try and steal it."
727,27,39,1,"That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy."
733,27,39,1,"We go down the trapdoor. Tonight."
734,27,39,1,"Trevor."
737,27,39,1,"Now, Neville, listen. We were"
741,27,39,1,"Let's go.  Sorry."
1409,52,39,1,"I'm a what?"
1411,52,39,1,"I know. I mean, I accidentally set a python on my cousin Dudley at the zoo once. Uh, once! But, so what? I bet loads of people here can do it."
1413,52,39,1,"What's bad? If I hadn't told that snake not to attack Justin."
1415,52,39,1,"You were there! You heard me!"
1417,52,39,1,"I spoke a different language? But- I didn't realize I- how can I speak a language without knowing I can?"
1420,52,39,1,"But I'm not I can't be."
1530,56,39,1,"'Tom Marvolo Riddle.'"
1531,56,39,1,"'My name is Harry Potter.'"
