show_id,genres
"n8","International Movies"
"n13","International Movies"
"n17","International Movies"
"n23","International Movies"
"n25","International Movies"
"n27","International Movies"
"n31","International Movies"
"n36","International Movies"
"n37","International Movies"
"n52","International Movies"
"n53","International Movies"
"n54","International Movies"
"n55","International Movies"
"n57","International Movies"
"n58","International Movies"
"n59","International Movies"
"n60","International Movies"
"n61","International Movies"
"n62","International Movies"
"n63","International Movies"
"n64","International Movies"
"n69","International Movies"
"n74","International Movies"
"n79","International Movies"
"n80","International Movies"
"n87","International Movies"
"n92","International Movies"
"n94","International Movies"
"n104","International Movies"
"n115","International Movies"
"n119","International Movies"
"n120","International Movies"
"n127","International Movies"
"n129","International Movies"
"n141","International Movies"
"n152","International Movies"
"n160","International Movies"
"n189","International Movies"
"n191","International Movies"
"n193","International Movies"
"n196","International Movies"
"n200","International Movies"
"n201","International Movies"
"n202","International Movies"
"n203","International Movies"
"n204","International Movies"
"n205","International Movies"
"n206","International Movies"
"n207","International Movies"
"n208","International Movies"
"n209","International Movies"
"n210","International Movies"
"n211","International Movies"
"n212","International Movies"
"n215","International Movies"
"n216","International Movies"
"n218","International Movies"
"n237","International Movies"
"n238","International Movies"
"n239","International Movies"
"n240","International Movies"
"n245","International Movies"
"n247","International Movies"
"n251","International Movies"
"n253","International Movies"
"n254","International Movies"
"n256","International Movies"
"n257","International Movies"
"n258","International Movies"
"n259","International Movies"
"n260","International Movies"
"n262","International Movies"
"n269","International Movies"
"n282","International Movies"
"n283","International Movies"
"n284","International Movies"
"n286","International Movies"
"n294","International Movies"
"n295","International Movies"
"n299","International Movies"
"n300","International Movies"
"n302","International Movies"
"n303","International Movies"
"n304","International Movies"
"n306","International Movies"
"n307","International Movies"
"n316","International Movies"
"n319","International Movies"
"n340","International Movies"
"n363","International Movies"
"n364","International Movies"
"n366","International Movies"
"n368","International Movies"
"n372","International Movies"
"n373","International Movies"
"n374","International Movies"
"n375","International Movies"
"n378","International Movies"
"n384","International Movies"
"n388","International Movies"
"n390","International Movies"
"n395","International Movies"
"n396","International Movies"
"n397","International Movies"
"n399","International Movies"
"n428","International Movies"
"n429","International Movies"
"n430","International Movies"
"n437","International Movies"
"n439","International Movies"
"n440","International Movies"
"n444","International Movies"
"n453","International Movies"
"n456","International Movies"
"n458","International Movies"
"n459","International Movies"
"n464","International Movies"
"n468","International Movies"
"n469","International Movies"
"n472","International Movies"
"n477","International Movies"
"n481","International Movies"
"n482","International Movies"
"n484","International Movies"
"n490","International Movies"
"n496","International Movies"
"n497","International Movies"
"n499","International Movies"
"n501","International Movies"
"n502","International Movies"
"n503","International Movies"
"n506","International Movies"
"n507","International Movies"
"n508","International Movies"
"n509","International Movies"
"n519","International Movies"
