Date,Year,Quarter Number,Quarter,Month Number,Month,Week Day Number,Week Day,Year Month Number,Year Month,Year Quarter Number,Year Quarter,Days from Today,Week Starting Sunday,Week Starting Monday,IS WORKING DAY
2016-07-01 00:00:00.000,2016,3,"Q3",7,"July",6,"Friday",201607,"July 2016",201603,"Q3-2016",-2233,2016-06-26 00:00:00.000,2016-06-27 00:00:00.000,1
2016-07-02 00:00:00.000,2016,3,"Q3",7,"July",7,"Saturday",201607,"July 2016",201603,"Q3-2016",-2232,2016-06-26 00:00:00.000,2016-06-27 00:00:00.000,0
2016-07-03 00:00:00.000,2016,3,"Q3",7,"July",1,"Sunday",201607,"July 2016",201603,"Q3-2016",-2231,2016-07-03 00:00:00.000,2016-06-27 00:00:00.000,0
2016-07-04 00:00:00.000,2016,3,"Q3",7,"July",2,"Monday",201607,"July 2016",201603,"Q3-2016",-2230,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,1
2016-07-05 00:00:00.000,2016,3,"Q3",7,"July",3,"Tuesday",201607,"July 2016",201603,"Q3-2016",-2229,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,1
2016-07-06 00:00:00.000,2016,3,"Q3",7,"July",4,"Wednesday",201607,"July 2016",201603,"Q3-2016",-2228,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,1
2016-07-07 00:00:00.000,2016,3,"Q3",7,"July",5,"Thursday",201607,"July 2016",201603,"Q3-2016",-2227,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,1
2016-07-08 00:00:00.000,2016,3,"Q3",7,"July",6,"Friday",201607,"July 2016",201603,"Q3-2016",-2226,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,1
2016-07-09 00:00:00.000,2016,3,"Q3",7,"July",7,"Saturday",201607,"July 2016",201603,"Q3-2016",-2225,2016-07-03 00:00:00.000,2016-07-04 00:00:00.000,0
2016-07-10 00:00:00.000,2016,3,"Q3",7,"July",1,"Sunday",201607,"July 2016",201603,"Q3-2016",-2224,2016-07-10 00:00:00.000,2016-07-04 00:00:00.000,0
2016-07-11 00:00:00.000,2016,3,"Q3",7,"July",2,"Monday",201607,"July 2016",201603,"Q3-2016",-2223,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,1
2016-07-12 00:00:00.000,2016,3,"Q3",7,"July",3,"Tuesday",201607,"July 2016",201603,"Q3-2016",-2222,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,1
2016-07-13 00:00:00.000,2016,3,"Q3",7,"July",4,"Wednesday",201607,"July 2016",201603,"Q3-2016",-2221,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,1
2016-07-14 00:00:00.000,2016,3,"Q3",7,"July",5,"Thursday",201607,"July 2016",201603,"Q3-2016",-2220,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,1
2016-07-15 00:00:00.000,2016,3,"Q3",7,"July",6,"Friday",201607,"July 2016",201603,"Q3-2016",-2219,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,1
2016-07-16 00:00:00.000,2016,3,"Q3",7,"July",7,"Saturday",201607,"July 2016",201603,"Q3-2016",-2218,2016-07-10 00:00:00.000,2016-07-11 00:00:00.000,0
2016-07-17 00:00:00.000,2016,3,"Q3",7,"July",1,"Sunday",201607,"July 2016",201603,"Q3-2016",-2217,2016-07-17 00:00:00.000,2016-07-11 00:00:00.000,0
2016-07-18 00:00:00.000,2016,3,"Q3",7,"July",2,"Monday",201607,"July 2016",201603,"Q3-2016",-2216,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,1
2016-07-19 00:00:00.000,2016,3,"Q3",7,"July",3,"Tuesday",201607,"July 2016",201603,"Q3-2016",-2215,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,1
2016-07-20 00:00:00.000,2016,3,"Q3",7,"July",4,"Wednesday",201607,"July 2016",201603,"Q3-2016",-2214,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,1
2016-07-21 00:00:00.000,2016,3,"Q3",7,"July",5,"Thursday",201607,"July 2016",201603,"Q3-2016",-2213,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,1
2016-07-22 00:00:00.000,2016,3,"Q3",7,"July",6,"Friday",201607,"July 2016",201603,"Q3-2016",-2212,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,1
2016-07-23 00:00:00.000,2016,3,"Q3",7,"July",7,"Saturday",201607,"July 2016",201603,"Q3-2016",-2211,2016-07-17 00:00:00.000,2016-07-18 00:00:00.000,0
