ResellerKey,variable,value
213,GeographyKey,38
179,GeographyKey,531
309,GeographyKey,582
185,GeographyKey,362
592,GeographyKey,251
326,GeographyKey,622
438,GeographyKey,509
4,GeographyKey,572
489,GeographyKey,575
132,GeographyKey,392
238,GeographyKey,483
470,GeographyKey,621
691,GeographyKey,397
35,GeographyKey,555
25,GeographyKey,317
480,GeographyKey,84
24,GeographyKey,376
441,GeographyKey,452
520,GeographyKey,253
417,GeographyKey,591
37,GeographyKey,633
141,GeographyKey,6
341,GeographyKey,515
291,GeographyKey,573
643,GeographyKey,468
325,GeographyKey,610
430,GeographyKey,233
423,GeographyKey,488
493,GeographyKey,308
394,GeographyKey,278
617,GeographyKey,263
202,GeographyKey,589
44,GeographyKey,282
396,GeographyKey,446
88,GeographyKey,260
338,GeographyKey,177
683,GeographyKey,257
439,GeographyKey,291
29,GeographyKey,77
402,GeographyKey,303
27,GeographyKey,568
419,GeographyKey,346
130,GeographyKey,578
515,GeographyKey,86
432,GeographyKey,443
294,GeographyKey,381
408,GeographyKey,61
85,GeographyKey,216
459,GeographyKey,423
405,GeographyKey,564
222,GeographyKey,386
547,GeographyKey,382
315,GeographyKey,408
91,GeographyKey,536
590,GeographyKey,173
70,GeographyKey,244
136,GeographyKey,41
571,GeographyKey,191
156,GeographyKey,106
65,GeographyKey,99
358,GeographyKey,277
20,GeographyKey,622
630,GeographyKey,93
583,GeographyKey,290
227,GeographyKey,94
650,GeographyKey,511
335,GeographyKey,82
193,GeographyKey,180
482,GeographyKey,115
464,GeographyKey,174
634,GeographyKey,14
194,GeographyKey,150
104,GeographyKey,130
463,GeographyKey,211
310,GeographyKey,437
158,GeographyKey,154
265,GeographyKey,202
501,GeographyKey,7
412,GeographyKey,232
18,GeographyKey,474
648,GeographyKey,317
73,GeographyKey,630
196,GeographyKey,260
633,GeographyKey,116
467,GeographyKey,603
112,GeographyKey,578
687,GeographyKey,159
572,GeographyKey,156
509,GeographyKey,291
96,GeographyKey,367
574,GeographyKey,246
697,GeographyKey,601
421,GeographyKey,384
531,GeographyKey,415
39,GeographyKey,477
15,GeographyKey,6
352,GeographyKey,42
149,GeographyKey,392
181,GeographyKey,538
385,GeographyKey,324
213,ResellerAlternateKey,AW00000213
179,ResellerAlternateKey,AW00000179
309,ResellerAlternateKey,AW00000309
185,ResellerAlternateKey,AW00000185
592,ResellerAlternateKey,AW00000592
326,ResellerAlternateKey,AW00000326
438,ResellerAlternateKey,AW00000438
4,ResellerAlternateKey,AW00000004
489,ResellerAlternateKey,AW00000489
132,ResellerAlternateKey,AW00000132
238,ResellerAlternateKey,AW00000238
470,ResellerAlternateKey,AW00000470
691,ResellerAlternateKey,AW00000691
35,ResellerAlternateKey,AW00000035
25,ResellerAlternateKey,AW00000025
480,ResellerAlternateKey,AW00000480
24,ResellerAlternateKey,AW00000024
441,ResellerAlternateKey,AW00000441
520,ResellerAlternateKey,AW00000520
417,ResellerAlternateKey,AW00000417
37,ResellerAlternateKey,AW00000037
141,ResellerAlternateKey,AW00000141
341,ResellerAlternateKey,AW00000341
291,ResellerAlternateKey,AW00000291
643,ResellerAlternateKey,AW00000643
325,ResellerAlternateKey,AW00000325
430,ResellerAlternateKey,AW00000430
423,ResellerAlternateKey,AW00000423
493,ResellerAlternateKey,AW00000493
394,ResellerAlternateKey,AW00000394
617,ResellerAlternateKey,AW00000617
202,ResellerAlternateKey,AW00000202
44,ResellerAlternateKey,AW00000044
396,ResellerAlternateKey,AW00000396
88,ResellerAlternateKey,AW00000088
